pedido_ref,cliente_phone,product_code,nombre,cantidad_solicitada,precio_unitario,lista_precios_id,fecha_pedido,notas,promo_aplicada,is_mock,source_row_count
ERP2026-R-2-954308-ea13fb5044,5491100008445,40154114,MTK MARG. MASAS CJ4PILX5KG - 100A,1,144800.00,1,2026-01-02,"Cantidad piloto=1; el origen contiene 1 fila(s) para este SKU, sin cantidad explícita.",False,True,1
ERP2026-R-2-954248-ae6349c2fc,5491100003543,11081001,LEUDEX LEV. FRESCA PAQ 500G,1,5800.00,1,2026-01-02,"Cantidad piloto=1; el origen contiene 1 fila(s) para este SKU, sin cantidad explícita.",False,True,1
ERP2026-R-2-954248-ae6349c2fc,5491100003543,72970022,LP KOLAROMA MANTECA BIDON 1 LT,1,26200.00,1,2026-01-02,"Cantidad piloto=1; el origen contiene 1 fila(s) para este SKU, sin cantidad explícita.",False,True,1
ERP2026-R-2-954294-f894ff7b01,5491100011319,40021015,SUPER MARG. HOJAL ** CJ2PILX10KG,1,155365.00,2,2026-01-02,"Cantidad piloto=1; el origen contiene 1 fila(s) para este SKU, sin cantidad explícita.",False,True,1
ERP2026-R-2-954294-f894ff7b01,5491100011319,63250042,LP MEJ. FORMULA UNO BOL.10 KG,1,94300.00,2,2026-01-02,"Cantidad piloto=1; el origen contiene 1 fila(s) para este SKU, sin cantidad explícita.",False,True,1
ERP2026-R-2-954294-f894ff7b01,5491100011319,73166030,I360 PREM. PAN DE QUESO. BOL2KG,1,24265.00,2,2026-01-02,"Cantidad piloto=1; el origen contiene 2 fila(s) para este SKU, sin cantidad explícita.",False,True,2
ERP2026-R-2-954295-107904ba35,5491100011319,40021015,SUPER MARG. HOJAL ** CJ2PILX10KG,1,155365.00,2,2026-01-02,"Cantidad piloto=1; el origen contiene 1 fila(s) para este SKU, sin cantidad explícita.",False,True,1
ERP2026-R-2-954295-107904ba35,5491100011319,63250042,LP MEJ. FORMULA UNO BOL.10 KG,1,94300.00,2,2026-01-02,"Cantidad piloto=1; el origen contiene 1 fila(s) para este SKU, sin cantidad explícita.",False,True,1
ERP2026-R-2-954295-107904ba35,5491100011319,73166030,I360 PREM. PAN DE QUESO. BOL2KG,1,24265.00,2,2026-01-02,"Cantidad piloto=1; el origen contiene 1 fila(s) para este SKU, sin cantidad explícita.",False,True,1
ERP2026-R-2-954296-d505fbad21,5491100007466,11016001,VIRGEN LEV. FRESCA PAQ 500G 100A,1,5700.00,1,2026-01-02,"Cantidad piloto=1; el origen contiene 1 fila(s) para este SKU, sin cantidad explícita.",False,True,1
ERP2026-R-2-954296-d505fbad21,5491100007466,31316093,CALSA GRASA OLEOMARGARINA CJX20KG - 100A,1,144800.00,1,2026-01-02,"Cantidad piloto=1; el origen contiene 1 fila(s) para este SKU, sin cantidad explícita.",False,True,1
ERP2026-R-2-954297-5eab1a002c,5491100007466,11016001,VIRGEN LEV. FRESCA PAQ 500G 100A,1,5700.00,1,2026-01-02,"Cantidad piloto=1; el origen contiene 1 fila(s) para este SKU, sin cantidad explícita.",False,True,1
ERP2026-R-2-954297-5eab1a002c,5491100007466,31316093,CALSA GRASA OLEOMARGARINA CJX20KG - 100A,1,144800.00,1,2026-01-02,"Cantidad piloto=1; el origen contiene 1 fila(s) para este SKU, sin cantidad explícita.",False,True,1
ERP2026-R-2-954311-bfcc665fe4,5491100002948,31316093,CALSA GRASA OLEOMARGARINA CJX20KG - 100A,1,144800.00,1,2026-01-02,"Cantidad piloto=1; el origen contiene 3 fila(s) para este SKU, sin cantidad explícita.",False,True,3
ERP2026-R-2-954311-bfcc665fe4,5491100002948,32025093,PASTELGRAS GRASA CJX20KG - 100A,1,129000.00,1,2026-01-02,"Cantidad piloto=1; el origen contiene 1 fila(s) para este SKU, sin cantidad explícita.",False,True,1
ERP2026-R-2-954311-bfcc665fe4,5491100002948,40011015,MILHOJAS MARG. HOJAL ** CJ2PILX10KG,1,139500.00,1,2026-01-02,"Cantidad piloto=1; el origen contiene 1 fila(s) para este SKU, sin cantidad explícita.",False,True,1
ERP2026-R-2-954312-21fc3b5388,5491100002948,31316093,CALSA GRASA OLEOMARGARINA CJX20KG - 100A,1,144800.00,1,2026-01-02,"Cantidad piloto=1; el origen contiene 1 fila(s) para este SKU, sin cantidad explícita.",False,True,1
ERP2026-R-2-954312-21fc3b5388,5491100002948,32025093,PASTELGRAS GRASA CJX20KG - 100A,1,129000.00,1,2026-01-02,"Cantidad piloto=1; el origen contiene 1 fila(s) para este SKU, sin cantidad explícita.",False,True,1
ERP2026-R-2-954312-21fc3b5388,5491100002948,40011015,MILHOJAS MARG. HOJAL ** CJ2PILX10KG,1,139500.00,1,2026-01-02,"Cantidad piloto=1; el origen contiene 1 fila(s) para este SKU, sin cantidad explícita.",False,True,1
