pedido_ref,cliente_phone,cliente_codigo,product_code,nombre,cantidad_solicitada,precio_unitario,lista_precios_id,notas,is_mock,es_pedido_abierto,promo_aplicada
P-00001,5493587905250,25001,13546,MAYONESA BC 12X250CC,3,1330.54,2,Pedido: 3 UNIDAD (normalizado: 36 UNIDAD; equiv: 3 UNIDAD),true,false,false
P-00001,5493587905250,25001,13607,HOGAREÑAS 7 SEMILLAS POR 3 12X3X189G,1,3911.11,2,Pedido: 1 DISPLAY (normalizado: 12 DISPLAY; equiv: 1 DISPLAY),true,false,false
P-00001,5493587905250,25001,10763,ROCKLETS BOLSA 32x150G,1,5337.93,2,Pedido: 1 UNIDAD (normalizado: 32 UNIDAD; equiv: 1 UNIDAD),true,false,false
P-00002,5493587905250,25001,9825,HELADO CONO COFLER DUO 14X135CC,3,51898.68,2,Pedido: 3 BULTO (normalizado: 3 BULTO; equiv: 3 BULTO),true,false,false
P-00003,5493587905250,25001,14887,HELADO FRAMBUESA CHOCOLATE AMARGO 12X150G,1,6954.55,2,Pedido: 1 DISPLAY (normalizado: 12 DISPLAY; equiv: 1 DISPLAY),true,false,false
P-00003,5493587905250,25001,13343,SIMPLE BARRA SACIETY CHOCOLATE 6X16X30G,4,1764.98,2,Pedido: 4 UNIDAD (normalizado: 384 UNIDAD; equiv: 4 UNIDAD),true,false,false
P-00003,5493587905250,25001,12454,CRIOLLITAS TOSTADAS LIGHT 18X195G,5,1455.56,2,Pedido: 5 UNIDAD (normalizado: 90 UNIDAD; equiv: 5 UNIDAD),true,false,false
P-00004,5493582641213,25002,14213,HELADO GELATO XL DUO BONOBON ROCKLETS 6X500G,4,11618.18,3,Pedido: 4 UNIDAD (normalizado: 24 UNIDAD; equiv: 4 UNIDAD),true,false,false
P-00005,5493582641213,25002,14202,MERMELADA LC SELECCIÓN ARANDANOS 12X390G,1,7285.44,3,Pedido: 1 UNIDAD (normalizado: 12 UNIDAD; equiv: 1 UNIDAD),true,false,false
P-00005,5493582641213,25002,13333,AGUILA BAÑO REPOSTERO BLANCO 8X12X150G,1,4066.36,3,Pedido: 1 UNIDAD (normalizado: 96 UNIDAD; equiv: 1 UNIDAD),true,false,false
P-00006,5493582641213,25002,15116,CHUPETIN MR POPS EXPLOSIVE SANDIA 10X4 X5X10G,1,3124.02,3,Pedido: 1 DISPLAY (normalizado: 40 DISPLAY; equiv: 1 DISPLAY),true,false,false
P-00006,5493582641213,25002,2170,MENTHO PLUS ACIDOS BLACK CHERRY 12X12X27.2G,5,10189.07,3,Pedido: 5 DISPLAY (normalizado: 60 DISPLAY; equiv: 5 DISPLAY),true,false,false
P-00006,5493582641213,25002,3312,ALFAJOR TATIN NEGRO 56X33G,4,460.85,3,Pedido: 4 UNIDAD (normalizado: 224 UNIDAD; equiv: 4 UNIDAD),true,false,false
P-00006,5493582641213,25002,13238,ARVEJAS LC SECAS 24X300G,5,1332.77,3,Pedido: 5 UNIDAD (normalizado: 120 UNIDAD; equiv: 5 UNIDAD),true,false,false
P-00007,5492991227644,25003,13886,PURE TOMATE LC 12x530G,5,1295.53,4,Pedido: 5 UNIDAD (normalizado: 60 UNIDAD; equiv: 5 UNIDAD),true,false,false
P-00007,5492991227644,25003,11090,MENTHO PLUS ACIDOS MANZANA 12X12X28G,2,10189.07,4,Pedido: 2 DISPLAY (normalizado: 24 DISPLAY; equiv: 2 DISPLAY),true,false,false
P-00007,5492991227644,25003,13543,MAYONESA BC 8X1000CC,1,4688.41,4,Pedido: 1 UNIDAD (normalizado: 8 UNIDAD; equiv: 1 UNIDAD),true,false,false
P-00007,5492991227644,25003,14167,MOGUL LENGUAS MAX TUTTI FRUTTI 6X24X15G,1,13591.24,4,Pedido: 1 DISPLAY (normalizado: 6 DISPLAY; equiv: 1 DISPLAY),true,false,false
P-00008,5492991227644,25003,12921,AIREADO COFLER RELLENO BONOBON 8X20X30G,1,1984.22,4,Pedido: 1 UNIDAD (normalizado: 160 UNIDAD; equiv: 1 UNIDAD),true,false,false
P-00008,5492991227644,25003,12899,COFLER ALMENDRAS 36X140G,2,7743.61,4,Pedido: 2 UNIDAD (normalizado: 72 UNIDAD; equiv: 2 UNIDAD),true,false,false
P-00009,5492991227644,25003,13662,CONDIMENTO COMINO MOLIDO 4X10X23G,3,1602.42,4,Pedido: 3 UNIDAD (normalizado: 120 UNIDAD; equiv: 3 UNIDAD),true,false,false
P-00009,5492991227644,25003,13343,SIMPLE BARRA SACIETY CHOCOLATE 6X16X30G,4,1764.98,4,Pedido: 4 UNIDAD (normalizado: 384 UNIDAD; equiv: 4 UNIDAD),true,false,false
P-00010,5493418277249,25004,14558,GELATINA MOGUL FRUTILLA 6X8X25G,4,904.24,1,Pedido: 4 UNIDAD (normalizado: 192 UNIDAD; equiv: 4 UNIDAD),true,false,false
P-00010,5493418277249,25004,10341,AIREADO COFLER BLANCO 8x10x55G,2,3827.29,1,Pedido: 2 UNIDAD (normalizado: 160 UNIDAD; equiv: 2 UNIDAD),true,false,false
P-00010,5493418277249,25004,15511,MOGUL TWIST ARCOIRIS 12X16X15GR,4,8506.12,1,Pedido: 4 DISPLAY (normalizado: 768 DISPLAY; equiv: 4 DISPLAY),true,false,false
P-00010,5493418277249,25004,13979,COFLER BLOCK MAX LECHE 30X100G,4,4754.55,1,Pedido: 4 UNIDAD (normalizado: 120 UNIDAD; equiv: 4 UNIDAD),true,false,false
P-00011,5493418277249,25004,9849,CHOCLO LC CREMOSO 24X300G,5,1986.76,1,Pedido: 5 UNIDAD (normalizado: 120 UNIDAD; equiv: 5 UNIDAD),true,false,false
P-00012,5493418277249,25004,14365,"ALFAJOR COFLER BLOCK 36X40,7G",4,921.69,1,Pedido: 4 UNIDAD (normalizado: 144 UNIDAD; equiv: 4 UNIDAD),true,false,false
P-00012,5493418277249,25004,14206,POSTRE BONOBON 6x12x95G,2,2156.74,1,Pedido: 2 UNIDAD (normalizado: 144 UNIDAD; equiv: 2 UNIDAD),true,false,false
P-00013,5493587747641,25005,13024,MOGUL SANDIA EXTREME 12X10X50G,3,10130.32,2,Pedido: 3 DISPLAY (normalizado: 36 DISPLAY; equiv: 3 DISPLAY),true,false,false
P-00013,5493587747641,25005,13624,SALVADO BAGLEY POR 3 12X3X169G,2,3911.11,2,Pedido: 2 DISPLAY (normalizado: 24 DISPLAY; equiv: 2 DISPLAY),true,false,false
P-00014,5493587747641,25005,7466,TOFI LECHE RELLENO 8X15X55G,2,3334.53,2,Pedido: 2 UNIDAD (normalizado: 240 UNIDAD; equiv: 2 UNIDAD),true,false,false
P-00015,5493587747641,25005,13781,MANA LECHE 36X136G,4,1140.74,2,Pedido: 4 UNIDAD (normalizado: 144 UNIDAD; equiv: 4 UNIDAD),true,false,false
P-00016,5492614053074,25006,12961,SNACK SALADIX PAPA CREMA CEBOLLA 20X95G,5,1779.85,3,Pedido: 5 UNIDAD (normalizado: 100 UNIDAD; equiv: 5 UNIDAD),true,false,false
P-00017,5492614053074,25006,3269,TOPLINE SEVEN MANDARINA 36X16X14G,2,11427.75,3,Pedido: 2 DISPLAY (normalizado: 72 DISPLAY; equiv: 2 DISPLAY),true,false,false
P-00017,5492614053074,25006,10353,COFLER BLANCO CHOCOLINAS 12x10x55G,2,3321.12,3,Pedido: 2 UNIDAD (normalizado: 240 UNIDAD; equiv: 2 UNIDAD),true,false,false
P-00018,5492614053074,25006,10347,AIREADO COFLER ALMENDRAS 4x12x100G,3,6668.54,3,Pedido: 3 UNIDAD (normalizado: 144 UNIDAD; equiv: 3 UNIDAD),true,false,false
P-00018,5492614053074,25006,15022,AGUILA 60% CACAO  C/NARANJA 10X10X70GR,3,4986.77,3,Pedido: 3 UNIDAD (normalizado: 300 UNIDAD; equiv: 3 UNIDAD),true,false,false
P-00018,5492614053074,25006,15141,OBLEA COFLER CHOCOLINA MAX 8X16X60G,5,1561.37,3,Pedido: 5 UNIDAD (normalizado: 640 UNIDAD; equiv: 5 UNIDAD),true,false,false
P-00018,5492614053074,25006,15023,RELLENO UNTABLE COFLER MARROC 24X290GR,4,6564.35,3,Pedido: 4 unidad (normalizado: 96 unidad; equiv: 4 unidad),true,false,false
P-00019,5493514079279,25007,2401,TURRON MANI CON MIEL ARCOR 3X18X120G,3,1676.27,4,Pedido: 3 UNIDAD (normalizado: 162 UNIDAD; equiv: 3 UNIDAD),true,false,false
P-00019,5493514079279,25007,15153,VASO AGUILA ANIVERSARIO ROSA 12X5X14G,1,10822.75,4,Pedido: 1 DISPLAY (normalizado: 12 DISPLAY; equiv: 1 DISPLAY),true,false,false
P-00020,5493514079279,25007,13110,CARAMELO BC SURTIDO 6X420G,4,15791.49,4,Pedido: 4 DISPLAY (normalizado: 4 DISPLAY; equiv: 4 DISPLAY),true,false,false
P-00020,5493514079279,25007,15530,COFLER DULCE DE LECHE RELLENO 6X20X46GR,4,2113.00,4,Pedido: 4 UNIDAD (normalizado: 480 UNIDAD; equiv: 4 UNIDAD),true,false,false
P-00020,5493514079279,25007,13296,HOGAREÑAS CON SALVADO 30X200G,5,1466.67,4,Pedido: 5 UNIDAD (normalizado: 150 UNIDAD; equiv: 5 UNIDAD),true,false,false
P-00020,5493514079279,25007,12101,TOPLINE SEVEN ULTRA RED BERRY 12X12X24G,1,23956.12,4,Pedido: 1 DISPLAY (normalizado: 12 DISPLAY; equiv: 1 DISPLAY),true,false,false
