client_phone,session_id,sender_type,type,message,content,created_at,is_mock
5492612780568,5492612780568,ai,ai,"Hola Galletas y Más, paso a revisar tu pedido P-00099 de BARRA COFLER BLOCK MANI 6X20X45G.","Hola Galletas y Más, paso a revisar tu pedido P-00099 de BARRA COFLER BLOCK MANI 6X20X45G.",2026-08-08 08:54:38,true
5492612780568,5492612780568,human,human,"Buen dia, eso fue lo que pedimos el otro dia?","Buen dia, eso fue lo que pedimos el otro dia?",2026-08-08 08:56:07,true
5492612780568,5492612780568,ai,ai,Te confirmo que el pedido P-00099 fue registrado correctamente por 136481.93.,Te confirmo que el pedido P-00099 fue registrado correctamente por 136481.93.,2026-08-08 08:57:03,true
5492612780568,5492612780568,ai,ai,Quedo atento por cualquier otra duda. Gracias.,Quedo atento por cualquier otra duda. Gracias.,2026-08-08 08:58:12,true
5492612928724,5492612928724,ai,ai,"Hola ChocoDelicias, paso a revisar tu pedido P-00123 de JUGO POLVO BC NARANJA DULCE 16x18x7G.","Hola ChocoDelicias, paso a revisar tu pedido P-00123 de JUGO POLVO BC NARANJA DULCE 16x18x7G.",2026-08-09 10:54:38,true
5492612928724,5492612928724,human,human,"Buen dia, eso fue lo que pedimos el otro dia?","Buen dia, eso fue lo que pedimos el otro dia?",2026-08-09 10:55:23,true
5492612928724,5492612928724,ai,ai,Te confirmo que el pedido P-00123 fue registrado correctamente por 28098.79.,Te confirmo que el pedido P-00123 fue registrado correctamente por 28098.79.,2026-08-09 10:55:56,true
5492612928724,5492612928724,human,human,"Perfecto, gracias.","Perfecto, gracias.",2026-08-09 10:57:29,true
5492612928724,5492612928724,ai,ai,Quedo atento por cualquier otra duda. Gracias.,Quedo atento por cualquier otra duda. Gracias.,2026-08-09 10:58:25,true
5492615021286,5492615021286,ai,ai,"Hola Dulce Sazón, paso a revisar tu pedido P-00112 de MERMELADA ARCOR DURAZNO 12X454G.","Hola Dulce Sazón, paso a revisar tu pedido P-00112 de MERMELADA ARCOR DURAZNO 12X454G.",2026-08-07 08:54:38,true
5492615021286,5492615021286,human,human,"Buen dia, eso fue lo que pedimos el otro dia?","Buen dia, eso fue lo que pedimos el otro dia?",2026-08-07 08:56:27,true
5492615021286,5492615021286,ai,ai,Te confirmo que el pedido P-00112 fue registrado correctamente por 6216.84.,Te confirmo que el pedido P-00112 fue registrado correctamente por 6216.84.,2026-08-07 08:57:15,true
5492615021286,5492615021286,ai,ai,Quedo atento por cualquier otra duda. Gracias.,Quedo atento por cualquier otra duda. Gracias.,2026-08-07 08:57:58,true
5492617236955,5492617236955,ai,ai,"Hola Dulce Tentación, paso a revisar tu pedido P-00126 de HELADO GELATO XL DUO COFLER CHOCOLAE DULCE DE LECHE 6X500G.","Hola Dulce Tentación, paso a revisar tu pedido P-00126 de HELADO GELATO XL DUO COFLER CHOCOLAE DULCE DE LECHE 6X500G.",2026-08-09 09:54:38,true
5492617236955,5492617236955,human,human,"Buen dia, eso fue lo que pedimos el otro dia?","Buen dia, eso fue lo que pedimos el otro dia?",2026-08-09 09:55:29,true
5492617236955,5492617236955,ai,ai,Te confirmo que el pedido P-00126 fue registrado correctamente por 75877.53.,Te confirmo que el pedido P-00126 fue registrado correctamente por 75877.53.,2026-08-09 09:56:16,true
