pedido_ref,product_code,nombre,cantidad_solicitada,precio_unitario,lista_precios_id,notas,is_mock,cliente_phone
PF-000001,ESP-001,AJI CAYENA MOLIDA AMARILLO - 1 KG,4,12983.50,2,Pedido histórico field mock (2025-06-01),true,5493587905250
PF-000001,ESP-082,AJO DESHIDRATADO EN POLVO CHINO - 1 KG,3,13777.00,2,Pedido histórico field mock (2025-06-01),true,5493587905250
PF-000002,ESP-001,AJI CAYENA MOLIDA AMARILLO - 1 KG,3,12983.50,2,Pedido histórico field mock (2025-06-27),true,5493587905250
PF-000002,ESP-082,AJO DESHIDRATADO EN POLVO CHINO - 1 KG,3,13777.00,2,Pedido histórico field mock (2025-06-27),true,5493587905250
PF-000002,ESP-067,PIMIENTA CAYENA AMARILLA - 1 KG,1,14984.50,2,Pedido histórico field mock (2025-06-27),true,5493587905250
PF-000002,ESP-006,AJO DESHIDRATADO PARTIDO NACIONAL - 1 KG,2,13466.50,2,Pedido histórico field mock (2025-06-27),true,5493587905250
PF-000003,ESP-001,AJI CAYENA MOLIDA AMARILLO - 1 KG,2,12983.50,2,Pedido histórico field mock (2025-07-08),true,5493587905250
PF-000003,ESP-082,AJO DESHIDRATADO EN POLVO CHINO - 1 KG,2,13777.00,2,Pedido histórico field mock (2025-07-08),true,5493587905250
PF-000003,ESP-030,CONDIMENTO PARA PIZZA - 1 KG,3,6520.50,2,Pedido histórico field mock (2025-07-08),true,5493587905250
PF-000003,ESP-064,PIMIENTA BLANCA MOLIDA PREMIUM - 1 KG,4,41331.00,2,Pedido histórico field mock (2025-07-08),true,5493587905250
PF-000004,ESP-001,AJI CAYENA MOLIDA AMARILLO - 1 KG,4,12983.50,2,Pedido histórico field mock (2025-08-03),true,5493587905250
PF-000004,ESP-082,AJO DESHIDRATADO EN POLVO CHINO - 1 KG,1,13777.00,2,Pedido histórico field mock (2025-08-03),true,5493587905250
PF-000004,ESP-061,PIMIENTA BLANCA EN GRANO - 1 KG,1,51106.00,2,Pedido histórico field mock (2025-08-03),true,5493587905250
PF-000005,ESP-001,AJI CAYENA MOLIDA AMARILLO - 1 KG,1,12983.50,2,Pedido histórico field mock (2025-08-24),true,5493587905250
PF-000005,ESP-082,AJO DESHIDRATADO EN POLVO CHINO - 1 KG,1,13777.00,2,Pedido histórico field mock (2025-08-24),true,5493587905250
PF-000006,ESP-001,AJI CAYENA MOLIDA AMARILLO - 1 KG,2,12983.50,2,Pedido histórico field mock (2025-09-14),true,5493587905250
PF-000006,ESP-082,AJO DESHIDRATADO EN POLVO CHINO - 1 KG,3,13777.00,2,Pedido histórico field mock (2025-09-14),true,5493587905250
PF-000006,ESP-092,PIMIENTA BLANCA MOLIDA PREMIUM CH - 1 KG,2,19538.50,2,Pedido histórico field mock (2025-09-14),true,5493587905250
PF-000007,ESP-001,AJI CAYENA MOLIDA AMARILLO - 1 KG,2,12983.50,2,Pedido histórico field mock (2025-10-03),true,5493587905250
PF-000007,ESP-082,AJO DESHIDRATADO EN POLVO CHINO - 1 KG,1,13777.00,2,Pedido histórico field mock (2025-10-03),true,5493587905250
PF-000007,ESP-066,PIMIENTA BOUQUET 4 PIMIENTAS - 1 KG,2,34810.50,2,Pedido histórico field mock (2025-10-03),true,5493587905250
PF-000007,ESP-020,CHIMICHURRI PREMIUM - 1 KG,4,7394.50,2,Pedido histórico field mock (2025-10-03),true,5493587905250
PF-000008,ESP-003,AJI MOLIDO MORTERO - 1 KG,4,8613.00,3,Pedido histórico field mock (2025-06-01),true,5493582641213
PF-000008,ESP-001,AJI CAYENA MOLIDA AMARILLO - 1 KG,2,10161.00,3,Pedido histórico field mock (2025-06-01),true,5493582641213
PF-000008,ESP-092,PIMIENTA BLANCA MOLIDA PREMIUM CH - 1 KG,3,15291.00,3,Pedido histórico field mock (2025-06-01),true,5493582641213
PF-000008,ESP-065,PIMIENTA BLANCA MOLIDA PURA - 1 KG,2,39996.00,3,Pedido histórico field mock (2025-06-01),true,5493582641213
PF-000009,ESP-003,AJI MOLIDO MORTERO - 1 KG,2,8613.00,3,Pedido histórico field mock (2025-06-20),true,5493582641213
PF-000009,ESP-001,AJI CAYENA MOLIDA AMARILLO - 1 KG,1,10161.00,3,Pedido histórico field mock (2025-06-20),true,5493582641213
PF-000009,ESP-030,CONDIMENTO PARA PIZZA - 1 KG,1,5103.00,3,Pedido histórico field mock (2025-06-20),true,5493582641213
PF-000010,ESP-003,AJI MOLIDO MORTERO - 1 KG,3,8613.00,3,Pedido histórico field mock (2025-07-15),true,5493582641213
PF-000010,ESP-001,AJI CAYENA MOLIDA AMARILLO - 1 KG,2,10161.00,3,Pedido histórico field mock (2025-07-15),true,5493582641213
PF-000010,ESP-006,AJO DESHIDRATADO PARTIDO NACIONAL - 1 KG,3,10539.00,3,Pedido histórico field mock (2025-07-15),true,5493582641213
PF-000010,ESP-069,PIMIENTA JAMAICA EN GRANO O MOLIDA - 1 KG,3,64440.00,3,Pedido histórico field mock (2025-07-15),true,5493582641213
PF-000011,ESP-003,AJI MOLIDO MORTERO - 1 KG,3,8613.00,3,Pedido histórico field mock (2025-08-01),true,5493582641213
PF-000011,ESP-001,AJI CAYENA MOLIDA AMARILLO - 1 KG,2,10161.00,3,Pedido histórico field mock (2025-08-01),true,5493582641213
PF-000011,ESP-064,PIMIENTA BLANCA MOLIDA PREMIUM - 1 KG,2,32346.00,3,Pedido histórico field mock (2025-08-01),true,5493582641213
PF-000011,ESP-005,AJO DESHIDRATADO IMPORTADO CHINO - 1 KG,1,12762.00,3,Pedido histórico field mock (2025-08-01),true,5493582641213
PF-000012,ESP-003,AJI MOLIDO MORTERO - 1 KG,2,8613.00,3,Pedido histórico field mock (2025-08-28),true,5493582641213
PF-000012,ESP-001,AJI CAYENA MOLIDA AMARILLO - 1 KG,2,10161.00,3,Pedido histórico field mock (2025-08-28),true,5493582641213
PF-000012,ESP-030,CONDIMENTO PARA PIZZA - 1 KG,1,5103.00,3,Pedido histórico field mock (2025-08-28),true,5493582641213
PF-000013,ESP-003,AJI MOLIDO MORTERO - 1 KG,1,8613.00,3,Pedido histórico field mock (2025-09-16),true,5493582641213
PF-000013,ESP-001,AJI CAYENA MOLIDA AMARILLO - 1 KG,2,10161.00,3,Pedido histórico field mock (2025-09-16),true,5493582641213
PF-000014,ESP-003,AJI MOLIDO MORTERO - 1 KG,4,8613.00,3,Pedido histórico field mock (2025-10-03),true,5493582641213
PF-000014,ESP-001,AJI CAYENA MOLIDA AMARILLO - 1 KG,2,10161.00,3,Pedido histórico field mock (2025-10-03),true,5493582641213
PF-000015,ESP-003,AJI MOLIDO MORTERO - 1 KG,4,8134.50,4,Pedido histórico field mock (2025-06-01),true,5492991227644
PF-000015,ESP-002,AJI MOLIDO ECONOMICO - 1 KG,1,4496.50,4,Pedido histórico field mock (2025-06-01),true,5492991227644
PF-000015,ESP-062,PIMIENTA BLANCA MOLIDA ECONOMICA - 1 KG,3,8338.50,4,Pedido histórico field mock (2025-06-01),true,5492991227644
PF-000016,ESP-003,AJI MOLIDO MORTERO - 1 KG,4,8134.50,4,Pedido histórico field mock (2025-06-22),true,5492991227644
PF-000016,ESP-002,AJI MOLIDO ECONOMICO - 1 KG,4,4496.50,4,Pedido histórico field mock (2025-06-22),true,5492991227644
PF-000016,ESP-092,PIMIENTA BLANCA MOLIDA PREMIUM CH - 1 KG,3,14441.50,4,Pedido histórico field mock (2025-06-22),true,5492991227644
PF-000016,ESP-029,CONDIMENTO PARA ARROZ PREMIUM- 1 KG,4,10438.00,4,Pedido histórico field mock (2025-06-22),true,5492991227644
PF-000017,ESP-003,AJI MOLIDO MORTERO - 1 KG,3,8134.50,4,Pedido histórico field mock (2025-07-08),true,5492991227644
PF-000017,ESP-002,AJI MOLIDO ECONOMICO - 1 KG,2,4496.50,4,Pedido histórico field mock (2025-07-08),true,5492991227644
PF-000017,ESP-060,PIMIENTA ARABE - 1 KG,1,14509.50,4,Pedido histórico field mock (2025-07-08),true,5492991227644
PF-000018,ESP-003,AJI MOLIDO MORTERO - 1 KG,3,8134.50,4,Pedido histórico field mock (2025-07-31),true,5492991227644
PF-000018,ESP-002,AJI MOLIDO ECONOMICO - 1 KG,2,4496.50,4,Pedido histórico field mock (2025-07-31),true,5492991227644
PF-000018,ESP-060,PIMIENTA ARABE - 1 KG,1,14509.50,4,Pedido histórico field mock (2025-07-31),true,5492991227644
PF-000018,ESP-005,AJO DESHIDRATADO IMPORTADO CHINO - 1 KG,1,12053.00,4,Pedido histórico field mock (2025-07-31),true,5492991227644
PF-000019,ESP-003,AJI MOLIDO MORTERO - 1 KG,2,8134.50,4,Pedido histórico field mock (2025-08-25),true,5492991227644
PF-000019,ESP-002,AJI MOLIDO ECONOMICO - 1 KG,1,4496.50,4,Pedido histórico field mock (2025-08-25),true,5492991227644
PF-000019,ESP-060,PIMIENTA ARABE - 1 KG,4,14509.50,4,Pedido histórico field mock (2025-08-25),true,5492991227644
PF-000019,ESP-029,CONDIMENTO PARA ARROZ PREMIUM- 1 KG,1,10438.00,4,Pedido histórico field mock (2025-08-25),true,5492991227644
PF-000020,ESP-003,AJI MOLIDO MORTERO - 1 KG,1,8134.50,4,Pedido histórico field mock (2025-09-18),true,5492991227644
PF-000020,ESP-002,AJI MOLIDO ECONOMICO - 1 KG,4,4496.50,4,Pedido histórico field mock (2025-09-18),true,5492991227644
PF-000020,ESP-069,PIMIENTA JAMAICA EN GRANO O MOLIDA - 1 KG,1,60860.00,4,Pedido histórico field mock (2025-09-18),true,5492991227644
PF-000021,ESP-003,AJI MOLIDO MORTERO - 1 KG,1,8134.50,4,Pedido histórico field mock (2025-10-05),true,5492991227644
PF-000021,ESP-002,AJI MOLIDO ECONOMICO - 1 KG,4,4496.50,4,Pedido histórico field mock (2025-10-05),true,5492991227644
PF-000021,ESP-069,PIMIENTA JAMAICA EN GRANO O MOLIDA - 1 KG,4,60860.00,4,Pedido histórico field mock (2025-10-05),true,5492991227644
PF-000021,ESP-066,PIMIENTA BOUQUET 4 PIMIENTAS - 1 KG,2,25729.50,4,Pedido histórico field mock (2025-10-05),true,5492991227644
PF-000022,ESP-082,AJO DESHIDRATADO EN POLVO CHINO - 1 KG,2,11980.00,1,Pedido histórico field mock (2025-06-04),true,5493418277249
PF-000022,ESP-003,AJI MOLIDO MORTERO - 1 KG,3,9570.00,1,Pedido histórico field mock (2025-06-04),true,5493418277249
PF-000023,ESP-082,AJO DESHIDRATADO EN POLVO CHINO - 1 KG,3,11980.00,1,Pedido histórico field mock (2025-06-18),true,5493418277249
PF-000023,ESP-003,AJI MOLIDO MORTERO - 1 KG,1,9570.00,1,Pedido histórico field mock (2025-06-18),true,5493418277249
PF-000023,ESP-066,PIMIENTA BOUQUET 4 PIMIENTAS - 1 KG,2,30270.00,1,Pedido histórico field mock (2025-06-18),true,5493418277249
PF-000023,ESP-065,PIMIENTA BLANCA MOLIDA PURA - 1 KG,1,44440.00,1,Pedido histórico field mock (2025-06-18),true,5493418277249
PF-000024,ESP-082,AJO DESHIDRATADO EN POLVO CHINO - 1 KG,3,11980.00,1,Pedido histórico field mock (2025-07-15),true,5493418277249
PF-000024,ESP-003,AJI MOLIDO MORTERO - 1 KG,1,9570.00,1,Pedido histórico field mock (2025-07-15),true,5493418277249
PF-000024,ESP-005,AJO DESHIDRATADO IMPORTADO CHINO - 1 KG,4,14180.00,1,Pedido histórico field mock (2025-07-15),true,5493418277249
PF-000024,ESP-030,CONDIMENTO PARA PIZZA - 1 KG,1,5670.00,1,Pedido histórico field mock (2025-07-15),true,5493418277249
PF-000025,ESP-082,AJO DESHIDRATADO EN POLVO CHINO - 1 KG,4,11980.00,1,Pedido histórico field mock (2025-08-01),true,5493418277249
PF-000025,ESP-003,AJI MOLIDO MORTERO - 1 KG,2,9570.00,1,Pedido histórico field mock (2025-08-01),true,5493418277249
PF-000025,ESP-063,PIMIENTA BLANCA MOLIDA INTERMEDIA - 1 KG,1,20700.00,1,Pedido histórico field mock (2025-08-01),true,5493418277249
PF-000025,ESP-020,CHIMICHURRI PREMIUM - 1 KG,3,6430.00,1,Pedido histórico field mock (2025-08-01),true,5493418277249
PF-000026,ESP-082,AJO DESHIDRATADO EN POLVO CHINO - 1 KG,1,11980.00,1,Pedido histórico field mock (2025-08-20),true,5493418277249
PF-000026,ESP-003,AJI MOLIDO MORTERO - 1 KG,4,9570.00,1,Pedido histórico field mock (2025-08-20),true,5493418277249
PF-000026,ESP-029,CONDIMENTO PARA ARROZ PREMIUM- 1 KG,4,12280.00,1,Pedido histórico field mock (2025-08-20),true,5493418277249
PF-000026,ESP-060,PIMIENTA ARABE - 1 KG,1,17070.00,1,Pedido histórico field mock (2025-08-20),true,5493418277249
PF-000027,ESP-082,AJO DESHIDRATADO EN POLVO CHINO - 1 KG,4,11980.00,1,Pedido histórico field mock (2025-09-11),true,5493418277249
PF-000027,ESP-003,AJI MOLIDO MORTERO - 1 KG,4,9570.00,1,Pedido histórico field mock (2025-09-11),true,5493418277249
PF-000027,ESP-062,PIMIENTA BLANCA MOLIDA ECONOMICA - 1 KG,3,9810.00,1,Pedido histórico field mock (2025-09-11),true,5493418277249
PF-000027,ESP-067,PIMIENTA CAYENA AMARILLA - 1 KG,1,13030.00,1,Pedido histórico field mock (2025-09-11),true,5493418277249
PF-000028,ESP-082,AJO DESHIDRATADO EN POLVO CHINO - 1 KG,4,11980.00,1,Pedido histórico field mock (2025-10-08),true,5493418277249
PF-000028,ESP-003,AJI MOLIDO MORTERO - 1 KG,4,9570.00,1,Pedido histórico field mock (2025-10-08),true,5493418277249
PF-000029,ESP-082,AJO DESHIDRATADO EN POLVO CHINO - 1 KG,3,13777.00,2,Pedido histórico field mock (2025-06-01),true,5493587747641
PF-000029,ESP-001,AJI CAYENA MOLIDA AMARILLO - 1 KG,2,12983.50,2,Pedido histórico field mock (2025-06-01),true,5493587747641
PF-000029,ESP-067,PIMIENTA CAYENA AMARILLA - 1 KG,4,14984.50,2,Pedido histórico field mock (2025-06-01),true,5493587747641
PF-000029,ESP-020,CHIMICHURRI PREMIUM - 1 KG,3,7394.50,2,Pedido histórico field mock (2025-06-01),true,5493587747641
PF-000030,ESP-082,AJO DESHIDRATADO EN POLVO CHINO - 1 KG,1,13777.00,2,Pedido histórico field mock (2025-06-22),true,5493587747641
PF-000030,ESP-001,AJI CAYENA MOLIDA AMARILLO - 1 KG,2,12983.50,2,Pedido histórico field mock (2025-06-22),true,5493587747641
PF-000031,ESP-082,AJO DESHIDRATADO EN POLVO CHINO - 1 KG,2,13777.00,2,Pedido histórico field mock (2025-07-11),true,5493587747641
PF-000031,ESP-001,AJI CAYENA MOLIDA AMARILLO - 1 KG,4,12983.50,2,Pedido histórico field mock (2025-07-11),true,5493587747641
PF-000031,ESP-005,AJO DESHIDRATADO IMPORTADO CHINO - 1 KG,2,16307.00,2,Pedido histórico field mock (2025-07-11),true,5493587747641
PF-000032,ESP-082,AJO DESHIDRATADO EN POLVO CHINO - 1 KG,3,13777.00,2,Pedido histórico field mock (2025-08-04),true,5493587747641
PF-000032,ESP-001,AJI CAYENA MOLIDA AMARILLO - 1 KG,4,12983.50,2,Pedido histórico field mock (2025-08-04),true,5493587747641
PF-000033,ESP-082,AJO DESHIDRATADO EN POLVO CHINO - 1 KG,3,13777.00,2,Pedido histórico field mock (2025-08-19),true,5493587747641
PF-000033,ESP-001,AJI CAYENA MOLIDA AMARILLO - 1 KG,1,12983.50,2,Pedido histórico field mock (2025-08-19),true,5493587747641
PF-000033,ESP-030,CONDIMENTO PARA PIZZA - 1 KG,3,6520.50,2,Pedido histórico field mock (2025-08-19),true,5493587747641
PF-000034,ESP-082,AJO DESHIDRATADO EN POLVO CHINO - 1 KG,3,13777.00,2,Pedido histórico field mock (2025-09-13),true,5493587747641
PF-000034,ESP-001,AJI CAYENA MOLIDA AMARILLO - 1 KG,1,12983.50,2,Pedido histórico field mock (2025-09-13),true,5493587747641
PF-000035,ESP-082,AJO DESHIDRATADO EN POLVO CHINO - 1 KG,3,13777.00,2,Pedido histórico field mock (2025-10-06),true,5493587747641
PF-000035,ESP-001,AJI CAYENA MOLIDA AMARILLO - 1 KG,4,12983.50,2,Pedido histórico field mock (2025-10-06),true,5493587747641
PF-000035,ESP-067,PIMIENTA CAYENA AMARILLA - 1 KG,1,14984.50,2,Pedido histórico field mock (2025-10-06),true,5493587747641
