pedido_ref,cliente_phone,fecha,estado,total,notas,is_mock,es_pedido_abierto,source
PF-000001,5493587905250,2025-06-01 16:46:00,confirmado,93265.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000002,5493587905250,2025-06-27 18:09:00,confirmado,122199.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000003,5493587905250,2025-07-08 18:26:00,confirmado,238406.50,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000004,5493587905250,2025-08-03 11:46:00,confirmado,116817.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000005,5493587905250,2025-08-24 16:17:00,confirmado,26760.50,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000006,5493587905250,2025-09-14 14:04:00,confirmado,106375.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000007,5493587905250,2025-10-03 13:49:00,confirmado,138943.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000008,5493582641213,2025-06-01 18:10:00,confirmado,180639.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000009,5493582641213,2025-06-20 18:08:00,confirmado,32490.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000010,5493582641213,2025-07-15 17:52:00,confirmado,271098.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000011,5493582641213,2025-08-01 10:34:00,confirmado,123615.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000012,5493582641213,2025-08-28 12:04:00,confirmado,42651.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000013,5493582641213,2025-09-16 11:05:00,confirmado,28935.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000014,5493582641213,2025-10-03 16:09:00,confirmado,54774.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000015,5492991227644,2025-06-01 13:35:00,confirmado,62050.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000016,5492991227644,2025-06-22 13:41:00,confirmado,135600.50,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000017,5492991227644,2025-07-08 15:33:00,confirmado,47906.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000018,5492991227644,2025-07-31 18:31:00,confirmado,59959.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000019,5492991227644,2025-08-25 11:52:00,confirmado,89241.50,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000020,5492991227644,2025-09-18 17:31:00,confirmado,86980.50,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000021,5492991227644,2025-10-05 14:13:00,confirmado,321019.50,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000022,5493418277249,2025-06-04 17:24:00,confirmado,52670.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000023,5493418277249,2025-06-18 10:55:00,confirmado,150490.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000024,5493418277249,2025-07-15 16:55:00,confirmado,107900.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000025,5493418277249,2025-08-01 09:14:00,confirmado,107050.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000026,5493418277249,2025-08-20 16:03:00,confirmado,116450.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000027,5493418277249,2025-09-11 10:48:00,confirmado,128660.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000028,5493418277249,2025-10-08 17:06:00,confirmado,86200.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000029,5493587747641,2025-06-01 08:30:00,confirmado,149419.50,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000030,5493587747641,2025-06-22 18:43:00,confirmado,39744.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000031,5493587747641,2025-07-11 17:48:00,confirmado,112102.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000032,5493587747641,2025-08-04 14:57:00,confirmado,93265.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000033,5493587747641,2025-08-19 14:52:00,confirmado,73876.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000034,5493587747641,2025-09-13 13:39:00,confirmado,54314.50,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000035,5493587747641,2025-10-06 11:07:00,confirmado,108249.50,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000036,5492614053074,2025-06-02 11:42:00,confirmado,82728.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000037,5492614053074,2025-06-24 12:54:00,confirmado,13950.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000038,5492614053074,2025-07-17 09:58:00,confirmado,43263.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000039,5492614053074,2025-07-30 12:13:00,confirmado,81297.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000040,5492614053074,2025-08-29 11:02:00,confirmado,27900.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000041,5492614053074,2025-09-12 10:25:00,confirmado,23139.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000042,5492614053074,2025-10-06 11:22:00,confirmado,27900.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000043,5493514079279,2025-06-01 13:27:00,confirmado,138575.50,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000044,5493514079279,2025-06-26 11:08:00,confirmado,26035.50,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000045,5493514079279,2025-07-12 10:13:00,confirmado,83325.50,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000046,5493514079279,2025-08-07 16:49:00,confirmado,46928.50,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000047,5493514079279,2025-08-26 18:39:00,confirmado,8678.50,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000048,5493514079279,2025-09-11 16:59:00,confirmado,12860.50,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000049,5493514079279,2025-10-03 13:45:00,confirmado,77129.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000050,5493876914178,2025-06-01 14:28:00,confirmado,43640.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000051,5493876914178,2025-06-26 14:26:00,confirmado,258440.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000052,5493876914178,2025-07-13 17:48:00,confirmado,73030.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000053,5493876914178,2025-08-07 08:44:00,confirmado,257610.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000054,5493876914178,2025-08-28 14:51:00,confirmado,26740.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000055,5493876914178,2025-09-12 17:24:00,confirmado,45780.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000056,5493876914178,2025-10-07 08:43:00,confirmado,100990.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000057,5492617175545,2025-06-01 08:40:00,confirmado,75290.50,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000058,5492617175545,2025-06-20 14:12:00,confirmado,112067.50,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000059,5492617175545,2025-07-11 10:21:00,confirmado,153019.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000060,5492617175545,2025-08-08 17:46:00,confirmado,57005.50,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000061,5492617175545,2025-08-25 14:39:00,confirmado,49116.50,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000062,5492617175545,2025-09-13 12:18:00,confirmado,82972.50,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000063,5492617175545,2025-10-04 13:52:00,confirmado,80592.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000064,5493818437953,2025-06-03 13:32:00,confirmado,41526.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000065,5493818437953,2025-06-17 16:09:00,confirmado,31995.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000066,5493818437953,2025-07-17 13:50:00,confirmado,129177.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000067,5493818437953,2025-08-07 09:26:00,confirmado,18711.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000068,5493818437953,2025-08-20 09:50:00,confirmado,189216.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000069,5493818437953,2025-09-18 08:10:00,confirmado,162324.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000070,5493818437953,2025-10-02 12:36:00,confirmado,110601.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000071,5493582132179,2025-06-04 09:10:00,confirmado,41131.50,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000072,5493582132179,2025-07-10 10:29:00,confirmado,251736.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000073,5493582132179,2025-08-16 15:09:00,confirmado,105553.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000074,5493582132179,2025-09-18 13:32:00,confirmado,70150.50,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000075,5493582132179,2025-10-31 16:24:00,confirmado,73780.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000076,5493582132179,2025-12-05 17:11:00,confirmado,200098.50,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000077,5493582132179,2026-01-14 16:38:00,confirmado,152464.50,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000078,5493582132179,2026-04-12 12:17:00,confirmado,59338.50,Pedido reciente field mock,true,false,fase-06-1-field-recent
PF-000079,5493582132179,2026-04-23 08:18:00,confirmado,37153.50,Pedido reciente field mock,true,false,fase-06-1-field-recent
PF-000080,5493582132179,2026-05-04 16:02:00,confirmado,33286.00,Pedido reciente field mock,true,false,fase-06-1-field-recent
PF-000081,5493872845902,2025-06-06 18:31:00,confirmado,176360.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000082,5493872845902,2025-07-08 08:14:00,confirmado,49740.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000083,5493872845902,2025-08-18 09:24:00,confirmado,156400.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000084,5493872845902,2025-09-25 10:40:00,confirmado,33160.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000085,5493872845902,2025-10-27 10:01:00,confirmado,34900.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000086,5493872845902,2025-12-03 18:50:00,confirmado,55030.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000087,5493872845902,2026-01-19 15:00:00,confirmado,55740.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000088,5493872845902,2026-04-04 13:53:00,confirmado,20050.00,Pedido reciente field mock,true,false,fase-06-1-field-recent
PF-000089,5493872845902,2026-05-01 12:55:00,confirmado,19410.00,Pedido reciente field mock,true,false,fase-06-1-field-recent
PF-000090,5493872845902,2026-05-12 08:41:00,confirmado,46520.00,Pedido reciente field mock,true,false,fase-06-1-field-recent
PF-000091,5492997670210,2025-06-01 14:17:00,confirmado,78050.50,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000092,5492997670210,2025-07-14 14:08:00,confirmado,58512.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000093,5492997670210,2025-08-18 14:16:00,confirmado,38870.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000094,5492997670210,2025-09-19 17:47:00,confirmado,125350.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000095,5492997670210,2025-11-05 15:29:00,confirmado,112562.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000096,5492997670210,2025-12-07 09:16:00,confirmado,38870.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000097,5492997670210,2026-01-11 14:05:00,confirmado,116955.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000098,5492997670210,2026-04-15 12:35:00,confirmado,36972.50,Pedido reciente field mock,true,false,fase-06-1-field-recent
PF-000099,5492997670210,2026-05-14 11:43:00,confirmado,38985.00,Pedido reciente field mock,true,false,fase-06-1-field-recent
PF-000100,5492997670210,2026-05-15 08:17:00,confirmado,11741.50,Pedido reciente field mock,true,false,fase-06-1-field-recent
PF-000101,5493811657614,2025-06-01 08:14:00,confirmado,29826.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000102,5493811657614,2025-07-14 12:17:00,confirmado,168822.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000103,5493811657614,2025-08-12 13:59:00,confirmado,47889.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000104,5493811657614,2025-09-18 13:46:00,confirmado,66195.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000105,5493811657614,2025-10-30 10:08:00,confirmado,105111.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000106,5493811657614,2025-12-09 08:58:00,confirmado,143667.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000107,5493811657614,2026-01-14 09:51:00,confirmado,241209.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000108,5493811657614,2026-04-12 10:37:00,confirmado,19017.00,Pedido reciente field mock,true,false,fase-06-1-field-recent
PF-000109,5493811657614,2026-04-18 09:05:00,confirmado,33606.00,Pedido reciente field mock,true,false,fase-06-1-field-recent
PF-000110,5493811657614,2026-04-25 08:38:00,confirmado,30510.00,Pedido reciente field mock,true,false,fase-06-1-field-recent
PF-000111,5492994145193,2025-06-01 16:41:00,confirmado,36422.50,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000112,5492994145193,2025-07-05 09:59:00,confirmado,62084.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000113,5492994145193,2025-08-18 13:27:00,confirmado,24862.50,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000114,5492994145193,2025-09-28 14:21:00,confirmado,255756.50,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000115,5492994145193,2025-10-29 13:21:00,confirmado,32767.50,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000116,5492994145193,2025-12-06 13:52:00,confirmado,32767.50,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000117,5492994145193,2026-01-16 18:52:00,confirmado,40902.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000118,5492994145193,2026-04-29 13:19:00,confirmado,13175.00,Pedido reciente field mock,true,false,fase-06-1-field-recent
PF-000119,5492994145193,2026-04-30 12:21:00,confirmado,53193.00,Pedido reciente field mock,true,false,fase-06-1-field-recent
PF-000120,5492994145193,2026-05-01 10:51:00,confirmado,34586.50,Pedido reciente field mock,true,false,fase-06-1-field-recent
PF-000121,5493515971311,2025-06-01 17:59:00,confirmado,102490.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
