client_phone,session_id,sender_type,type,message,content,created_at,is_mock
5492612780568,5492612780568,ai,ai,"Hola Fiambres El Nativo, paso a revisar tu pedido P-00099 de DISCO 22 * 6 ELECTRICA DEVI.","Hola Fiambres El Nativo, paso a revisar tu pedido P-00099 de DISCO 22 * 6 ELECTRICA DEVI.",2026-08-19 15:42:01,true
5492612780568,5492612780568,human,human,"Buen dia, eso fue lo que pedimos el otro dia?","Buen dia, eso fue lo que pedimos el otro dia?",2026-08-19 15:43:30,true
5492612780568,5492612780568,ai,ai,Te confirmo que el pedido P-00099 fue registrado correctamente por 45760.00.,Te confirmo que el pedido P-00099 fue registrado correctamente por 45760.00.,2026-08-19 15:44:26,true
5492612780568,5492612780568,ai,ai,Quedo atento por cualquier otra duda. Gracias.,Quedo atento por cualquier otra duda. Gracias.,2026-08-19 15:45:35,true
5492612928724,5492612928724,ai,ai,"Hola Elaboradora El Portal, paso a revisar tu pedido P-00123 de NUEZ MOSCADA MOLIDA PREMIUM - 1 KG.","Hola Elaboradora El Portal, paso a revisar tu pedido P-00123 de NUEZ MOSCADA MOLIDA PREMIUM - 1 KG.",2026-08-20 17:42:01,true
5492612928724,5492612928724,human,human,"Buen dia, eso fue lo que pedimos el otro dia?","Buen dia, eso fue lo que pedimos el otro dia?",2026-08-20 17:42:46,true
5492612928724,5492612928724,ai,ai,Te confirmo que el pedido P-00123 fue registrado correctamente por 395760.00.,Te confirmo que el pedido P-00123 fue registrado correctamente por 395760.00.,2026-08-20 17:43:19,true
5492612928724,5492612928724,human,human,"Perfecto, gracias.","Perfecto, gracias.",2026-08-20 17:44:52,true
5492612928724,5492612928724,ai,ai,Quedo atento por cualquier otra duda. Gracias.,Quedo atento por cualquier otra duda. Gracias.,2026-08-20 17:45:48,true
5492614053074,5492614053074,ai,ai,"Hola Fiambres Don Pedro, vi que tenes un pedido abierto por HUEVO EN POLVO SUPER RENDIDOR - X 10 KG y queria ayudarte a cerrarlo.","Hola Fiambres Don Pedro, vi que tenes un pedido abierto por HUEVO EN POLVO SUPER RENDIDOR - X 10 KG y queria ayudarte a cerrarlo.",2026-08-20 14:42:01,true
5492614053074,5492614053074,human,human,"Buen dia, pasame detalle de ese pedido por favor.","Buen dia, pasame detalle de ese pedido por favor.",2026-08-20 14:43:39,true
5492614053074,5492614053074,ai,ai,Te confirmo que el pedido P-00156 sigue en curso por un total de 288140.00. Si queres te lo dejo cerrado hoy.,Te confirmo que el pedido P-00156 sigue en curso por un total de 288140.00. Si queres te lo dejo cerrado hoy.,2026-08-20 14:44:15,true
5492614053074,5492614053074,human,human,"Dale, mandamelo asi.","Dale, mandamelo asi.",2026-08-20 14:45:33,true
5492614053074,5492614053074,ai,ai,"Genial, te lo dejo confirmado y en preparacion.","Genial, te lo dejo confirmado y en preparacion.",2026-08-20 14:46:50,true
