pedido_ref,cliente_phone,fecha,estado,total,notas,is_mock,es_pedido_abierto,source
PF-000001,5493435770487,2025-06-05 14:49:00,confirmado,99475.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000002,5493435770487,2025-06-17 10:59:00,confirmado,30475.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000003,5493435770487,2025-07-16 14:59:00,confirmado,37375.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000004,5493435770487,2025-08-08 17:08:00,confirmado,92000.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000005,5493435770487,2025-08-27 09:57:00,confirmado,82800.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000006,5493435770487,2025-09-18 08:42:00,confirmado,150075.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000007,5493435770487,2025-10-08 18:21:00,confirmado,73025.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000008,5493435246316,2025-06-01 12:30:00,confirmado,37800.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000009,5493435246316,2025-06-20 11:37:00,confirmado,19350.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000010,5493435246316,2025-07-11 18:18:00,confirmado,35550.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000011,5493435246316,2025-07-30 09:20:00,confirmado,35550.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000012,5493435246316,2025-08-26 18:11:00,confirmado,14850.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000013,5493435246316,2025-09-14 16:57:00,confirmado,80550.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000014,5493435246316,2025-10-02 18:42:00,confirmado,5400.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000015,5493435191161,2025-06-01 10:45:00,confirmado,76925.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000016,5493435191161,2025-06-27 11:37:00,confirmado,25925.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000017,5493435191161,2025-07-16 18:44:00,confirmado,43775.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000018,5493435191161,2025-08-07 11:17:00,confirmado,9775.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000019,5493435191161,2025-08-25 10:31:00,confirmado,6800.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000020,5493435191161,2025-09-16 08:36:00,confirmado,9350.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000021,5493435191161,2025-09-30 14:39:00,confirmado,45050.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000022,5493435343962,2025-06-06 13:41:00,confirmado,22500.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000023,5493435343962,2025-06-22 16:18:00,confirmado,8000.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000024,5493435343962,2025-07-14 10:17:00,confirmado,53000.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
