pedido_ref,cliente_phone,cliente_codigo,product_code,nombre,cantidad_solicitada,precio_unitario,lista_precios_id,notas,is_mock,es_pedido_abierto,promo_aplicada
P-00001,5493435770487,25001,69b0150814fe850004359177,PROTECTOR DE BAÑO 75 MICRONES,5,5175.00,2,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00001,5493435770487,25001,69a9712293e33d0004fa775c,DESMENUZADOR / TRITURADOS DE CARNES,1,4025.00,2,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00001,5493435770487,25001,69d84541ab286c0004515f53,BOTELLA HIELERA,4,17250.00,2,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00001,5493435770487,25001,6895046acdf946000440b36e,"PONY PARA PEINAR ""TINY""",3,17250.00,2,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00002,5493435770487,25001,69a991c74313b50004f14a44,SET GEOMETRIA FLEXIBLES,4,2300.00,2,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00002,5493435770487,25001,69b011e134b6e90004284252,CINTA EMBALAR 50MTS X 5 UNIDADES,5,6900.00,2,Pedido: 5 unidad (normalizado: 25 unidad; equiv: 5 unidad),true,false,false
P-00002,5493435770487,25001,69a9953d4313b50004f14a4d,LAPIZ ESTUCHE TUBO X 36,3,8625.00,2,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00003,5493435770487,25001,69a995864313b50004f14a4f,CARTUCHERA TUBO CAMUFLADO,3,2300.00,2,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00004,5493435246316,25002,69b00f3514fe85000435916e,ALFOMBRA PARA BAÑO OVALADA,5,3600.00,3,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00004,5493435246316,25002,69a995d34313b50004f14a51,SET ESCOLAR SURTIDO EN BLISTER,5,2250.00,3,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00004,5493435246316,25002,68092bb47b096f00046bfec9,CAPELINA CON OREJITAS NENA,5,13500.00,3,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00004,5493435246316,25002,69b012e19202430004c3fb31,COVERTOR DE CAMA 2 1/2 PLAZAS,3,18450.00,3,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00005,5493435246316,25002,6808d99fcf60490004aecbe3,CORTINA DE BAÑO DE PVC,3,5400.00,3,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
