ticket_ref,categoria,status,description,client_phone,mensaje_cruzado_incoming,created_at,closed_at,is_mock
TKT-2356,Calidad,open,Reclamo por DOSIFICADOR SPRAY ACEITE/VINAGRE con entrega en mal estado o faltante parcial.,5493435770487,"Hola, me llego DOSIFICADOR SPRAY ACEITE/VINAGRE en mal estado y quiero hacer el reclamo.",2026-08-09 11:15:00,,true
TKT-2357,Calidad,open,Reclamo por PELUCHE LABUBU GIGANTE con entrega en mal estado o faltante parcial.,5493435246316,"Hola, me llego PELUCHE LABUBU GIGANTE en mal estado y quiero hacer el reclamo.",2026-08-08 08:15:00,,true
TKT-2358,Calidad,open,Reclamo por CARTUCHERA TUBO CAMUFLADO con entrega en mal estado o faltante parcial.,5493435191161,"Hola, me llego CARTUCHERA TUBO CAMUFLADO en mal estado y quiero hacer el reclamo.",2026-08-07 05:15:00,,true
TKT-2359,Logistica,open,Demora en la entrega del pedido P-00151 de LLAVERO DE CAPIBARA.,5493435343962,"Buen dia, sigo esperando el pedido P-00151 de LLAVERO DE CAPIBARA y no llego.",2026-08-09 02:15:00,,true
TKT-2360,Logistica,open,Demora en la entrega del pedido P-00123 de SET NIVEL - TIRA LINEA CON TIZA.,5493435122056,"Buen dia, sigo esperando el pedido P-00123 de SET NIVEL - TIRA LINEA CON TIZA y no llego.",2026-08-08 11:15:00,,true
TKT-2361,Logistica,open,Demora en la entrega del pedido P-00126 de PARAGUAS MINI PLEGABLE UV.,5493435132938,"Buen dia, sigo esperando el pedido P-00126 de PARAGUAS MINI PLEGABLE UV y no llego.",2026-08-07 08:15:00,,true
TKT-2362,Comercial,open,Pide hablar con el encargado comercial por la cuenta de Juguetería La Esquina 1.,5493435770487,,2026-08-09 05:15:00,,true
TKT-2363,Administracion,open,Solicita corregir datos administrativos de Blanquería La Costanera 2 en el sistema.,5493435246316,,2026-08-08 02:15:00,,true
TKT-2364,Comercial,open,Pide hablar con el encargado comercial por la cuenta de Multirubro Aura 3.,5493435191161,,2026-08-07 11:15:00,,true
TKT-2365,Administracion,open,Solicita corregir datos administrativos de Proveeduría Este 4 en el sistema.,5493435343962,,2026-08-09 08:15:00,,true
TKT-2366,Comercial,open,Pide hablar con el encargado comercial por la cuenta de Multirubro Baja 41.,5493435122056,,2026-08-08 05:15:00,,true
TKT-2367,Administracion,closed,Solicita corregir datos administrativos de Todo Hogar Entre Ríos 43 en el sistema.,5493435132938,,2026-07-24 05:15:00,2026-07-24 20:15:00,true
TKT-2368,Comercial,closed,Pide hablar con el encargado comercial por la cuenta de Blanquería Central 42.,5493435174441,,2026-07-23 11:15:00,2026-07-24 03:15:00,true
TKT-2369,Logistica,closed,Demora en la entrega del pedido P-00132 de JUEGO DE SÁBANAS 2 1/2 PLAZAS.,5493435526833,,2026-07-22 09:15:00,2026-07-23 02:15:00,true
TKT-2370,Calidad,closed,Reclamo por CINTA METRICA 3M con entrega en mal estado o faltante parcial.,5493435544154,,2026-07-21 07:15:00,2026-07-22 01:15:00,true
TKT-2371,Administracion,closed,Solicita corregir datos administrativos de Blanquería Alta 5 en el sistema.,5493435781453,,2026-07-20 05:15:00,2026-07-21 00:15:00,true
TKT-2372,Comercial,closed,Pide hablar con el encargado comercial por la cuenta de Accesorios El Centro 6.,5493435391704,,2026-08-04 11:15:00,2026-08-05 07:15:00,true
TKT-2373,Logistica,closed,Demora en la entrega del pedido P-00157 de REPASADOR ECO.,5493435543143,,2026-08-03 09:15:00,2026-08-04 06:15:00,true
