pedido_ref,product_code,nombre,cantidad_solicitada,precio_unitario,lista_precios_id,notas,is_mock,cliente_phone
PF-000001,1305,FRUTILLA MOUSSE P/HELADOS X 5 KG,1,278706.71,2,Pedido histórico field mock (2025-06-06),true,5493587905250
PF-000001,1304,FRAMBUESA MOUSSE P/ HELADOS X 5 KG,3,278706.71,2,Pedido histórico field mock (2025-06-06),true,5493587905250
PF-000002,1305,FRUTILLA MOUSSE P/HELADOS X 5 KG,1,278706.71,2,Pedido histórico field mock (2025-06-17),true,5493587905250
PF-000002,1304,FRAMBUESA MOUSSE P/ HELADOS X 5 KG,1,278706.71,2,Pedido histórico field mock (2025-06-17),true,5493587905250
PF-000002,1308,MANDARINA BRI( POLVO PARA PREPARAR HELADO) X 3 KG,3,30955.52,2,Pedido histórico field mock (2025-06-17),true,5493587905250
PF-000003,1305,FRUTILLA MOUSSE P/HELADOS X 5 KG,1,278706.71,2,Pedido histórico field mock (2025-07-12),true,5493587905250
PF-000003,1304,FRAMBUESA MOUSSE P/ HELADOS X 5 KG,2,278706.71,2,Pedido histórico field mock (2025-07-12),true,5493587905250
PF-000004,1305,FRUTILLA MOUSSE P/HELADOS X 5 KG,2,278706.71,2,Pedido histórico field mock (2025-08-08),true,5493587905250
PF-000004,1304,FRAMBUESA MOUSSE P/ HELADOS X 5 KG,4,278706.71,2,Pedido histórico field mock (2025-08-08),true,5493587905250
PF-000004,1333,"CHANTILLY GB020 X 7,5 KG",3,184351.67,2,Pedido histórico field mock (2025-08-08),true,5493587905250
PF-000005,1305,FRUTILLA MOUSSE P/HELADOS X 5 KG,1,278706.71,2,Pedido histórico field mock (2025-08-27),true,5493587905250
PF-000005,1304,FRAMBUESA MOUSSE P/ HELADOS X 5 KG,3,278706.71,2,Pedido histórico field mock (2025-08-27),true,5493587905250
PF-000006,1305,FRUTILLA MOUSSE P/HELADOS X 5 KG,2,278706.71,2,Pedido histórico field mock (2025-09-19),true,5493587905250
PF-000006,1304,FRAMBUESA MOUSSE P/ HELADOS X 5 KG,1,278706.71,2,Pedido histórico field mock (2025-09-19),true,5493587905250
PF-000007,1305,FRUTILLA MOUSSE P/HELADOS X 5 KG,1,278706.71,2,Pedido histórico field mock (2025-10-02),true,5493587905250
PF-000007,1304,FRAMBUESA MOUSSE P/ HELADOS X 5 KG,4,278706.71,2,Pedido histórico field mock (2025-10-02),true,5493587905250
PF-000007,1333,"CHANTILLY GB020 X 7,5 KG",3,184351.67,2,Pedido histórico field mock (2025-10-02),true,5493587905250
PF-000008,1302,CHOCOLATE MOUSSE P/HELADOS X 5 KG,1,261274.00,3,Pedido histórico field mock (2025-06-01),true,5493582641213
PF-000008,1303,DULCE DE LECHE MOUSSE P/ HELADOS X 5 KG,2,218118.29,3,Pedido histórico field mock (2025-06-01),true,5493582641213
PF-000008,1311,LIMON BRI X 2.5 KG,2,24226.86,3,Pedido histórico field mock (2025-06-01),true,5493582641213
PF-000009,1302,CHOCOLATE MOUSSE P/HELADOS X 5 KG,2,261274.00,3,Pedido histórico field mock (2025-06-24),true,5493582641213
PF-000009,1303,DULCE DE LECHE MOUSSE P/ HELADOS X 5 KG,4,218118.29,3,Pedido histórico field mock (2025-06-24),true,5493582641213
PF-000009,1310,NARANJA BRI ( POLVO PARA PREPARAR HELADOS) X 3 KG,3,24226.06,3,Pedido histórico field mock (2025-06-24),true,5493582641213
PF-000009,1308,MANDARINA BRI( POLVO PARA PREPARAR HELADO) X 3 KG,2,24226.06,3,Pedido histórico field mock (2025-06-24),true,5493582641213
PF-000010,1302,CHOCOLATE MOUSSE P/HELADOS X 5 KG,4,261274.00,3,Pedido histórico field mock (2025-07-09),true,5493582641213
