pedido_ref,cliente_phone,fecha,estado,total,notas,is_mock,es_pedido_abierto,source
PF-000001,5493587905250,2025-06-06 09:41:00,confirmado,1114826.84,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000002,5493587905250,2025-06-17 12:22:00,confirmado,650279.98,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000003,5493587905250,2025-07-12 17:14:00,confirmado,836120.13,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000004,5493587905250,2025-08-08 10:21:00,confirmado,2225295.27,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000005,5493587905250,2025-08-27 12:42:00,confirmado,1114826.84,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000006,5493587905250,2025-09-19 12:57:00,confirmado,836120.13,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000007,5493587905250,2025-10-02 10:20:00,confirmado,1946588.56,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000008,5493582641213,2025-06-01 12:04:00,confirmado,745964.30,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000009,5493582641213,2025-06-24 18:46:00,confirmado,1516151.46,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000010,5493582641213,2025-07-09 13:04:00,confirmado,1987484.42,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000011,5493582641213,2025-08-05 13:45:00,confirmado,1579435.88,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000012,5493582641213,2025-08-29 15:30:00,confirmado,958784.58,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000013,5493582641213,2025-09-13 16:09:00,confirmado,1316962.82,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000014,5493582641213,2025-10-10 10:43:00,confirmado,1705932.70,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000015,5492991227644,2025-06-02 16:31:00,confirmado,1030003.05,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000016,5492991227644,2025-06-21 14:55:00,confirmado,1938422.13,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000017,5492991227644,2025-07-08 10:17:00,confirmado,824002.44,Pedido histórico field mock,true,false,fase-06-1-field-backbone
