ticket_ref,categoria,status,description,client_phone,mensaje_cruzado_incoming,created_at,closed_at,is_mock
TKT-2259,Calidad,open,Reclamo por FLEIGEL NARANJA X 15 GR con entrega en mal estado o faltante parcial.,5493587905250,"Hola, me llego FLEIGEL NARANJA X 15 GR en mal estado y quiero hacer el reclamo.",2026-08-09 11:15:00,,true
TKT-2260,Calidad,open,Reclamo por GELATINA SABOR NARANJA X 1KG con entrega en mal estado o faltante parcial.,5493582641213,"Hola, me llego GELATINA SABOR NARANJA X 1KG en mal estado y quiero hacer el reclamo.",2026-08-08 08:15:00,,true
TKT-2261,Calidad,open,Reclamo por PASTA MASCARPONE X 5 KG con entrega en mal estado o faltante parcial.,5492991227644,"Hola, me llego PASTA MASCARPONE X 5 KG en mal estado y quiero hacer el reclamo.",2026-08-07 05:15:00,,true
TKT-2262,Logistica,open,Demora en la entrega del pedido P-00154 de MINI MERENGUITOS BLANCO X 12 PAQ.,5493418277249,"Buen dia, sigo esperando el pedido P-00154 de MINI MERENGUITOS BLANCO X 12 PAQ y no llego.",2026-08-09 02:15:00,,true
TKT-2263,Logistica,open,Demora en la entrega del pedido P-00123 de GRANA MIX CORAZON BLANCO-ROJO X 1 KG.,5492612928724,"Buen dia, sigo esperando el pedido P-00123 de GRANA MIX CORAZON BLANCO-ROJO X 1 KG y no llego.",2026-08-08 11:15:00,,true
TKT-2264,Logistica,open,Demora en la entrega del pedido P-00126 de VELA FINITAS DE 17 CM X 24 UNI TORNEADAS MULTICOLOR.,5492617236955,"Buen dia, sigo esperando el pedido P-00126 de VELA FINITAS DE 17 CM X 24 UNI TORNEADAS MULTICOLOR y no llego.",2026-08-07 08:15:00,,true
TKT-2265,Comercial,open,Pide hablar con el encargado comercial por la cuenta de Heladería Del Valle.,5493587905250,,2026-08-09 05:15:00,,true
TKT-2266,Administracion,open,Solicita corregir datos administrativos de Confitería La Patagonia en el sistema.,5493582641213,,2026-08-08 02:15:00,,true
TKT-2267,Comercial,open,Pide hablar con el encargado comercial por la cuenta de Pastelería Don Julio.,5492991227644,,2026-08-07 11:15:00,,true
TKT-2268,Administracion,open,Solicita corregir datos administrativos de Repostería Los Pinos en el sistema.,5493418277249,,2026-08-09 08:15:00,,true
TKT-2269,Comercial,open,Pide hablar con el encargado comercial por la cuenta de Panadería-Confitería Paso Córdoba.,5492612928724,,2026-08-08 05:15:00,,true
TKT-2270,Administracion,closed,Solicita corregir datos administrativos de Repostería La Quinta en el sistema.,5492617236955,,2026-07-24 05:15:00,2026-07-24 20:15:00,true
TKT-2271,Comercial,closed,Pide hablar con el encargado comercial por la cuenta de Pastelería El Sauce.,5492617413812,,2026-07-23 11:15:00,2026-07-24 03:15:00,true
TKT-2272,Logistica,closed,Demora en la entrega del pedido P-00132 de VARY CRISTAL MINT X 900 GRS.,5492998066543,,2026-07-22 09:15:00,2026-07-23 02:15:00,true
TKT-2273,Calidad,closed,Reclamo por VELA FINITAS DE 17 CM X 24 UNI TORNEADAS ROSA con entrega en mal estado o faltante parcial.,5492999435946,,2026-07-21 07:15:00,2026-07-22 01:15:00,true
TKT-2274,Administracion,closed,Solicita corregir datos administrativos de Panadería-Confitería El Manzano en el sistema.,5493587747641,,2026-07-20 05:15:00,2026-07-21 00:15:00,true
TKT-2275,Comercial,closed,Pide hablar con el encargado comercial por la cuenta de Café Helados Norte.,5492614053074,,2026-08-04 11:15:00,2026-08-05 07:15:00,true
TKT-2276,Logistica,closed,Demora en la entrega del pedido P-00157 de POLVO PARA HELADOS SOFT JAMER X 9 KG CHOCOLATE.,5493514079279,,2026-08-03 09:15:00,2026-08-04 06:15:00,true
