pedido_ref,cliente_phone,fecha,estado,total,notas,is_mock,es_pedido_abierto,source
PF-000001,+5491199901,2025-06-02 10:50:00,confirmado,3815.82,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000002,+5491199901,2025-06-21 17:36:00,confirmado,1354.82,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000003,+5491199901,2025-07-18 16:18:00,confirmado,677.41,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000004,+5491199901,2025-08-07 10:29:00,confirmado,2268.79,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000005,+5491199901,2025-08-27 16:24:00,confirmado,2028.86,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000006,+5491199901,2025-09-15 10:25:00,confirmado,4034.36,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000007,+5491199901,2025-10-02 10:18:00,confirmado,2282.67,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000008,+5491199902,2025-06-01 10:02:00,confirmado,3958.09,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000009,+5491199902,2025-06-19 12:14:00,confirmado,2794.49,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000010,+5491199902,2025-07-09 09:25:00,confirmado,3280.95,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000011,+5491199902,2025-08-01 08:26:00,confirmado,1438.67,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000012,+5491199902,2025-08-25 13:07:00,confirmado,4596.81,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000013,+5491199902,2025-09-16 13:41:00,confirmado,2454.10,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000014,+5491199902,2025-10-04 10:33:00,confirmado,2794.49,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000015,+5491199903,2025-06-02 18:20:00,confirmado,2050.70,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000016,+5491199903,2025-06-24 12:21:00,confirmado,2578.70,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000017,+5491199903,2025-07-09 12:43:00,confirmado,1708.22,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000018,+5491199903,2025-08-04 11:32:00,confirmado,1413.83,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000019,+5491199903,2025-08-22 17:05:00,confirmado,1708.22,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000020,+5491199903,2025-09-13 08:34:00,confirmado,1365.74,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000021,+5491199903,2025-10-10 14:42:00,confirmado,4189.41,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000022,+5491199904,2025-06-04 08:36:00,confirmado,2502.50,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000023,+5491199904,2025-06-25 16:44:00,confirmado,1367.83,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000024,+5491199904,2025-07-17 11:07:00,confirmado,3391.02,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000025,+5491199904,2025-08-02 10:41:00,confirmado,3257.19,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000026,+5491199904,2025-08-19 10:12:00,confirmado,3522.08,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000027,+5491199904,2025-09-18 08:21:00,confirmado,2686.69,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000028,+5491199904,2025-10-09 13:19:00,confirmado,3211.34,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000029,3515414430,2025-06-01 18:41:00,confirmado,1704.04,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000030,3515414430,2025-06-21 16:04:00,confirmado,1413.83,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000031,3515414430,2025-07-13 10:17:00,confirmado,4305.62,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000032,3515414430,2025-08-07 12:05:00,confirmado,1367.83,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000033,3515414430,2025-08-26 12:59:00,confirmado,2268.07,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000034,3515414430,2025-09-17 14:15:00,confirmado,1574.32,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000035,3515414430,2025-10-10 13:58:00,confirmado,1023.26,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000036,5493515128177,2025-06-01 14:21:00,confirmado,2427.43,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000037,5493515128177,2025-06-21 11:11:00,confirmado,2025.17,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000038,5493515128177,2025-07-17 18:27:00,confirmado,1999.01,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000039,5493515128177,2025-08-05 08:45:00,confirmado,1315.51,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000040,5493515128177,2025-08-26 13:13:00,confirmado,2131.46,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000041,5493515128177,2025-09-14 18:51:00,confirmado,3521.61,Pedido histórico field mock,true,false,fase-06-1-field-backbone
