pedido_ref,cliente_phone,fecha,estado,total,notas,is_mock,es_pedido_abierto,source
PF-000001,5493587905250,2025-06-01 14:52:00,confirmado,21666.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000002,5493587905250,2025-06-23 11:08:00,confirmado,15962.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000003,5493587905250,2025-07-13 08:35:00,confirmado,4312.50,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000004,5493587905250,2025-08-07 08:33:00,confirmado,8291.50,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000005,5493587905250,2025-08-29 09:00:00,confirmado,4485.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000006,5493587905250,2025-09-09 11:18:00,confirmado,10879.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000007,5493587905250,2025-10-02 11:44:00,confirmado,4485.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000008,5493582641213,2025-06-04 12:21:00,confirmado,52605.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000009,5493582641213,2025-06-18 13:22:00,confirmado,5535.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000010,5493582641213,2025-07-09 17:07:00,confirmado,54513.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000011,5493582641213,2025-08-08 08:21:00,confirmado,12177.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000012,5493582641213,2025-08-21 15:32:00,confirmado,5139.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000013,5493582641213,2025-09-19 17:14:00,confirmado,4590.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000014,5493582641213,2025-10-06 12:18:00,confirmado,20520.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000015,5492991227644,2025-06-01 17:13:00,confirmado,7777.50,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000016,5492991227644,2025-06-20 15:21:00,confirmado,27327.50,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000017,5492991227644,2025-07-15 14:48:00,confirmado,6630.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000018,5492991227644,2025-07-30 13:20:00,confirmado,9256.50,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000019,5492991227644,2025-08-27 10:11:00,confirmado,4020.50,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000020,5492991227644,2025-09-13 09:53:00,confirmado,7276.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000021,5492991227644,2025-10-09 17:38:00,confirmado,2167.50,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000022,5493418277249,2025-06-05 18:59:00,confirmado,6150.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000023,5493418277249,2025-06-22 17:49:00,confirmado,61690.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000024,5493418277249,2025-07-08 17:25:00,confirmado,13160.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000025,5493418277249,2025-07-30 18:13:00,confirmado,9170.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000026,5493418277249,2025-08-26 14:26:00,confirmado,5100.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000027,5493418277249,2025-09-17 14:07:00,confirmado,59800.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000028,5493418277249,2025-10-08 09:25:00,confirmado,13140.00,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000029,5493587747641,2025-06-01 15:03:00,confirmado,2932.50,Pedido histórico field mock,true,false,fase-06-1-field-backbone
