pedido_ref,cliente_phone,cliente_codigo,product_code,nombre,cantidad_solicitada,precio_unitario,lista_precios_id,notas,is_mock,es_pedido_abierto,promo_aplicada
P-00001,5493587905250,25001,1162,LIMPIADOR ABRILLANTADOR DE METALES (INOXIDABLE Y ALUMINIO) — 5 L,4,5658.00,2,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00001,5493587905250,25001,1130,JABON DE MANOS BEBE/NEW WHITE TRANSP. AZUL — 5 L,4,2415.00,2,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00001,5493587905250,25001,1004,ESPUMA ACTIVA P/ CARROSERIA CONCENTRADA — 5 L,3,3864.00,2,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00001,5493587905250,25001,1028,LAVANDINA EN GEL — 5 L,5,1483.50,2,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00002,5493587905250,25001,1013,JABON LÍQUIDO BLANCO B/E (CON BLANQUEADOR) — 5 L,4,1552.50,2,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00003,5493582641213,25002,1094,PERF.BASE ALCOCHOL TKT — 5 L,1,2646.00,3,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00004,5493582641213,25002,1027,LAVANDINA GEL PREMIUM VERDE CON EUCALIPTUS — 5 L,3,1395.00,3,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00005,5492991227644,25003,1138,DET GASTRONOMICO ESPECIALIZADO X3 CONCENTRADO — 5 L,4,1870.00,4,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00005,5492991227644,25003,26,LAVANDINA AL 55% — 5 L,5,598.40,4,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00006,5492991227644,25003,1112,JABON EN POLVO BAJA ESPUMA X 10 KG — 10 KG,4,13770.00,4,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00006,5492991227644,25003,2041,CERA ACRILICA ROJA AUTOBRILLO — 1 L,5,5503.75,4,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00006,5492991227644,25003,1076,PASTILLA DE CLORO TRIPLE ACCION 200 GR . — 1 KG,5,6970.00,4,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00006,5492991227644,25003,1052,LIMPIADOR CONCENTRADO LECHOSO/TRANSPARENTE ARPEGE — 5 L,5,10157.50,4,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00007,5493418277249,25004,1094,PERF.BASE ALCOCHOL TKT — 5 L,5,2940.00,1,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00008,5493418277249,25004,1101,PERF.BASE ALCOHOL COLONIA — 5 L,4,2940.00,1,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00008,5493418277249,25004,2041,CERA ACRILICA ROJA AUTOBRILLO — 1 L,5,6475.00,1,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00009,5493587747641,25005,1162,LIMPIADOR ABRILLANTADOR DE METALES (INOXIDABLE Y ALUMINIO) — 5 L,5,5658.00,2,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00009,5493587747641,25005,1021,SUAVIZANTE BLANCO — 5 L,1,1127.00,2,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00009,5493587747641,25005,1174,SHAMPOO PARA PERROS (PH NEUTRO) — 5 L,4,2277.00,2,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00010,5493587747641,25005,2070,CIPERMETRINA P/ DILUIR ( K-OTRINA ) EMULSIONADA DILUSION 1/20 LTS — 1 L,2,19205.00,2,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00011,5492614053074,25006,1164,JABON MANOS DESENGRASANTE P/ TALLERES — 5 L,1,5103.00,3,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00011,5492614053074,25006,2058,LIMPIADOR CONCENTRADO FLOR DE LIZ LECHOSO (VIOLETA) — 1 L,5,3375.00,3,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00011,5492614053074,25006,1086,PERF.BASE ALCOHOL COLONIA BEBE — 5 L,1,2646.00,3,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00011,5492614053074,25006,1058,LIMPIADOR CONCENTRADO FLOR DE LIZ LECHOSO (VIOLETA) — 5 L,1,11700.00,3,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00012,5492614053074,25006,1177,CLORO POLVO POTE ( DISOLUCION RAPIDA) — 5 KG,1,31005.00,3,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00013,5493514079279,25007,1086,PERF.BASE ALCOHOL COLONIA BEBE — 5 L,3,2499.00,4,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00013,5493514079279,25007,1170,LIMPIADOR CONCENTRADO CITRAL TRANSP. (VERDE) — 5 L,4,11050.00,4,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00013,5493514079279,25007,2042,CERA ACRILICA NATURAL AUTOBRILLO — 1 L,5,8313.00,4,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00013,5493514079279,25007,1174,SHAMPOO PARA PERROS (PH NEUTRO) — 5 L,2,1683.00,4,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00014,5493514079279,25007,19,SUAVIZANTE AMARILLO — 20 L,3,680.00,4,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00014,5493514079279,25007,1113,ALCOHOL ETILICO SUELTO 96º — 5 L,3,2833.05,4,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00014,5493514079279,25007,1172,PERF.BASE ALCOHOL A + — 5 L,1,2499.00,4,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00015,5493876914178,25008,1023,SHAMPOO ROPA FINA AMARILLO — 5 L,4,1410.00,1,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00015,5493876914178,25008,1030,DESENG .BLANCO CREMOSO (CIF) — 5 L,3,1775.00,1,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00015,5493876914178,25008,1120,JABON LIQ. CELESTIAL PLUS C/MICROCAPSULAS B/E (FROTAR ROPA) — 5 L,1,1600.00,1,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00015,5493876914178,25008,153,ESENCIA HORNILLO LAVANDA-LIMON-VAINILLA-FRUTILLA-DURAZNO-CANELA-MARINO — UNIDAD,5,1900.00,1,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00016,5493876914178,25008,1076,PASTILLA DE CLORO TRIPLE ACCION 200 GR . — 1 KG,2,8200.00,1,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00016,5493876914178,25008,153,ESENCIA HORNILLO LAVANDA-LIMON-VAINILLA-FRUTILLA-DURAZNO-CANELA-MARINO — UNIDAD,2,1900.00,1,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00017,5492617175545,25009,2181,DESMANCHADOR LIMPIA ALFOMBRA APC — 1 L,2,7187.50,2,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00017,5492617175545,25009,1052,LIMPIADOR CONCENTRADO LECHOSO/TRANSPARENTE ARPEGE — 5 L,3,13742.50,2,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00017,5492617175545,25009,1164,JABON MANOS DESENGRASANTE P/ TALLERES — 5 L,1,6520.50,2,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00018,5492617175545,25009,1030,DESENG .BLANCO CREMOSO (CIF) — 5 L,1,2041.25,2,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00019,5493818437953,25010,1172,PERF.BASE ALCOHOL A + — 5 L,4,2646.00,3,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00019,5493818437953,25010,1181,DESMANCHADOR LIMPIA ALFOMBRA APC — 5 L,2,4680.00,3,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00020,5493818437953,25010,1154,DESENG. GASTROMICO C/ BASE DE TERPERNO (GRASA ANIMAL/VEGETAL) — 5 L,3,5058.00,3,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00020,5493818437953,25010,150,DIFUSOR CON VARILLAS VAINILLA - VAINILLA/COCO - VAINILLA-LIMON - FRUTOS ROJOS - UVA - CHICLES - CITRICOS - LIMON - LAVANDA-LAVANDA/LIMON - BAMBU - VAINILLA/NARANJA - CONIGLIO — UNIDAD,2,4140.00,3,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00020,5493818437953,25010,1170,LIMPIADOR CONCENTRADO CITRAL TRANSP. (VERDE) — 5 L,4,11700.00,3,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00021,5493582132179,25011,1083,INSECTICIDA PERFUMADO T/ FLIT (BASE SOLVENTE ) — 5 L,4,5312.50,4,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00021,5493582132179,25011,1172,PERF.BASE ALCOHOL A + — 5 L,3,2499.00,4,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
