pedido_ref,product_code,nombre,cantidad_solicitada,precio_unitario,lista_precios_id,notas,is_mock,cliente_phone
PF-000001,29008,Coca–Cola Original Lata 220ml x6,4,4607.73,2,Pedido histórico field mock (2025-06-01),true,5493587905250
PF-000001,29016,"Coca–Cola Original 2,5L x6",4,22359.26,2,Pedido histórico field mock (2025-06-01),true,5493587905250
PF-000001,29161,"Coca–Cola Original 1,5L x6 + Fanta 1,5L x6",3,27063.50,2,Pedido histórico field mock (2025-06-01),true,5493587905250
PF-000001,29197,"Bonaqua 1,5L Sin Gas x6 + Lata de Cocina Coca–Cola x2",2,17070.57,2,Pedido histórico field mock (2025-06-01),true,5493587905250
PF-000002,29008,Coca–Cola Original Lata 220ml x6,1,4607.73,2,Pedido histórico field mock (2025-06-21),true,5493587905250
PF-000002,29016,"Coca–Cola Original 2,5L x6",1,22359.26,2,Pedido histórico field mock (2025-06-21),true,5493587905250
PF-000002,29164,Coca–Cola Original 500ml x12 + Fanta 500ml x12,4,22853.62,2,Pedido histórico field mock (2025-06-21),true,5493587905250
PF-000003,29008,Coca–Cola Original Lata 220ml x6,3,4607.73,2,Pedido histórico field mock (2025-07-09),true,5493587905250
PF-000003,29016,"Coca–Cola Original 2,5L x6",3,22359.26,2,Pedido histórico field mock (2025-07-09),true,5493587905250
PF-000003,29172,"Coca–Cola Original 2,25L x6 + Fanta 2,25L x6",3,36778.60,2,Pedido histórico field mock (2025-07-09),true,5493587905250
PF-000003,29020,"Coca–Cola Zero 1,5L x6 + Sprite Zero 1,5L x6 + Fanta Zero 1,5L x6 + Schweppes Zero 1,5L x6",1,47575.95,2,Pedido histórico field mock (2025-07-09),true,5493587905250
PF-000004,29008,Coca–Cola Original Lata 220ml x6,2,4607.73,2,Pedido histórico field mock (2025-07-30),true,5493587905250
PF-000004,29016,"Coca–Cola Original 2,5L x6",4,22359.26,2,Pedido histórico field mock (2025-07-30),true,5493587905250
PF-000004,29164,Coca–Cola Original 500ml x12 + Fanta 500ml x12,2,22853.62,2,Pedido histórico field mock (2025-07-30),true,5493587905250
PF-000005,29008,Coca–Cola Original Lata 220ml x6,2,4607.73,2,Pedido histórico field mock (2025-08-26),true,5493587905250
PF-000005,29016,"Coca–Cola Original 2,5L x6",4,22359.26,2,Pedido histórico field mock (2025-08-26),true,5493587905250
PF-000006,29008,Coca–Cola Original Lata 220ml x6,1,4607.73,2,Pedido histórico field mock (2025-09-12),true,5493587905250
PF-000006,29016,"Coca–Cola Original 2,5L x6",1,22359.26,2,Pedido histórico field mock (2025-09-12),true,5493587905250
PF-000006,29003,Coca–Cola Original 500ml x12,1,13184.78,2,Pedido histórico field mock (2025-09-12),true,5493587905250
PF-000006,29112,"Cepita Durazno Hot Fill 1,5L x4 + Coca-Cola Original 1,5L x6",3,20645.24,2,Pedido histórico field mock (2025-09-12),true,5493587905250
