pedido_ref,cliente_phone,fecha,estado,total,notas,is_mock,es_pedido_abierto,source
PF-000001,5493587905250,2025-06-01 15:10:00,confirmado,223199.60,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000002,5493587905250,2025-06-21 13:54:00,confirmado,118381.47,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000003,5493587905250,2025-07-09 13:07:00,confirmado,238812.72,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000004,5493587905250,2025-07-30 17:16:00,confirmado,144359.74,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000005,5493587905250,2025-08-26 12:13:00,confirmado,98652.50,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000006,5493587905250,2025-09-12 18:00:00,confirmado,102087.49,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000007,5493587905250,2025-10-05 13:18:00,confirmado,83467.39,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000008,5493582641213,2025-06-02 10:30:00,confirmado,53933.98,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000009,5493582641213,2025-06-18 12:49:00,confirmado,107867.96,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000010,5493582641213,2025-07-17 12:20:00,confirmado,203835.98,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000011,5493582641213,2025-08-03 09:51:00,confirmado,244166.01,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000012,5493582641213,2025-08-24 13:13:00,confirmado,71685.51,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000013,5493582641213,2025-09-16 17:03:00,confirmado,135942.08,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000014,5493582641213,2025-10-01 14:51:00,confirmado,107867.96,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000015,5492991227644,2025-06-02 11:56:00,confirmado,82384.05,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000016,5492991227644,2025-06-23 17:40:00,confirmado,96614.36,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000017,5492991227644,2025-07-16 10:31:00,confirmado,86991.78,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000018,5492991227644,2025-08-06 14:17:00,confirmado,275396.66,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000019,5492991227644,2025-08-19 10:26:00,confirmado,193450.81,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000020,5492991227644,2025-09-19 15:32:00,confirmado,112883.84,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000021,5492991227644,2025-10-04 14:44:00,confirmado,143986.54,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000022,5493418277249,2025-06-01 11:52:00,confirmado,160937.59,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000023,5493418277249,2025-06-24 15:15:00,confirmado,224889.18,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000024,5493418277249,2025-07-11 17:55:00,confirmado,114943.53,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000025,5493418277249,2025-08-06 11:30:00,confirmado,205141.30,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000026,5493418277249,2025-08-25 10:44:00,confirmado,232437.94,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000027,5493418277249,2025-09-17 11:53:00,confirmado,259735.54,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000028,5493418277249,2025-09-30 14:19:00,confirmado,235534.81,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000029,5493587747641,2025-06-01 09:04:00,confirmado,142118.06,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000030,5493587747641,2025-06-19 17:17:00,confirmado,96410.82,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000031,5493587747641,2025-07-08 09:17:00,confirmado,355275.46,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000032,5493587747641,2025-08-07 13:45:00,confirmado,191341.24,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000033,5493587747641,2025-08-28 15:13:00,confirmado,207532.58,Pedido histórico field mock,true,false,fase-06-1-field-backbone
