pedido_ref,product_code,nombre,cantidad_solicitada,precio_unitario,lista_precios_id,notas,is_mock,cliente_phone
PF-000001,LYL-0004,"Gaseosa Secco 1,5L x 6u",2,1245.83,2,Pedido histórico field mock (2025-06-01),true,5493587905250
PF-000001,LYL-0003,"Gaseosa Secco 2,25L x 6u",1,1648.33,2,Pedido histórico field mock (2025-06-01),true,5493587905250
PF-000002,LYL-0004,"Gaseosa Secco 1,5L x 6u",3,1245.83,2,Pedido histórico field mock (2025-06-21),true,5493587905250
PF-000002,LYL-0003,"Gaseosa Secco 2,25L x 6u",1,1648.33,2,Pedido histórico field mock (2025-06-21),true,5493587905250
PF-000003,LYL-0004,"Gaseosa Secco 1,5L x 6u",3,1245.83,2,Pedido histórico field mock (2025-07-14),true,5493587905250
PF-000003,LYL-0003,"Gaseosa Secco 2,25L x 6u",3,1648.33,2,Pedido histórico field mock (2025-07-14),true,5493587905250
PF-000003,LYL-0029,Speed ZERO Lata 473cc XL x unidad,3,2300.00,2,Pedido histórico field mock (2025-07-14),true,5493587905250
PF-000004,LYL-0004,"Gaseosa Secco 1,5L x 6u",3,1245.83,2,Pedido histórico field mock (2025-08-07),true,5493587905250
PF-000004,LYL-0003,"Gaseosa Secco 2,25L x 6u",1,1648.33,2,Pedido histórico field mock (2025-08-07),true,5493587905250
PF-000004,LYL-0005,Gaseosa Secco 500cc x 12u,4,843.33,2,Pedido histórico field mock (2025-08-07),true,5493587905250
PF-000004,LYL-0041,Fernet BRANCA x 1L x 1u,1,21735.00,2,Pedido histórico field mock (2025-08-07),true,5493587905250
PF-000005,LYL-0004,"Gaseosa Secco 1,5L x 6u",3,1245.83,2,Pedido histórico field mock (2025-08-22),true,5493587905250
PF-000005,LYL-0003,"Gaseosa Secco 2,25L x 6u",2,1648.33,2,Pedido histórico field mock (2025-08-22),true,5493587905250
PF-000006,LYL-0004,"Gaseosa Secco 1,5L x 6u",2,1245.83,2,Pedido histórico field mock (2025-09-19),true,5493587905250
PF-000006,LYL-0003,"Gaseosa Secco 2,25L x 6u",3,1648.33,2,Pedido histórico field mock (2025-09-19),true,5493587905250
PF-000006,LYL-0005,Gaseosa Secco 500cc x 12u,4,843.33,2,Pedido histórico field mock (2025-09-19),true,5493587905250
PF-000006,LYL-0028,Speed ZERO Pack 250cc x 24u,4,1423.12,2,Pedido histórico field mock (2025-09-19),true,5493587905250
PF-000007,LYL-0004,"Gaseosa Secco 1,5L x 6u",1,1245.83,2,Pedido histórico field mock (2025-10-05),true,5493587905250
PF-000007,LYL-0003,"Gaseosa Secco 2,25L x 6u",2,1648.33,2,Pedido histórico field mock (2025-10-05),true,5493587905250
PF-000007,LYL-0028,Speed ZERO Pack 250cc x 24u,4,1423.12,2,Pedido histórico field mock (2025-10-05),true,5493587905250
PF-000007,LYL-0007,Soda Secco 500cc x 6u,1,373.75,2,Pedido histórico field mock (2025-10-05),true,5493587905250
PF-000008,LYL-0001,Gaseosa Secco 3L x 4u,3,1620.00,3,Pedido histórico field mock (2025-06-01),true,5493582641213
PF-000008,LYL-0135,Huevitos KINDER x 12u,2,2017.50,3,Pedido histórico field mock (2025-06-01),true,5493582641213
PF-000009,LYL-0001,Gaseosa Secco 3L x 4u,1,1620.00,3,Pedido histórico field mock (2025-06-17),true,5493582641213
PF-000009,LYL-0135,Huevitos KINDER x 12u,4,2017.50,3,Pedido histórico field mock (2025-06-17),true,5493582641213
PF-000009,LYL-0008,"Soda Secco 1,5L x 6u",2,705.00,3,Pedido histórico field mock (2025-06-17),true,5493582641213
PF-000009,LYL-0010,Soda en Sifón Secco 2L x 6u,4,1095.00,3,Pedido histórico field mock (2025-06-17),true,5493582641213
PF-000010,LYL-0001,Gaseosa Secco 3L x 4u,1,1620.00,3,Pedido histórico field mock (2025-07-17),true,5493582641213
PF-000010,LYL-0135,Huevitos KINDER x 12u,1,2017.50,3,Pedido histórico field mock (2025-07-17),true,5493582641213
PF-000011,LYL-0001,Gaseosa Secco 3L x 4u,1,1620.00,3,Pedido histórico field mock (2025-08-01),true,5493582641213
PF-000011,LYL-0135,Huevitos KINDER x 12u,3,2017.50,3,Pedido histórico field mock (2025-08-01),true,5493582641213
PF-000012,LYL-0001,Gaseosa Secco 3L x 4u,3,1620.00,3,Pedido histórico field mock (2025-08-25),true,5493582641213
PF-000012,LYL-0135,Huevitos KINDER x 12u,2,2017.50,3,Pedido histórico field mock (2025-08-25),true,5493582641213
PF-000012,LYL-0009,"Soda Secco 2,25L x 6u",3,765.00,3,Pedido histórico field mock (2025-08-25),true,5493582641213
PF-000013,LYL-0001,Gaseosa Secco 3L x 4u,4,1620.00,3,Pedido histórico field mock (2025-09-10),true,5493582641213
PF-000013,LYL-0135,Huevitos KINDER x 12u,2,2017.50,3,Pedido histórico field mock (2025-09-10),true,5493582641213
PF-000013,LYL-0029,Speed ZERO Lata 473cc XL x unidad,4,1800.00,3,Pedido histórico field mock (2025-09-10),true,5493582641213
PF-000014,LYL-0001,Gaseosa Secco 3L x 4u,3,1620.00,3,Pedido histórico field mock (2025-10-09),true,5493582641213
PF-000014,LYL-0135,Huevitos KINDER x 12u,3,2017.50,3,Pedido histórico field mock (2025-10-09),true,5493582641213
PF-000014,LYL-0008,"Soda Secco 1,5L x 6u",1,705.00,3,Pedido histórico field mock (2025-10-09),true,5493582641213
PF-000014,LYL-0010,Soda en Sifón Secco 2L x 6u,3,1095.00,3,Pedido histórico field mock (2025-10-09),true,5493582641213
PF-000015,LYL-0003,"Gaseosa Secco 2,25L x 6u",4,1218.33,4,Pedido histórico field mock (2025-06-01),true,5492991227644
