pedido_ref,cliente_phone,cliente_codigo,product_code,nombre,cantidad_solicitada,precio_unitario,lista_precios_id,notas,is_mock,es_pedido_abierto,promo_aplicada
P-00001,5493587905250,25001,LYL-0411,Talco pédico Aktiol AEROSOL x 150g x 1u,4,3100.00,2,Pedido: 4 1 (normalizado: 4 1; equiv: 4 1),true,false,false
P-00001,5493587905250,25001,LYL-0009,"Soda Secco 2,25L x 6u",1,850.00,2,Pedido: 1 1 (normalizado: 6 1; equiv: 1 1),true,false,false
P-00002,5493587905250,25001,LYL-0134,DOS CORAZONES x 26g x 20u,3,1330.00,2,Pedido: 3 1 (normalizado: 60 1; equiv: 3 1),true,false,false
P-00002,5493587905250,25001,LYL-0084,TORO Tetra BLANCO x 1L x 12u,1,1516.67,2,Pedido: 1 1 (normalizado: 12 1; equiv: 1 1),true,false,false
P-00002,5493587905250,25001,LYL-0043,CARPANO (Rosso - Bianco) x 950cc x 1u,4,6100.00,2,Pedido: 4 1 (normalizado: 4 1; equiv: 4 1),true,false,false
P-00003,5493587905250,25001,LYL-0063,Vino Sensei Malbec Ahumado x 750cc                         x 1u,4,3150.00,2,Pedido: 4 1 (normalizado: 4 1; equiv: 4 1),true,false,false
P-00003,5493587905250,25001,LYL-0148,MORITAS YUMMY / Huevos Fritos YUMMY x 500g,5,4900.00,2,Pedido: 5 1 (normalizado: 5 1; equiv: 5 1),true,false,false
P-00003,5493587905250,25001,LYL-0163,Caramelos duros Lipo Gajitos x 454g x 65u,5,47.69,2,Pedido: 5 1 (normalizado: 325 1; equiv: 5 1),true,false,false
P-00003,5493587905250,25001,LYL-0428,Pilas Alcalinas D ENERGIZER               x 2u,4,9500.00,2,Pedido: 4 1 (normalizado: 8 1; equiv: 4 1),true,false,false
P-00004,5493582641213,25002,LYL-0139,Budín Fantasía x 180g (Chocolate - Limón) x 1u,4,1300.00,3,Pedido: 4 1 (normalizado: 4 1; equiv: 4 1),true,false,false
P-00004,5493582641213,25002,LYL-0093,ESTANCIA MENDOZA Chenin/ Chardonnay x 750cc x 1u,4,3000.00,3,Pedido: 4 1 (normalizado: 4 1; equiv: 4 1),true,false,false
P-00004,5493582641213,25002,LYL-0101,Cerveza MARADONA VIDRIO x 1L - No retornable x 6u,3,2416.67,3,Pedido: 3 1 (normalizado: 18 1; equiv: 3 1),true,false,false
P-00004,5493582641213,25002,LYL-0358,Yerba Canarias x 1Kg                          x 1u,4,10400.00,3,Pedido: 4 1 (normalizado: 4 1; equiv: 4 1),true,false,false
P-00005,5493582641213,25002,LYL-0365,Detergente ODEX Ultra x 500ml x 1u,5,2900.00,3,Pedido: 5 1 (normalizado: 5 1; equiv: 5 1),true,false,false
P-00005,5493582641213,25002,LYL-0393,Esponja Lisa Mortimer x 1u,3,700.00,3,Pedido: 3 1 (normalizado: 3 1; equiv: 3 1),true,false,false
P-00005,5493582641213,25002,LYL-0065,Vino Marques del Sur Malbec x 750cc,1,2100.00,3,Pedido: 1 1 (normalizado: 1 1; equiv: 1 1),true,false,false
P-00005,5493582641213,25002,LYL-0381,Lavandina GEL AYUDÍN x 700ml x 1u,1,2300.00,3,Pedido: 1 1 (normalizado: 1 1; equiv: 1 1),true,false,false
P-00006,5493582641213,25002,LYL-0334,Yerba Unión  Liviana 1kg x 1u,2,4000.00,3,Pedido: 2 1 (normalizado: 2 1; equiv: 2 1),true,false,false
P-00006,5493582641213,25002,LYL-0020,"Agua Mineral Bio Sports 1,5L x 6u",4,683.33,3,Pedido: 4 1 (normalizado: 24 1; equiv: 4 1),true,false,false
P-00006,5493582641213,25002,LYL-0399,Rollo gigante de cocina x 1u,5,1500.00,3,Pedido: 5 1 (normalizado: 5 1; equiv: 5 1),true,false,false
P-00007,5492991227644,25003,LYL-0026,Speed Pack 473cc XL                                       x 12u,2,1970.83,4,Pedido: 2 1 (normalizado: 24 1; equiv: 2 1),true,false,false
P-00007,5492991227644,25003,LYL-0233,Mani saborizado NÖTTER Jamón / Queso / Pizza / Salame x 125g x 1u,4,800.00,4,Pedido: 4 1 (normalizado: 4 1; equiv: 4 1),true,false,false
P-00007,5492991227644,25003,LYL-0146,Gomitas YUMMY x 30g x 12u,4,433.33,4,Pedido: 4 1 (normalizado: 48 1; equiv: 4 1),true,false,false
P-00007,5492991227644,25003,LYL-0229,Palitos salados CRAKET x 100g x 1u,3,700.00,4,Pedido: 3 1 (normalizado: 3 1; equiv: 3 1),true,false,false
P-00008,5492991227644,25003,LYL-0229,Palitos salados CRAKET x 100g x 1u,1,700.00,4,Pedido: 1 1 (normalizado: 1 1; equiv: 1 1),true,false,false
P-00008,5492991227644,25003,LYL-0154,Pastillas Tic Tac x 12u,4,1075.00,4,Pedido: 4 1 (normalizado: 48 1; equiv: 4 1),true,false,false
P-00008,5492991227644,25003,LYL-0189,Chupete c/aro x 10u,4,350.00,4,Pedido: 4 1 (normalizado: 40 1; equiv: 4 1),true,false,false
P-00008,5492991227644,25003,LYL-0234,Maní Tostado Salado NÖTTER x 1Kg x 1u,1,410.00,4,Pedido: 1 1 (normalizado: 10 1; equiv: 1 1),true,false,false
P-00009,5492991227644,25003,LYL-0384,Desodorante de ambiente Saphirus x 1u,4,4950.00,4,Pedido: 4 1 (normalizado: 4 1; equiv: 4 1),true,false,false
P-00009,5492991227644,25003,LYL-0374,Limpiador de VIDRIO ODEX x 450ml x 1u,5,1300.00,4,Pedido: 5 1 (normalizado: 5 1; equiv: 5 1),true,false,false
P-00009,5492991227644,25003,LYL-0100,Cerveza 361 VIDRIO x 1L - No retornable x 6u,4,1866.67,4,Pedido: 4 1 (normalizado: 24 1; equiv: 4 1),true,false,false
P-00009,5492991227644,25003,LYL-0106,Ron Bombarder x 1u,2,3500.00,4,Pedido: 2 1 (normalizado: 2 1; equiv: 2 1),true,false,false
P-00010,5493418277249,25004,LYL-0167,Caramelo de MENTA Marengo x 454g x 70u,5,48.57,1,Pedido: 5 1 (normalizado: 350 1; equiv: 5 1),true,false,false
P-00010,5493418277249,25004,LYL-0391,Bolsas de residuos 80 x 110 x 10u,3,140.00,1,Pedido: 3 1 (normalizado: 30 1; equiv: 3 1),true,false,false
P-00010,5493418277249,25004,LYL-0086,NATIVO Tetra BLANCO x 1L x 12u,3,1316.67,1,Pedido: 3 1 (normalizado: 36 1; equiv: 3 1),true,false,false
P-00011,5493418277249,25004,LYL-0059,Vino Prófugo Malbec / Oveja Black Malbec x 750cc x 1u,2,2800.00,1,Pedido: 2 1 (normalizado: 2 1; equiv: 2 1),true,false,false
P-00011,5493418277249,25004,LYL-0331,Yerba La Merced 1kg                                                  x 1u,2,5450.00,1,Pedido: 2 1 (normalizado: 2 1; equiv: 2 1),true,false,false
P-00011,5493418277249,25004,LYL-0341,Mate Cocido Taragui ens x 40 saq. Hermético x 1u,4,2500.00,1,Pedido: 4 1 (normalizado: 4 1; equiv: 4 1),true,false,false
P-00011,5493418277249,25004,LYL-0085,NATIVO Tetra TINTO x 1L x 12u,1,1575.00,1,Pedido: 1 1 (normalizado: 12 1; equiv: 1 1),true,false,false
P-00012,5493418277249,25004,LYL-0173,Gomitas MISKY JELLY ROLL x 1kg x 208u,1,40.87,1,Pedido: 1 1 (normalizado: 208 1; equiv: 1 1),true,false,false
P-00013,5493587747641,25005,LYL-0413,Prestobarba Gillette 2 Ultra Grip x 10u,1,1170.00,2,Pedido: 1 1 (normalizado: 10 1; equiv: 1 1),true,false,false
P-00013,5493587747641,25005,LYL-0001,Gaseosa Secco 3L x 4u,2,1800.00,2,Pedido: 2 1 (normalizado: 8 1; equiv: 2 1),true,false,false
P-00013,5493587747641,25005,LYL-0369,Jabón líquido p/manos Polyana x 220m x1u,3,1000.00,2,Pedido: 3 1 (normalizado: 3 1; equiv: 3 1),true,false,false
P-00014,5493587747641,25005,LYL-0072,Vino Santa Julia New Malbec / Cabernet x 750cc x 1u,3,4500.00,2,Pedido: 3 1 (normalizado: 3 1; equiv: 3 1),true,false,false
P-00015,5493587747641,25005,LYL-0349,Té Taragui s/e F.100 x 1u,4,2700.00,2,Pedido: 4 1 (normalizado: 4 1; equiv: 4 1),true,false,false
P-00015,5493587747641,25005,LYL-0331,Yerba La Merced 1kg                                                  x 1u,3,5450.00,2,Pedido: 3 1 (normalizado: 3 1; equiv: 3 1),true,false,false
P-00015,5493587747641,25005,LYL-0228,Palitos de maiz CRAKET x 140g x 1u,5,1000.00,2,Pedido: 5 1 (normalizado: 5 1; equiv: 5 1),true,false,false
P-00016,5492614053074,25006,LYL-0151,Pastillas Confitadas FLYNN PAFF           x 12u,1,950.00,3,Pedido: 1 1 (normalizado: 1 1; equiv: 1 1),true,false,false
P-00016,5492614053074,25006,LYL-0352,Yerba HERENCIA x 500g x 1u,4,1450.00,3,Pedido: 4 1 (normalizado: 4 1; equiv: 4 1),true,false,false
P-00016,5492614053074,25006,LYL-0018,Bidón agua de mesa x 6L x 2u,5,2000.00,3,Pedido: 5 1 (normalizado: 10 1; equiv: 5 1),true,false,false
P-00016,5492614053074,25006,LYL-0041,Fernet BRANCA x 1L x 1u,2,18900.00,3,Pedido: 2 1 (normalizado: 2 1; equiv: 2 1),true,false,false
