client_phone,cantidad_mensajes,ultimo_mensaje_at,is_unread,live_feed,is_mock
5492612928724,5,2026-06-22 13:05:28,true,true,true
5492614053074,5,2026-06-22 10:06:30,true,true,true
5492617236955,5,2026-06-22 12:04:58,true,true,true
5492617413812,5,2026-06-22 11:06:55,true,true,true
5492991227644,5,2026-06-22 13:07:10,true,true,true
5492998066543,5,2026-06-22 10:06:43,true,true,true
5492999435946,5,2026-06-22 09:06:30,true,true,true
5493418277249,5,2026-06-22 12:07:43,true,true,true
5493514079279,5,2026-06-22 09:06:50,true,true,true
5493582641213,5,2026-06-22 02:06:03,true,true,true
5493587747641,5,2026-06-22 11:06:53,true,true,true
5493587905250,5,2026-06-22 03:07:06,true,true,true
5492612780568,4,2026-06-21 11:05:15,false,false,true
5492615021286,4,2026-06-20 11:05:01,false,false,true
5492615139305,4,2026-06-20 13:04:48,false,false,true
5492617175545,4,2026-06-21 10:05:18,false,false,true
5492618861463,4,2026-06-21 12:05:10,false,false,true
5492618889598,4,2026-06-21 12:05:15,false,false,true
5492619239862,4,2026-06-20 12:05:32,false,false,true
5492992500733,4,2026-06-21 09:04:49,false,false,true
5492994145193,4,2026-06-21 09:05:14,false,false,true
5492994228106,4,2026-06-21 12:04:15,false,false,true
5492995028869,4,2026-06-21 10:04:50,false,false,true
5492997489876,4,2026-06-20 09:05:04,false,false,true
5492997670210,4,2026-06-21 11:04:36,false,false,true
5492998718887,4,2026-06-20 11:05:30,false,false,true
5493414799650,4,2026-06-20 10:04:12,false,false,true
5493416524997,4,2026-06-20 13:04:38,false,false,true
5493416986538,4,2026-06-21 13:05:15,false,false,true
5493419686914,4,2026-06-20 09:05:24,false,false,true
5493513952681,4,2026-06-21 11:05:00,false,false,true
5493515971311,4,2026-06-20 13:04:45,false,false,true
5493516216782,4,2026-06-20 12:04:54,false,false,true
5493517304254,4,2026-06-20 09:05:36,false,false,true
5493517632424,4,2026-06-21 12:05:31,false,false,true
5493518648263,4,2026-06-21 13:06:12,false,false,true
5493519107005,4,2026-06-20 11:05:27,false,false,true
5493582132179,4,2026-06-21 13:05:25,false,false,true
5493582639964,4,2026-06-20 10:04:00,false,false,true
5493811657614,4,2026-06-20 10:04:57,false,false,true
5493812941974,4,2026-06-20 11:05:19,false,false,true
5493813520000,4,2026-06-21 10:05:04,false,false,true
5493814729528,4,2026-06-21 09:05:47,false,false,true
5493817404433,4,2026-06-21 10:05:46,false,false,true
5493818437953,4,2026-06-20 09:05:05,false,false,true
5493872845902,4,2026-06-20 12:04:45,false,false,true
5493874104594,4,2026-06-21 10:04:39,false,false,true
5493876499570,4,2026-06-20 09:04:03,false,false,true
5493876914178,4,2026-06-20 11:05:28,false,false,true
5493876922419,4,2026-06-20 13:04:14,false,false,true
