pedido_ref,product_code,nombre,cantidad_solicitada,precio_unitario,lista_precios_id,notas,is_mock,cliente_phone
PF-000001,10117,ANILLO VAINILLA 1X220GRS GAONA,3,1529.50,2,Pedido histórico field mock (2025-06-01),true,5493587905250
PF-000001,10076,SINFONIA (CLASICA) AGRUPADA 4X50GRS GAONA,4,1782.50,2,Pedido histórico field mock (2025-06-01),true,5493587905250
PF-000002,10117,ANILLO VAINILLA 1X220GRS GAONA,2,1529.50,2,Pedido histórico field mock (2025-06-23),true,5493587905250
PF-000002,10076,SINFONIA (CLASICA) AGRUPADA 4X50GRS GAONA,4,1782.50,2,Pedido histórico field mock (2025-06-23),true,5493587905250
PF-000003,10117,ANILLO VAINILLA 1X220GRS GAONA,4,1529.50,2,Pedido histórico field mock (2025-07-18),true,5493587905250
PF-000003,10076,SINFONIA (CLASICA) AGRUPADA 4X50GRS GAONA,3,1782.50,2,Pedido histórico field mock (2025-07-18),true,5493587905250
PF-000004,10117,ANILLO VAINILLA 1X220GRS GAONA,4,1529.50,2,Pedido histórico field mock (2025-07-31),true,5493587905250
PF-000004,10076,SINFONIA (CLASICA) AGRUPADA 4X50GRS GAONA,3,1782.50,2,Pedido histórico field mock (2025-07-31),true,5493587905250
PF-000004,10102,MAGDALENA RELL. FRUTILLA 1X215GRS GAONA,1,2127.50,2,Pedido histórico field mock (2025-07-31),true,5493587905250
PF-000005,10117,ANILLO VAINILLA 1X220GRS GAONA,1,1529.50,2,Pedido histórico field mock (2025-08-23),true,5493587905250
PF-000005,10076,SINFONIA (CLASICA) AGRUPADA 4X50GRS GAONA,2,1782.50,2,Pedido histórico field mock (2025-08-23),true,5493587905250
PF-000005,10092,SINFONIA THINS 1X50GRS GAONA,3,575.00,2,Pedido histórico field mock (2025-08-23),true,5493587905250
PF-000005,315,SODA SIFON 2 lts. X6 MANAOS,1,12063.50,2,Pedido histórico field mock (2025-08-23),true,5493587905250
PF-000006,10117,ANILLO VAINILLA 1X220GRS GAONA,4,1529.50,2,Pedido histórico field mock (2025-09-17),true,5493587905250
