client_phone,cantidad_mensajes,ultimo_mensaje_at,is_unread,live_feed,is_mock
5492612928724,5,2026-06-17 08:50:40,true,true,true
5492614053074,5,2026-06-17 05:51:42,true,true,true
5492617236955,5,2026-06-17 07:50:10,true,true,true
5492617413812,5,2026-06-17 06:52:07,true,true,true
5492991227644,5,2026-06-17 08:52:22,true,true,true
5492998066543,5,2026-06-17 05:51:55,true,true,true
5492999435946,5,2026-06-17 04:51:42,true,true,true
5493418277249,5,2026-06-17 07:52:55,true,true,true
5493514079279,5,2026-06-17 04:52:02,true,true,true
5493582641213,5,2026-06-16 21:51:15,true,true,true
5493587747641,5,2026-06-17 06:52:05,true,true,true
5493587905250,5,2026-06-16 22:52:18,true,true,true
5492612780568,4,2026-06-16 06:50:27,false,false,true
5492615021286,4,2026-06-15 06:50:13,false,false,true
5492615139305,4,2026-06-15 08:50:00,false,false,true
5492617175545,4,2026-06-16 05:50:30,false,false,true
5492618861463,4,2026-06-16 07:50:22,false,false,true
5492618889598,4,2026-06-16 07:50:27,false,false,true
5492619239862,4,2026-06-15 07:50:44,false,false,true
5492992500733,4,2026-06-16 04:50:01,false,false,true
5492994145193,4,2026-06-16 04:50:26,false,false,true
5492994228106,4,2026-06-16 07:49:27,false,false,true
5492995028869,4,2026-06-16 05:50:02,false,false,true
5492997489876,4,2026-06-15 04:50:16,false,false,true
5492997670210,4,2026-06-16 06:49:48,false,false,true
5492998718887,4,2026-06-15 06:50:42,false,false,true
5493414799650,4,2026-06-15 05:49:24,false,false,true
5493416524997,4,2026-06-15 08:49:50,false,false,true
5493416986538,4,2026-06-16 08:50:27,false,false,true
5493419686914,4,2026-06-15 04:50:36,false,false,true
5493513952681,4,2026-06-16 06:50:12,false,false,true
5493515971311,4,2026-06-15 08:49:57,false,false,true
5493516216782,4,2026-06-15 07:50:06,false,false,true
5493517304254,4,2026-06-15 04:50:48,false,false,true
5493517632424,4,2026-06-16 07:50:43,false,false,true
5493518648263,4,2026-06-16 08:51:24,false,false,true
5493519107005,4,2026-06-15 06:50:39,false,false,true
5493582132179,4,2026-06-16 08:50:37,false,false,true
5493582639964,4,2026-06-15 05:49:12,false,false,true
5493811657614,4,2026-06-15 05:50:09,false,false,true
5493812941974,4,2026-06-15 06:50:31,false,false,true
5493813520000,4,2026-06-16 05:50:16,false,false,true
5493814729528,4,2026-06-16 04:50:59,false,false,true
5493817404433,4,2026-06-16 05:50:58,false,false,true
5493818437953,4,2026-06-15 04:50:17,false,false,true
5493872845902,4,2026-06-15 07:49:57,false,false,true
5493874104594,4,2026-06-16 05:49:51,false,false,true
5493876499570,4,2026-06-15 04:49:15,false,false,true
5493876914178,4,2026-06-15 06:50:40,false,false,true
5493876922419,4,2026-06-15 08:49:26,false,false,true
