pedido_ref,product_code,nombre,cantidad_solicitada,precio_unitario,lista_precios_id,notas,is_mock,cliente_phone
PF-000001,116,PANTENE 300ml SH KERATINA,4,7662.22,2,Pedido histórico field mock (2025-06-03),true,5493517000001
PF-000001,1079,PANTENE 200ml SH LISO INFINITO,4,5085.99,2,Pedido histórico field mock (2025-06-03),true,5493517000001
PF-000001,552,HS 180ml SH ANTICOMEZON,1,6168.28,2,Pedido histórico field mock (2025-06-03),true,5493517000001
PF-000002,116,PANTENE 300ml SH KERATINA,4,7662.22,2,Pedido histórico field mock (2025-06-26),true,5493517000001
PF-000002,1079,PANTENE 200ml SH LISO INFINITO,3,5085.99,2,Pedido histórico field mock (2025-06-26),true,5493517000001
PF-000003,116,PANTENE 300ml SH KERATINA,1,7662.22,2,Pedido histórico field mock (2025-07-17),true,5493517000001
PF-000003,1079,PANTENE 200ml SH LISO INFINITO,3,5085.99,2,Pedido histórico field mock (2025-07-17),true,5493517000001
PF-000003,8106,CEP. ORAL-B 123 x2,3,3636.62,2,Pedido histórico field mock (2025-07-17),true,5493517000001
PF-000004,116,PANTENE 300ml SH KERATINA,3,7662.22,2,Pedido histórico field mock (2025-08-03),true,5493517000001
PF-000004,1079,PANTENE 200ml SH LISO INFINITO,2,5085.99,2,Pedido histórico field mock (2025-08-03),true,5493517000001
PF-000004,17500,PANTENE CREM. PEIN. KERATINA X 300ML,3,9764.13,2,Pedido histórico field mock (2025-08-03),true,5493517000001
PF-000005,116,PANTENE 300ml SH KERATINA,2,7662.22,2,Pedido histórico field mock (2025-08-28),true,5493517000001
PF-000005,1079,PANTENE 200ml SH LISO INFINITO,4,5085.99,2,Pedido histórico field mock (2025-08-28),true,5493517000001
PF-000005,8106,CEP. ORAL-B 123 x2,3,3636.62,2,Pedido histórico field mock (2025-08-28),true,5493517000001
PF-000005,1871,PANTENE SACHET SH RESTAURACION 10ML,3,228.80,2,Pedido histórico field mock (2025-08-28),true,5493517000001
PF-000006,116,PANTENE 300ml SH KERATINA,2,7662.22,2,Pedido histórico field mock (2025-09-13),true,5493517000001
PF-000006,1079,PANTENE 200ml SH LISO INFINITO,4,5085.99,2,Pedido histórico field mock (2025-09-13),true,5493517000001
PF-000006,1088,ALWAYS Triple Protec Dia Seca 8 UNI.,2,5963.44,2,Pedido histórico field mock (2025-09-13),true,5493517000001
PF-000006,8006,PASTA ORAL-B 70g 123,2,2069.40,2,Pedido histórico field mock (2025-09-13),true,5493517000001
PF-000007,116,PANTENE 300ml SH KERATINA,3,7662.22,2,Pedido histórico field mock (2025-10-05),true,5493517000001
PF-000007,1079,PANTENE 200ml SH LISO INFINITO,1,5085.99,2,Pedido histórico field mock (2025-10-05),true,5493517000001
PF-000007,552,HS 180ml SH ANTICOMEZON,4,6168.28,2,Pedido histórico field mock (2025-10-05),true,5493517000001
PF-000007,551,HS 375ml SH ANTICOMEZON,3,10977.52,2,Pedido histórico field mock (2025-10-05),true,5493517000001
PF-000008,1451,PANTENE 400ml AC RESTAURACION,3,6661.19,3,Pedido histórico field mock (2025-06-04),true,5493517000002
PF-000008,1453,PANTENE 400ml SH RESTAURACION,4,6661.19,3,Pedido histórico field mock (2025-06-04),true,5493517000002
