pedido_ref,cliente_phone,cliente_codigo,product_code,nombre,cantidad_solicitada,precio_unitario,lista_precios_id,notas,is_mock,es_pedido_abierto,promo_aplicada
P-00001,5493517000001,25001,10053,FERNET 1882 750ml,1,8860.86,2,Pedido: 1 unidad (normalizado: 6 unidad; equiv: 1 unidad),true,false,false
P-00001,5493517000001,25001,10043,DR LEMON 473ml VODKA 5º,1,2216.89,2,Pedido: 1 unidad (normalizado: 24 unidad; equiv: 1 unidad),true,false,false
P-00002,5493517000001,25001,10105,TERMA CITRUS CERO PET 1.35L,1,2130.56,2,Pedido: 1 unidad (normalizado: 12 unidad; equiv: 1 unidad),true,false,false
P-00002,5493517000001,25001,1880,PASTA ORAL-B 150gr 123,2,5622.05,2,Pedido: 2 unidad (normalizado: 48 unidad; equiv: 2 unidad),true,false,false
P-00002,5493517000001,25001,8105,CEP. ORAL-B 123 x1,4,1238.17,2,Pedido: 4 unidad (normalizado: 144 unidad; equiv: 4 unidad),true,false,false
P-00003,5493517000002,25002,11282,SUEROX LIMONADA 630ML,5,1618.15,3,Pedido: 5 unidad (normalizado: 30 unidad; equiv: 5 unidad),true,false,false
P-00003,5493517000002,25002,1191,PAMPERS BABYDRY MED x8,4,3456.76,3,Pedido: 4 unidad (normalizado: 64 unidad; equiv: 4 unidad),true,false,false
P-00004,5493517000002,25002,18240,PLB SH X1LTR Brillo,1,3143.87,3,Pedido: 1 unidad (normalizado: 12 unidad; equiv: 1 unidad),true,false,false
P-00004,5493517000002,25002,17500,PANTENE CREM. PEIN. KERATINA X 300ML,1,7641.49,3,Pedido: 1 unidad (normalizado: 12 unidad; equiv: 1 unidad),true,false,false
P-00004,5493517000002,25002,18387,ZORRO SUAVIZ. X900ML DP Elegante,1,2444.08,3,Pedido: 1 unidad (normalizado: 14 unidad; equiv: 1 unidad),true,false,false
P-00005,5493517000003,25003,18707,Okebon Leche 273g,1,1626.68,4,Pedido: 1 unidad (normalizado: 18 unidad; equiv: 1 unidad),true,false,false
P-00005,5493517000003,25003,18400,ZORRO JAB. EN PAN X2 Clásico 150gs,5,1655.49,4,Pedido: 5 unidad (normalizado: 210 unidad; equiv: 5 unidad),true,false,false
P-00006,5493517000003,25003,11300,PRINGLES ORIGINAL x 104GR,4,4102.13,4,Pedido: 4 unidad (normalizado: 72 unidad; equiv: 4 unidad),true,false,false
P-00006,5493517000003,25003,1642,MAGISTRAL LIMON 500ML,1,3074.28,4,Pedido: 1 unidad (normalizado: 20 unidad; equiv: 1 unidad),true,false,false
P-00006,5493517000003,25003,880,Downy Bot Brisa Suave 350ml,3,3699.08,4,Pedido: 3 unidad (normalizado: 36 unidad; equiv: 3 unidad),true,false,false
P-00007,5493517000004,25004,10017,MARTINI 1L ROSSO,3,6273.60,1,Pedido: 3 unidad (normalizado: 36 unidad; equiv: 3 unidad),true,false,false
P-00007,5493517000004,25004,18387,ZORRO SUAVIZ. X900ML DP Elegante,2,2715.64,1,Pedido: 2 unidad (normalizado: 28 unidad; equiv: 2 unidad),true,false,false
P-00007,5493517000004,25004,220,PRESTO 3 BLISTER X8 UNI,2,20646.40,1,Pedido: 2 unidad (normalizado: 36 unidad; equiv: 2 unidad),true,false,false
P-00007,5493517000004,25004,5603,FELFORT MENTITAS 30 X 16 GRS,4,17466.36,1,Pedido: 4 unidad (normalizado: 48 unidad; equiv: 4 unidad),true,false,false
P-00008,5493517000004,25004,15006,PANTENE 400ml SH LISO INFINITO,4,7401.32,1,Pedido: 4 unidad (normalizado: 48 unidad; equiv: 4 unidad),true,false,false
P-00009,5493517000005,25005,1095,DOWNY 500ml BRISA SUAVE,3,6597.19,2,Pedido: 3 unidad (normalizado: 36 unidad; equiv: 3 unidad),true,false,false
P-00010,5493517000005,25005,550,PRESTO ULTRA GRIP X UNIDAD (NUEVA),5,1288.84,2,Pedido: 5 unidad (normalizado: 2880 unidad; equiv: 5 unidad),true,false,false
P-00010,5493517000005,25005,1003,FOAMY REGULAR X 312 GR,3,12084.22,2,Pedido: 3 unidad (normalizado: 36 unidad; equiv: 3 unidad),true,false,false
P-00010,5493517000005,25005,18367,Zorro BAÑO GAT LIMP. PROF. 500ml,2,3610.06,2,Pedido: 2 unidad (normalizado: 40 unidad; equiv: 2 unidad),true,false,false
P-00010,5493517000005,25005,116,PANTENE 300ml SH KERATINA,4,7662.22,2,Pedido: 4 unidad (normalizado: 48 unidad; equiv: 4 unidad),true,false,false
P-00011,5493517000006,25006,550,PRESTO ULTRA GRIP X UNIDAD (NUEVA),2,1008.66,3,Pedido: 2 unidad (normalizado: 1152 unidad; equiv: 2 unidad),true,false,false
P-00011,5493517000006,25006,1014,PILA AA X 2 DURACELL,1,2413.12,3,Pedido: 1 unidad (normalizado: 48 unidad; equiv: 1 unidad),true,false,false
P-00011,5493517000006,25006,1880,PASTA ORAL-B 150gr 123,1,4399.87,3,Pedido: 1 unidad (normalizado: 24 unidad; equiv: 1 unidad),true,false,false
P-00012,5493517000006,25006,10107,TERMA POMELO PET 1.35L,5,1667.39,3,Pedido: 5 unidad (normalizado: 60 unidad; equiv: 5 unidad),true,false,false
P-00012,5493517000006,25006,18353,ZORRO ULTRA DETERG. BOT300ml Limon Original Glicer,5,1192.75,3,Pedido: 5 unidad (normalizado: 80 unidad; equiv: 5 unidad),true,false,false
P-00013,5493517000007,25007,18730,MAGISTRAL GATILLO X 500ml NARANJA ANTIGRASA,3,3579.95,4,Pedido: 3 unidad (normalizado: 36 unidad; equiv: 3 unidad),true,false,false
P-00013,5493517000007,25007,1016,PILA AAA X 2 DURACELL,5,2279.05,4,Pedido: 5 unidad (normalizado: 240 unidad; equiv: 5 unidad),true,false,false
