client_phone,session_id,sender_type,type,message,content,created_at,is_mock
5493517000001,5493517000001,ai,ai,"Hola Kiosco 24 Horas Nueva Córdoba, vi que tenes un pedido abierto por PILA AA X 4 DURACELL y queria ayudarte a cerrarlo.","Hola Kiosco 24 Horas Nueva Córdoba, vi que tenes un pedido abierto por PILA AA X 4 DURACELL y queria ayudarte a cerrarlo.",2026-09-01 00:49:22,true
5493517000001,5493517000001,human,human,"Hola, queria hacer un reclamo por demora en la entrega.","Hola, queria hacer un reclamo por demora en la entrega.",2026-09-01 00:51:03,true
5493517000001,5493517000001,ai,ai,Gracias por avisarnos. Ya tomo el caso por demora en la entrega y lo escalo para revision.,Gracias por avisarnos. Ya tomo el caso por demora en la entrega y lo escalo para revision.,2026-09-01 00:51:58,true
5493517000001,5493517000001,human,human,"Dale, quedo atento.","Dale, quedo atento.",2026-09-01 00:53:57,true
5493517000001,5493517000001,ai,ai,Ya quedo registrado. Te aviso apenas tengamos respuesta.,Ya quedo registrado. Te aviso apenas tengamos respuesta.,2026-09-01 00:54:50,true
5493517000002,5493517000002,ai,ai,"Hola Maxikiosco Plaza España, vi que tenes un pedido abierto por TERMA LIMON PET 1.35L y queria ayudarte a cerrarlo.","Hola Maxikiosco Plaza España, vi que tenes un pedido abierto por TERMA LIMON PET 1.35L y queria ayudarte a cerrarlo.",2026-08-31 23:49:22,true
5493517000002,5493517000002,human,human,"Hola, queria hacer un reclamo por demora en la entrega.","Hola, queria hacer un reclamo por demora en la entrega.",2026-08-31 23:50:28,true
5493517000002,5493517000002,ai,ai,Gracias por avisarnos. Ya tomo el caso por demora en la entrega y lo escalo para revision.,Gracias por avisarnos. Ya tomo el caso por demora en la entrega y lo escalo para revision.,2026-08-31 23:51:25,true
5493517000002,5493517000002,human,human,"Dale, quedo atento.","Dale, quedo atento.",2026-08-31 23:52:42,true
5493517000002,5493517000002,ai,ai,Ya quedo registrado. Te aviso apenas tengamos respuesta.,Ya quedo registrado. Te aviso apenas tengamos respuesta.,2026-08-31 23:54:02,true
5493517000003,5493517000003,ai,ai,"Hola Autoservicio Chacabuco, vi que tenes un pedido abierto por FERNET 1882 473ml CON COLA y queria ayudarte a cerrarlo.","Hola Autoservicio Chacabuco, vi que tenes un pedido abierto por FERNET 1882 473ml CON COLA y queria ayudarte a cerrarlo.",2026-09-01 10:49:22,true
5493517000003,5493517000003,human,human,"Buen dia, pasame detalle de ese pedido por favor.","Buen dia, pasame detalle de ese pedido por favor.",2026-09-01 10:50:12,true
5493517000003,5493517000003,ai,ai,Te confirmo que el pedido P-00104 sigue en curso por un total de 12890.78. Si queres te lo dejo cerrado hoy.,Te confirmo que el pedido P-00104 sigue en curso por un total de 12890.78. Si queres te lo dejo cerrado hoy.,2026-09-01 10:51:01,true
5493517000003,5493517000003,human,human,"Dale, mandamelo asi.","Dale, mandamelo asi.",2026-09-01 10:52:26,true
5493517000003,5493517000003,ai,ai,"Genial, te lo dejo confirmado y en preparacion.","Genial, te lo dejo confirmado y en preparacion.",2026-09-01 10:53:35,true
5493517000004,5493517000004,ai,ai,"Hola Almacén Doña Rosa, vi que tenes un pedido abierto por PANTENE 200ml SH LISO INFINITO y queria ayudarte a cerrarlo.","Hola Almacén Doña Rosa, vi que tenes un pedido abierto por PANTENE 200ml SH LISO INFINITO y queria ayudarte a cerrarlo.",2026-09-01 09:49:22,true
5493517000004,5493517000004,human,human,"Hola, queria hacer un reclamo por producto faltante.","Hola, queria hacer un reclamo por producto faltante.",2026-09-01 09:50:47,true
5493517000004,5493517000004,ai,ai,Gracias por avisarnos. Ya tomo el caso por producto faltante y lo escalo para revision.,Gracias por avisarnos. Ya tomo el caso por producto faltante y lo escalo para revision.,2026-09-01 09:52:05,true
5493517000004,5493517000004,human,human,"Dale, quedo atento.","Dale, quedo atento.",2026-09-01 09:52:56,true
5493517000004,5493517000004,ai,ai,Ya quedo registrado. Te aviso apenas tengamos respuesta.,Ya quedo registrado. Te aviso apenas tengamos respuesta.,2026-09-01 09:54:18,true
5493517000005,5493517000005,ai,ai,"Hola Kiosco El Palacio, vi que tenes un pedido abierto por DR LEMON 473ml LIMÓN 4º y queria ayudarte a cerrarlo.","Hola Kiosco El Palacio, vi que tenes un pedido abierto por DR LEMON 473ml LIMÓN 4º y queria ayudarte a cerrarlo.",2026-09-01 08:49:22,true
5493517000005,5493517000005,human,human,"Buen dia, pasame detalle de ese pedido por favor.","Buen dia, pasame detalle de ese pedido por favor.",2026-09-01 08:50:43,true
