pedido_ref,cliente_phone,cliente_codigo,product_code,nombre,cantidad_solicitada,precio_unitario,lista_precios_id,notas,is_mock,es_pedido_abierto,promo_aplicada
P-00001,5493587905250,25001,F410,AGUA VIDA BAGGGIO MANZANA 1U X 1.5LT,1,1610.00,2,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00002,5493587905250,25001,F008,ALOE VERA LAVAVAJILLAS 1 X 750CC ESENCIAL,3,1463.95,2,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00002,5493587905250,25001,F140,RAPIDITAS CLASIC 1U X 240GR,2,2415.00,2,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00002,5493587905250,25001,F281,BELDENT FRUTILLA X 20UN,3,16088.50,2,Pedido: 3 unidad (normalizado: 60 unidad; equiv: 3 unidad),true,false,false
P-00002,5493587905250,25001,F060,TAKIS ORIGINAL 1P 49 FLOW BAR EXP,2,1564.00,2,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00003,5493582641213,25002,F041,PAPEL HIG. X 1 X 50MTS,4,594.00,3,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00003,5493582641213,25002,F227,YERBA PLAYADITO 1U X 500GR,4,1948.50,3,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00003,5493582641213,25002,F116,FIDEO SPAGHETTI MAROLIO 1U X 500GR,4,765.00,3,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00003,5493582641213,25002,F201,YERBA PLAYADITO 1U X 1KG,2,3645.00,3,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00004,5493582641213,25002,F171,JUGO DE NARANJA PURA FRUTTA 1U X 1LT,2,2511.00,3,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00005,5492991227644,25003,F201,YERBA PLAYADITO 1U X 1KG,3,3442.50,4,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00005,5492991227644,25003,F060,TAKIS ORIGINAL 1P 49 FLOW BAR EXP,5,1156.00,4,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00005,5492991227644,25003,F034,ALFAJOR GENIO TRIPLE NEGRO X 24U,2,6766.00,4,Pedido: 2 unidad (normalizado: 48 unidad; equiv: 2 unidad),true,false,false
P-00005,5492991227644,25003,F037,TRAPO PISO BLANCO X1X60X50CM,1,1224.00,4,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00006,5492991227644,25003,F140,RAPIDITAS CLASIC 1U X 240GR,5,1785.00,4,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00006,5492991227644,25003,F015,LIQ DESINF 1 X900CC ESENCIAL PINO,1,878.90,4,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00007,5493418277249,25004,F003,LAVANDINA CONCENTRADA X 1L X 1 ESENCIAL,5,1020.00,1,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00007,5493418277249,25004,F027,LIQ P LAVAR ROPA 1 X800 CLOW,4,1885.00,1,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
