client_phone,session_id,sender_type,type,message,content,created_at,is_mock
5492612780568,5492612780568,ai,ai,"Hola Golosinas y Más, paso a revisar tu pedido P-00066 de YERBA PLAYADITO 1U X 1KG.","Hola Golosinas y Más, paso a revisar tu pedido P-00066 de YERBA PLAYADITO 1U X 1KG.",2026-08-23 15:37:21,true
5492612780568,5492612780568,human,human,"Buen dia, eso fue lo que pedimos el otro dia?","Buen dia, eso fue lo que pedimos el otro dia?",2026-08-23 15:39:08,true
5492612780568,5492612780568,ai,ai,Te confirmo que el pedido P-00066 fue registrado correctamente por 4657.50.,Te confirmo que el pedido P-00066 fue registrado correctamente por 4657.50.,2026-08-23 15:40:30,true
5492612780568,5492612780568,ai,ai,Quedo atento por cualquier otra duda. Gracias.,Quedo atento por cualquier otra duda. Gracias.,2026-08-23 15:41:30,true
5492612928724,5492612928724,ai,ai,"Hola Kiosco La Sorpresa, paso a revisar tu pedido P-00082 de MARLBORO BOX 20.","Hola Kiosco La Sorpresa, paso a revisar tu pedido P-00082 de MARLBORO BOX 20.",2026-08-24 17:37:21,true
5492612928724,5492612928724,human,human,"Buen dia, eso fue lo que pedimos el otro dia?","Buen dia, eso fue lo que pedimos el otro dia?",2026-08-24 17:38:17,true
5492612928724,5492612928724,ai,ai,Te confirmo que el pedido P-00082 fue registrado correctamente por 61369.75.,Te confirmo que el pedido P-00082 fue registrado correctamente por 61369.75.,2026-08-24 17:38:58,true
5492612928724,5492612928724,human,human,"Perfecto, gracias.","Perfecto, gracias.",2026-08-24 17:40:00,true
5492612928724,5492612928724,ai,ai,Quedo atento por cualquier otra duda. Gracias.,Quedo atento por cualquier otra duda. Gracias.,2026-08-24 17:40:44,true
5492614053074,5492614053074,ai,ai,"Hola Cigarrillos y Más, vi que tenes un pedido abierto por LIQ DESINF 1 X900CC ESENCIAL PINO y queria ayudarte a cerrarlo.","Hola Cigarrillos y Más, vi que tenes un pedido abierto por LIQ DESINF 1 X900CC ESENCIAL PINO y queria ayudarte a cerrarlo.",2026-08-24 14:37:21,true
5492614053074,5492614053074,human,human,"Buen dia, pasame detalle de ese pedido por favor.","Buen dia, pasame detalle de ese pedido por favor.",2026-08-24 14:39:14,true
5492614053074,5492614053074,ai,ai,Te confirmo que el pedido P-00106 sigue en curso por un total de 4653.00. Si queres te lo dejo cerrado hoy.,Te confirmo que el pedido P-00106 sigue en curso por un total de 4653.00. Si queres te lo dejo cerrado hoy.,2026-08-24 14:40:06,true
5492614053074,5492614053074,human,human,"Dale, mandamelo asi.","Dale, mandamelo asi.",2026-08-24 14:41:25,true
5492614053074,5492614053074,ai,ai,"Genial, te lo dejo confirmado y en preparacion.","Genial, te lo dejo confirmado y en preparacion.",2026-08-24 14:42:45,true
5492615021286,5492615021286,ai,ai,"Hola Kiosco El Cielo, paso a revisar tu pedido P-00075 de PAPEL HIG. X 1 X 50MTS.","Hola Kiosco El Cielo, paso a revisar tu pedido P-00075 de PAPEL HIG. X 1 X 50MTS.",2026-08-22 15:37:21,true
5492615021286,5492615021286,human,human,"Buen dia, eso fue lo que pedimos el otro dia?","Buen dia, eso fue lo que pedimos el otro dia?",2026-08-22 15:38:15,true
5492615021286,5492615021286,ai,ai,Te confirmo que el pedido P-00075 fue registrado correctamente por 4896.00.,Te confirmo que el pedido P-00075 fue registrado correctamente por 4896.00.,2026-08-22 15:39:34,true
5492615021286,5492615021286,ai,ai,Quedo atento por cualquier otra duda. Gracias.,Quedo atento por cualquier otra duda. Gracias.,2026-08-22 15:40:09,true
5492615139305,5492615139305,ai,ai,"Hola Almacén El Buen Gusto, paso a revisar tu pedido P-00051 de LUCKY RED 20.","Hola Almacén El Buen Gusto, paso a revisar tu pedido P-00051 de LUCKY RED 20.",2026-08-22 17:37:21,true
5492615139305,5492615139305,human,human,"Buen dia, eso fue lo que pedimos el otro dia?","Buen dia, eso fue lo que pedimos el otro dia?",2026-08-22 17:38:17,true
5492615139305,5492615139305,ai,ai,Te confirmo que el pedido P-00051 fue registrado correctamente por 5886.00.,Te confirmo que el pedido P-00051 fue registrado correctamente por 5886.00.,2026-08-22 17:38:50,true
5492615139305,5492615139305,ai,ai,Quedo atento por cualquier otra duda. Gracias.,Quedo atento por cualquier otra duda. Gracias.,2026-08-22 17:39:44,true
5492617175545,5492617175545,ai,ai,"Hola Kiosco La Amistad, paso a revisar tu pedido P-00018 de MARLBORO BOX 20.","Hola Kiosco La Amistad, paso a revisar tu pedido P-00018 de MARLBORO BOX 20.",2026-08-23 14:37:21,true
5492617175545,5492617175545,human,human,"Buen dia, eso fue lo que pedimos el otro dia?","Buen dia, eso fue lo que pedimos el otro dia?",2026-08-23 14:38:48,true
5492617175545,5492617175545,ai,ai,Te confirmo que el pedido P-00018 fue registrado correctamente por 7291.00.,Te confirmo que el pedido P-00018 fue registrado correctamente por 7291.00.,2026-08-23 14:39:40,true
5492617175545,5492617175545,ai,ai,Quedo atento por cualquier otra duda. Gracias.,Quedo atento por cualquier otra duda. Gracias.,2026-08-23 14:40:50,true
5492617236955,5492617236955,ai,ai,"Hola Almacén El Refugio, paso a revisar tu pedido P-00084 de FIDEO TIRABUZON SANTA ISABEL 1U X 500GR.","Hola Almacén El Refugio, paso a revisar tu pedido P-00084 de FIDEO TIRABUZON SANTA ISABEL 1U X 500GR.",2026-08-24 16:37:21,true
5492617236955,5492617236955,human,human,"Buen dia, eso fue lo que pedimos el otro dia?","Buen dia, eso fue lo que pedimos el otro dia?",2026-08-24 16:39:08,true
5492617236955,5492617236955,ai,ai,Te confirmo que el pedido P-00084 fue registrado correctamente por 4730.00.,Te confirmo que el pedido P-00084 fue registrado correctamente por 4730.00.,2026-08-24 16:40:29,true
5492617236955,5492617236955,human,human,"Perfecto, gracias.","Perfecto, gracias.",2026-08-24 16:41:47,true
5492617236955,5492617236955,ai,ai,Quedo atento por cualquier otra duda. Gracias.,Quedo atento por cualquier otra duda. Gracias.,2026-08-24 16:42:59,true
5492617413812,5492617413812,ai,ai,"Hola Limpieza y Más, paso a revisar tu pedido P-00086 de MARLBORO PURPLE 12.","Hola Limpieza y Más, paso a revisar tu pedido P-00086 de MARLBORO PURPLE 12.",2026-08-24 15:37:21,true
