pedido_ref,cliente_phone,cliente_codigo,product_code,nombre,cantidad_solicitada,precio_unitario,lista_precios_id,notas,is_mock,es_pedido_abierto,promo_aplicada
P-00001,5493587905250,25001,U50,MILANESA DE SOJA RELLENAS CON TOMATE Y QUESO,2,2463.47,2,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00002,5493587905250,25001,T4,Magrela - Mortadela,5,1357.02,2,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00002,5493587905250,25001,U75,BOCADITOS DE POLLO KIDS 12X400,4,4690.41,2,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00003,5493587905250,25001,O5,XAvena Instantánea 500grs,5,0.01,2,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00003,5493587905250,25001,F10,BONDIOLA CURADA X120GR FET,4,3019.83,2,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00004,5493582641213,25002,F19,BONDIOLA FETEADA AV 150GRS. C. AUSTRAL,5,1835.60,3,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00004,5493582641213,25002,S15,Bocaditos rell c/ crema de avellana 10 x 180 g,2,1877.24,3,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00005,5493582641213,25002,B40,Pan Blanco Cero&Cero 385 Grs. 0% Azúcares y grasas.,2,0.01,3,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00006,5493582641213,25002,W20,CINTA ARGENTINA,3,313.32,3,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00006,5493582641213,25002,L10,TUBITOON SABOR JAMON SERRANO X60GRS,3,469.42,3,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00007,5492991227644,25003,G16,MANÍ PELADO SALADO DAN JUL BOLSA LAMINADO x 1 KG.,1,867.77,4,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00007,5492991227644,25003,B11,Pan Hamb Artesano PAPA 240g BIM,3,2598.35,4,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00008,5492991227644,25003,A29,VINAGRE ALCOHOL ZANONI12 x 1000 cc.,4,854.55,4,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00008,5492991227644,25003,W6,MOÑOS,5,276.28,4,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00008,5492991227644,25003,W19,CABELLO DE ANGEL AL HUEVO,4,260.96,4,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00009,5492991227644,25003,G39,JUGO GENY NARANJA BOTELLA VIDRIO 910 CC,2,573.02,4,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00009,5492991227644,25003,U68,CARNAZA CUADRADA EN PORCIONES ENF SWIFT (L),5,8056.75,4,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00009,5492991227644,25003,205,QUESO BLANCO CLASICO 12x290GRS,4,2297.52,4,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00009,5492991227644,25003,G17,MANÍ PELADO TOSTADO SIN SAL DAN JUL BOLSA LAMINADO x 1 KG.,5,867.77,4,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00010,5493418277249,25004,H8,X Pre-pizza x 580g. (2u.),1,0.01,1,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00010,5493418277249,25004,G28,ÉMOLA DE TRIGO x 500 GRS.,4,215.11,1,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00010,5493418277249,25004,B47,Madalena Chocolate Rellena DDL x1 BIMBO 32 GRAMOS,3,0.01,1,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00011,5493418277249,25004,A26,PULPA DE TOMATE DON PEPE x 520 grs,2,329.75,1,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00011,5493418277249,25004,O14,XCopos Naturales 250grs,4,0.01,1,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00012,5493418277249,25004,L3,PALITOS SALADOS X 150 GRS,1,598.35,1,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00013,5493587747641,25005,G8,MANI PELADO SALADO POTE x 200 GRS.,1,388.26,2,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
