pedido_ref,cliente_phone,fecha,estado,total,notas,is_mock,es_pedido_abierto,source
PF-000001,5493587905250,2025-06-05 15:45:00,confirmado,126485.34,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000002,5493587905250,2025-06-18 14:41:00,confirmado,92973.94,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000003,5493587905250,2025-07-17 16:38:00,confirmado,119512.12,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000004,5493587905250,2025-08-03 18:45:00,confirmado,108967.46,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000005,5493587905250,2025-08-29 18:02:00,confirmado,53346.10,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000006,5493587905250,2025-09-14 14:53:00,confirmado,82305.16,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000007,5493587905250,2025-10-08 08:39:00,confirmado,171969.91,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000008,5493582641213,2025-06-01 16:23:00,confirmado,33909.76,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000009,5493582641213,2025-06-27 14:40:00,confirmado,64890.94,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000010,5493582641213,2025-07-17 14:01:00,confirmado,34750.42,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000011,5493582641213,2025-08-06 17:37:00,confirmado,33185.58,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000012,5493582641213,2025-08-23 12:24:00,confirmado,24453.92,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000013,5493582641213,2025-09-18 16:24:00,confirmado,50953.92,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000014,5493582641213,2025-10-09 09:20:00,confirmado,58452.14,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000015,5492991227644,2025-06-01 10:26:00,confirmado,46714.34,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000016,5492991227644,2025-06-24 15:19:00,confirmado,43854.36,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000017,5492991227644,2025-07-13 12:28:00,confirmado,118901.34,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000018,5492991227644,2025-08-07 17:07:00,confirmado,41219.46,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000019,5492991227644,2025-08-25 17:44:00,confirmado,128096.64,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000020,5492991227644,2025-09-19 16:10:00,confirmado,66946.24,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000021,5492991227644,2025-10-02 08:58:00,confirmado,35089.26,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000022,5493418277249,2025-06-03 11:25:00,confirmado,38722.80,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000023,5493418277249,2025-06-23 17:01:00,confirmado,50934.14,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000024,5493418277249,2025-07-09 17:47:00,confirmado,109318.95,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000025,5493418277249,2025-08-01 08:13:00,confirmado,54925.45,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000026,5493418277249,2025-08-26 16:55:00,confirmado,70571.98,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000027,5493418277249,2025-09-13 17:47:00,confirmado,30220.77,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000028,5493418277249,2025-10-08 17:53:00,confirmado,33058.49,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000029,5493587747641,2025-06-05 14:53:00,confirmado,14380.33,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000030,5493587747641,2025-06-27 13:17:00,confirmado,28165.47,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000031,5493587747641,2025-07-11 11:49:00,confirmado,52050.94,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000032,5493587747641,2025-08-01 17:55:00,confirmado,40625.57,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000033,5493587747641,2025-08-29 10:25:00,confirmado,70272.51,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000034,5493587747641,2025-09-10 13:27:00,confirmado,57688.49,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000035,5493587747641,2025-10-10 14:04:00,confirmado,35722.33,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000036,5492614053074,2025-06-01 17:22:00,confirmado,92973.94,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000037,5492614053074,2025-06-20 10:57:00,confirmado,132062.30,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000038,5492614053074,2025-07-09 12:06:00,confirmado,118067.46,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000039,5492614053074,2025-08-07 15:50:00,confirmado,107888.91,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000040,5492614053074,2025-08-29 15:46:00,confirmado,92973.94,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000041,5492614053074,2025-09-14 16:02:00,confirmado,161021.36,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000042,5492614053074,2025-10-02 14:25:00,confirmado,133460.02,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000043,5493514079279,2025-06-02 12:30:00,confirmado,105790.90,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000044,5493514079279,2025-06-24 17:34:00,confirmado,171710.21,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000045,5493514079279,2025-07-10 12:27:00,confirmado,98212.47,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000046,5493514079279,2025-08-03 15:28:00,confirmado,110955.61,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000047,5493514079279,2025-08-20 11:31:00,confirmado,81726.23,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000048,5493514079279,2025-09-13 10:30:00,confirmado,101990.90,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000049,5493514079279,2025-10-06 14:01:00,confirmado,140205.64,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000050,5493876914178,2025-06-02 16:52:00,confirmado,122264.22,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000051,5493876914178,2025-06-27 15:07:00,confirmado,55246.10,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000052,5493876914178,2025-07-10 09:23:00,confirmado,53346.10,Pedido histórico field mock,true,false,fase-06-1-field-backbone
PF-000053,5493876914178,2025-08-01 09:14:00,confirmado,60764.76,Pedido histórico field mock,true,false,fase-06-1-field-backbone
