client_phone,session_id,sender_type,type,message,content,created_at,is_mock
5492612780568,5492612780568,ai,ai,"Hola Accesorios de Mate El Refugio, paso a revisar tu pedido P-00099 de Yerba M. Premiun Ed. Limitada X 1 Kg.","Hola Accesorios de Mate El Refugio, paso a revisar tu pedido P-00099 de Yerba M. Premiun Ed. Limitada X 1 Kg.",2026-06-18 10:50:41,true
5492612780568,5492612780568,human,human,"Buen dia, eso fue lo que pedimos el otro dia?","Buen dia, eso fue lo que pedimos el otro dia?",2026-06-18 10:52:10,true
5492612780568,5492612780568,ai,ai,Te confirmo que el pedido P-00099 fue registrado correctamente por 57341.40.,Te confirmo que el pedido P-00099 fue registrado correctamente por 57341.40.,2026-06-18 10:53:06,true
5492612780568,5492612780568,ai,ai,Quedo atento por cualquier otra duda. Gracias.,Quedo atento por cualquier otra duda. Gracias.,2026-06-18 10:54:15,true
5492612928724,5492612928724,ai,ai,"Hola El Mate de la Historia, paso a revisar tu pedido P-00123 de Yerba M. Tradicional Export X 3 Kg.","Hola El Mate de la Historia, paso a revisar tu pedido P-00123 de Yerba M. Tradicional Export X 3 Kg.",2026-06-19 12:50:41,true
5492612928724,5492612928724,human,human,"Buen dia, eso fue lo que pedimos el otro dia?","Buen dia, eso fue lo que pedimos el otro dia?",2026-06-19 12:51:26,true
5492612928724,5492612928724,ai,ai,Te confirmo que el pedido P-00123 fue registrado correctamente por 80899.34.,Te confirmo que el pedido P-00123 fue registrado correctamente por 80899.34.,2026-06-19 12:51:59,true
5492612928724,5492612928724,human,human,"Perfecto, gracias.","Perfecto, gracias.",2026-06-19 12:53:32,true
5492612928724,5492612928724,ai,ai,Quedo atento por cualquier otra duda. Gracias.,Quedo atento por cualquier otra duda. Gracias.,2026-06-19 12:54:28,true
5492614053074,5492614053074,ai,ai,"Hola El Rincón del Mate, vi que tenes un pedido abierto por Terere - LIMON c/ MENTA x250 Gr y queria ayudarte a cerrarlo.","Hola El Rincón del Mate, vi que tenes un pedido abierto por Terere - LIMON c/ MENTA x250 Gr y queria ayudarte a cerrarlo.",2026-06-19 09:50:41,true
5492614053074,5492614053074,human,human,"Buen dia, pasame detalle de ese pedido por favor.","Buen dia, pasame detalle de ese pedido por favor.",2026-06-19 09:52:19,true
5492614053074,5492614053074,ai,ai,Te confirmo que el pedido P-00156 sigue en curso por un total de 50300.00. Si queres te lo dejo cerrado hoy.,Te confirmo que el pedido P-00156 sigue en curso por un total de 50300.00. Si queres te lo dejo cerrado hoy.,2026-06-19 09:52:55,true
5492614053074,5492614053074,human,human,"Dale, mandamelo asi.","Dale, mandamelo asi.",2026-06-19 09:54:13,true
5492614053074,5492614053074,ai,ai,"Genial, te lo dejo confirmado y en preparacion.","Genial, te lo dejo confirmado y en preparacion.",2026-06-19 09:55:30,true
5492615021286,5492615021286,ai,ai,"Hola Accesorios de Mate La Cultura, paso a revisar tu pedido P-00112 de KIT Terere -   LIMON c/ MENTA x250 Gr.","Hola Accesorios de Mate La Cultura, paso a revisar tu pedido P-00112 de KIT Terere -   LIMON c/ MENTA x250 Gr.",2026-06-17 10:50:41,true
5492615021286,5492615021286,human,human,"Buen dia, eso fue lo que pedimos el otro dia?","Buen dia, eso fue lo que pedimos el otro dia?",2026-06-17 10:52:30,true
5492615021286,5492615021286,ai,ai,Te confirmo que el pedido P-00112 fue registrado correctamente por 63239.50.,Te confirmo que el pedido P-00112 fue registrado correctamente por 63239.50.,2026-06-17 10:53:18,true
5492615021286,5492615021286,ai,ai,Quedo atento por cualquier otra duda. Gracias.,Quedo atento por cualquier otra duda. Gracias.,2026-06-17 10:54:01,true
5492615139305,5492615139305,ai,ai,"Hola Yerba Mate La Esperanza, paso a revisar tu pedido P-00076 de Yerba M. Premiun Export X 1 Kg.","Hola Yerba Mate La Esperanza, paso a revisar tu pedido P-00076 de Yerba M. Premiun Export X 1 Kg.",2026-06-17 12:50:41,true
5492615139305,5492615139305,human,human,"Buen dia, eso fue lo que pedimos el otro dia?","Buen dia, eso fue lo que pedimos el otro dia?",2026-06-17 12:51:48,true
5492615139305,5492615139305,ai,ai,Te confirmo que el pedido P-00076 fue registrado correctamente por 41239.50.,Te confirmo que el pedido P-00076 fue registrado correctamente por 41239.50.,2026-06-17 12:53:05,true
5492615139305,5492615139305,ai,ai,Quedo atento por cualquier otra duda. Gracias.,Quedo atento por cualquier otra duda. Gracias.,2026-06-17 12:53:48,true
5492617175545,5492617175545,ai,ai,"Hola La Yerba de Rafaela, paso a revisar tu pedido P-00027 de Yerba M. Tradicional Export X 1 Kg.","Hola La Yerba de Rafaela, paso a revisar tu pedido P-00027 de Yerba M. Tradicional Export X 1 Kg.",2026-06-18 09:50:41,true
5492617175545,5492617175545,human,human,"Buen dia, eso fue lo que pedimos el otro dia?","Buen dia, eso fue lo que pedimos el otro dia?",2026-06-18 09:52:10,true
5492617175545,5492617175545,ai,ai,Te confirmo que el pedido P-00027 fue registrado correctamente por 6918.21.,Te confirmo que el pedido P-00027 fue registrado correctamente por 6918.21.,2026-06-18 09:52:59,true
5492617175545,5492617175545,ai,ai,Quedo atento por cualquier otra duda. Gracias.,Quedo atento por cualquier otra duda. Gracias.,2026-06-18 09:54:18,true
5492617236955,5492617236955,ai,ai,"Hola La Yerba de la Tierra, paso a revisar tu pedido P-00126 de Terere - NARANJA c/ MENTA x250 Gr.","Hola La Yerba de la Tierra, paso a revisar tu pedido P-00126 de Terere - NARANJA c/ MENTA x250 Gr.",2026-06-19 11:50:41,true
