pedido_ref,cliente_phone,cliente_codigo,product_code,nombre,cantidad_solicitada,precio_unitario,lista_precios_id,notas,is_mock,es_pedido_abierto,promo_aplicada
P-00001,5493587905250,25001,2,Aceitunas Verdes PET T0 1500g GULLO,1,9235.80,2,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00001,5493587905250,25001,291,Pan Lacteado Veneziana 400 G,5,1771.68,2,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00002,5493587905250,25001,157,Queso Gouda Cremigal Kg,5,11970.26,2,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00002,5493587905250,25001,11270,Patagonia Tonadita 3 KG,5,20931.66,2,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00002,5493587905250,25001,185,Tapa Empanada La Mocita Freir Hojaldre 330 G,5,1573.00,2,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00003,5493587905250,25001,284,Pan P/ Panchos Venez. 210 G,5,1213.59,2,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00003,5493587905250,25001,846,Sorrentinos Villa D'agri 500G mozzarella y jamon,5,3128.65,2,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00003,5493587905250,25001,12168,Salame Pepperoni FOX,3,19400.00,2,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00004,5493582641213,25002,213,Aderezo Mostaza Danica 60 G,3,466.23,3,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00004,5493582641213,25002,12356,Aderezo HELLMANN'S Mayonesa 950G,3,5193.43,3,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00004,5493582641213,25002,11933,Sopa de arvejas CENTURION Caja 5x13g,1,1713.18,3,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00004,5493582641213,25002,770,Yerba Mate Rojo Tradicional 500g,3,1576.47,3,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00005,5493582641213,25002,16,Gelatina Anana VIT Emeth 70G,5,895.79,3,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00005,5493582641213,25002,11270,Patagonia Tonadita 3 KG,4,20931.66,3,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00005,5493582641213,25002,684,Salsa Soja VANOLI 190cc PET,1,1553.78,3,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00006,5493582641213,25002,11302,Torta Veneziana Dulce de Leche 400G,3,2741.27,3,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00006,5493582641213,25002,210,Aderezo Salsa Golf 220G DANICA,1,1456.02,3,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00007,5492991227644,25003,197,Yogur Colchon de Frutillas RAMOLAC 160g,4,953.67,4,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00007,5492991227644,25003,10348,Queso Cheddar Untable La Quesera 3 KG,5,27941.74,4,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00007,5492991227644,25003,30,Cremette Tonadita 290G,5,2214.40,4,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00008,5492991227644,25003,773,Yerba Mate 10 Uruguaya 500g,3,4678.13,4,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00008,5492991227644,25003,485,Queso Cremoso LW x KG,1,8600.00,4,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00008,5492991227644,25003,98,Mortadela Bocha FOX A/V,5,10900.00,4,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00008,5492991227644,25003,294,Pre Pizza T/ A la Piedra Veneziana,1,1840.66,4,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00009,5492991227644,25003,179,Queso Rallado TREMBLAY 40g,4,1017.13,4,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00009,5492991227644,25003,14,Bizcochuelo Chocolate Emeth 450G,1,2084.02,4,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00010,5493418277249,25004,381,Knorr Sabor Carne CEB/AJO 21g + Bolsa,3,2530.14,1,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00011,5493418277249,25004,484,Jade al Pesto CUÑA,2,22283.64,1,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00011,5493418277249,25004,939,Fecula de Maiz 200g. CENTURION,2,1172.80,1,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00011,5493418277249,25004,144,Queso Cremoso Cremigal x KG,1,8800.00,1,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00012,5493418277249,25004,43,Dulce de Leche Cremigal Familiar 1 KG,1,5007.62,1,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00012,5493418277249,25004,693,Jugo de Limon CORMILLOT 500cc,2,2228.35,1,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00013,5493587747641,25005,151,Queso Fontina Varense x Kg,2,18460.00,2,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00014,5493587747641,25005,10650,Aceituna Negra VANOLI Doy Pack 180/300 G,5,2098.20,2,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00014,5493587747641,25005,520,Picadillo Paladini 90g,2,1174.82,2,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00015,5493587747641,25005,446,Ajies Dulces en Vinagre 800G GULLO,4,6347.88,2,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00015,5493587747641,25005,50,Dulce de Membrillo 5 KG DULCOR,1,17994.74,2,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00016,5492614053074,25006,15287,Tostex Cintitas Picantes 125g,3,1201.89,3,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00016,5492614053074,25006,295,Tortilla Veneziana 165 G,4,1085.67,3,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00016,5492614053074,25006,939,Fecula de Maiz 200g. CENTURION,2,1172.80,3,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00016,5492614053074,25006,175,Salchichas Carcaraña x 6u 190 G,1,1150.00,3,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00017,5492614053074,25006,911,Aji Molido 25g CENTURION,1,391.64,3,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00017,5492614053074,25006,25,Morcillon FOX KG,5,7300.00,3,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00017,5492614053074,25006,368,KNORR Sopa Crema Vegetales,2,2010.53,3,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00017,5492614053074,25006,770,Yerba Mate Rojo Tradicional 500g,1,1576.47,3,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00018,5492614053074,25006,680,Salsa Pomarola Light CORMILLOT 340g,4,1495.50,3,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00018,5492614053074,25006,442,Aceitunas Negras PREMIUM T00 800G GULLO,2,9210.60,3,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00018,5492614053074,25006,437,Especias Garam Masala 200G (10 Especias),4,6097.14,3,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00019,5493514079279,25007,158,Queso Reggianito La Quesera,2,21770.44,4,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00019,5493514079279,25007,679,Salsa Filetto LIght CORMILLOT 340g,4,1495.50,4,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00019,5493514079279,25007,674,Salsa Portuguesa VANOLI Frasco 340g,3,1495.50,4,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00019,5493514079279,25007,13109,Mermelada Pote PERA Dulcor 500G,4,1419.86,4,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00020,5493514079279,25007,1690,Mermelada S/AZUCAR Durazno CORMILLOT 390G,1,2687.38,4,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00021,5493514079279,25007,246,Salchicha DON OTTO,2,1100.00,4,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00021,5493514079279,25007,1414,Bizcochuelo Vainilla Emeth 450 G,4,1613.57,4,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00021,5493514079279,25007,89,Danica Dorada Pote 200 G,5,3071.41,4,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00022,5493876914178,25008,1075,Lomo a las Finas Hierbas FOX,4,21100.00,1,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00023,5493876914178,25008,10356,Aderezo HELLMANN'S Mayonesa 237G,1,1442.09,1,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00023,5493876914178,25008,72,Levadura Levex Seca 2x 10 G,1,1031.38,1,Pedido: 1 unidad (normalizado: 2 unidad; equiv: 1 unidad),true,false,false
