client_phone,session_id,sender_type,type,message,content,created_at,is_mock
5492612780568,5492612780568,ai,ai,"Hola Autoservicio Junco, paso a revisar tu pedido P-00099 de Yerba Mate 10 LATA ARG 500g.","Hola Autoservicio Junco, paso a revisar tu pedido P-00099 de Yerba Mate 10 LATA ARG 500g.",2026-08-09 10:38:59,true
5492612780568,5492612780568,human,human,"Buen dia, eso fue lo que pedimos el otro dia?","Buen dia, eso fue lo que pedimos el otro dia?",2026-08-09 10:40:28,true
5492612780568,5492612780568,ai,ai,Te confirmo que el pedido P-00099 fue registrado correctamente por 46354.20.,Te confirmo que el pedido P-00099 fue registrado correctamente por 46354.20.,2026-08-09 10:41:24,true
5492612780568,5492612780568,ai,ai,Quedo atento por cualquier otra duda. Gracias.,Quedo atento por cualquier otra duda. Gracias.,2026-08-09 10:42:33,true
5492612928724,5492612928724,ai,ai,"Hola Autoservicio El Mirador, paso a revisar tu pedido P-00123 de Dulce Membrillo DULCOR 500 G.","Hola Autoservicio El Mirador, paso a revisar tu pedido P-00123 de Dulce Membrillo DULCOR 500 G.",2026-08-10 12:38:59,true
5492612928724,5492612928724,human,human,"Buen dia, eso fue lo que pedimos el otro dia?","Buen dia, eso fue lo que pedimos el otro dia?",2026-08-10 12:39:44,true
5492612928724,5492612928724,ai,ai,Te confirmo que el pedido P-00123 fue registrado correctamente por 34395.09.,Te confirmo que el pedido P-00123 fue registrado correctamente por 34395.09.,2026-08-10 12:40:17,true
5492612928724,5492612928724,human,human,"Perfecto, gracias.","Perfecto, gracias.",2026-08-10 12:41:50,true
5492612928724,5492612928724,ai,ai,Quedo atento por cualquier otra duda. Gracias.,Quedo atento por cualquier otra duda. Gracias.,2026-08-10 12:42:46,true
5492614053074,5492614053074,ai,ai,"Hola Proveeduría Villa Adela, vi que tenes un pedido abierto por Bizcochitos La Berlinesa 220 G y queria ayudarte a cerrarlo.","Hola Proveeduría Villa Adela, vi que tenes un pedido abierto por Bizcochitos La Berlinesa 220 G y queria ayudarte a cerrarlo.",2026-08-10 09:38:59,true
5492614053074,5492614053074,human,human,"Buen dia, pasame detalle de ese pedido por favor.","Buen dia, pasame detalle de ese pedido por favor.",2026-08-10 09:40:37,true
5492614053074,5492614053074,ai,ai,Te confirmo que el pedido P-00156 sigue en curso por un total de 23462.31. Si queres te lo dejo cerrado hoy.,Te confirmo que el pedido P-00156 sigue en curso por un total de 23462.31. Si queres te lo dejo cerrado hoy.,2026-08-10 09:41:13,true
5492614053074,5492614053074,human,human,"Dale, mandamelo asi.","Dale, mandamelo asi.",2026-08-10 09:42:31,true
5492614053074,5492614053074,ai,ai,"Genial, te lo dejo confirmado y en preparacion.","Genial, te lo dejo confirmado y en preparacion.",2026-08-10 09:43:48,true
5492615021286,5492615021286,ai,ai,"Hola Proveeduría Ruta 14, paso a revisar tu pedido P-00112 de Pan Lacteado Veneziana 400 G.","Hola Proveeduría Ruta 14, paso a revisar tu pedido P-00112 de Pan Lacteado Veneziana 400 G.",2026-08-08 10:38:59,true
5492615021286,5492615021286,human,human,"Buen dia, eso fue lo que pedimos el otro dia?","Buen dia, eso fue lo que pedimos el otro dia?",2026-08-08 10:40:48,true
