pedido_ref,cliente_phone,cliente_codigo,product_code,nombre,cantidad_solicitada,precio_unitario,lista_precios_id,notas,is_mock,es_pedido_abierto,promo_aplicada
P-00001,5493587905250,25001,PSQ-0204,CAJA PIZZA GRANDE ECO VERDE X 100U (1),2,26888.29,2,Pedido: 2 caja (normalizado: 200 caja; equiv: 2 caja),true,false,false
P-00001,5493587905250,25001,PSQ-0435,JABON PARA MANOS X1L,2,1359.09,2,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00001,5493587905250,25001,PSQ-0215,CAMISETA 45 X 60 MUNDI MAX X PAQ (20),2,4063.74,2,Pedido: 2 paquete (normalizado: 40 paquete; equiv: 2 paquete),true,false,false
P-00002,5493587905250,25001,PSQ-0016,ANTI-HONGOS GATILLO 500ML PSQ,1,2014.78,2,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00002,5493587905250,25001,PSQ-0580,QUITAMANCHAS X 1LT,2,1724.53,2,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00003,5493587905250,25001,PSQ-0551,PLATO 22CM BLANCO X 50 U (20),3,2473.93,2,Pedido: 3 caja (normalizado: 60 caja; equiv: 3 caja),true,false,false
P-00003,5493587905250,25001,PSQ-0014,ALGUICIDA 1:60000 X1L,3,2787.08,2,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00003,5493587905250,25001,PSQ-0405,FRIOCLEAN 500ML,1,743.22,2,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00004,5493582641213,25002,PSQ-0141,BOLSA PPP 20 X 30 X 100 U(10),2,1444.52,3,Pedido: 2 paquete (normalizado: 20 paquete; equiv: 2 paquete),true,false,false
P-00004,5493582641213,25002,PSQ-0180,BOLSAS RESIDUOS 45X60 X 50 UNI,5,1059.92,3,Pedido: 5 paquete (normalizado: 250 paquete; equiv: 5 paquete),true,false,false
P-00004,5493582641213,25002,PSQ-0017,ANTI-HONGOS X 5LTS PSQUIMICA,1,11036.86,3,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00005,5493582641213,25002,PSQ-0012,ALCOHOL EN GEL 1LT,1,1919.46,3,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00006,5493582641213,25002,PSQ-0666,SET PERFUMINA 100 LTS,2,13549.21,3,Pedido: 2 set (normalizado: 2 set; equiv: 2 set),true,false,false
P-00006,5493582641213,25002,PSQ-0073,BANDEJA DE CARTON N4,3,2382.67,3,Pedido: 3 caja (normalizado: 3 caja; equiv: 3 caja),true,false,false
P-00006,5493582641213,25002,PSQ-0618,ROLLO COCINA FELPITA X 200PAÑOS,5,1714.83,3,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00006,5493582641213,25002,PSQ-0218,CAMISETA 50 X 70 MUNDI MAX X PAQ (20),1,5128.67,3,Pedido: 1 paquete (normalizado: 20 paquete; equiv: 1 paquete),true,false,false
P-00007,5492991227644,25003,PSQ-0191,CABO 1.20MTS,5,1109.25,4,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00007,5492991227644,25003,PSQ-0016,ANTI-HONGOS GATILLO 500ML PSQ,2,1489.18,4,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00008,5492991227644,25003,PSQ-0017,ANTI-HONGOS X 5LTS PSQUIMICA,4,10423.70,4,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00008,5492991227644,25003,PSQ-0271,CLORO P/PILETAS X10L,1,4416.69,4,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00008,5492991227644,25003,PSQ-0735,VASO 110CC PLASTICO TRASLUCIDO X 100 (42),3,7032.23,4,Pedido: 3 caja (normalizado: 126 caja; equiv: 3 caja),true,false,false
P-00009,5492991227644,25003,PSQ-0310,DESTAPA CAÑERIAS X LT PSQUIMICA,3,1656.23,4,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00010,5493418277249,25004,PSQ-0291,CUCHILLO BLANCO X 100 (1),5,1560.33,1,Pedido: 5 caja (normalizado: 5 caja; equiv: 5 caja),true,false,false
P-00011,5493418277249,25004,PSQ-0684,SORBETE SUR ENSOBRADO X 1000 EN CAJA,3,9220.89,1,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00011,5493418277249,25004,PSQ-0520,PAPEL HIG ELEG/FELPITA 4x30 MTS,1,1493.93,1,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
