pedido_ref,cliente_phone,cliente_codigo,product_code,nombre,cantidad_solicitada,precio_unitario,lista_precios_id,notas,is_mock,es_pedido_abierto,promo_aplicada
P-00001,5493587905250,25001,8002,ALGUICIDA PARA HONGO NEGRO (1LT EN 100.000 LT DE AGUA) L.P.U.,2,9257.90,2,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00001,5493587905250,25001,2008,"CERA TIPO ""8 M"" INCOLORA L.P.U. (PROFESIONAL)",4,2673.40,2,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00001,5493587905250,25001,3025,DESODORANTE PINO 1+80 LT DE AGUA — 1 L (rinde 80 L),3,11664.45,2,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00001,5493587905250,25001,9008,"BICARBONATO DE SODIO ""SOAP CLEAN"" EN POLVO — 1 kg",1,4763.59,2,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00002,5493587905250,25001,5001,ADITIVO PERFUMANTE P/ LAVANDINA POR LITRO L.P.U. (1 PARA 20 Lt DE LAVANDINA) — 1 L,3,4148.05,2,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00002,5493587905250,25001,3020,DESODORANTE LYSOFORM 1+80 LT DE AGUA,2,13566.26,2,Pedido: 2 unidad (normalizado: 2 unidad; equiv: 2 unidad),true,false,false
P-00003,5493587905250,25001,3011,DESODORANTE CONIGLIO 1+80 LT DE AGUA — 1 L (rinde 80 L),3,11664.45,2,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00003,5493587905250,25001,3020,DESODORANTE LYSOFORM 1+80 LT DE AGUA,3,13566.26,2,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00003,5493587905250,25001,9005,ALCOHOL EN GEL L.P.U.,4,2774.84,2,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00003,5493587905250,25001,1007,"JABON LIQUIDO C/BICARBONATO ""SOAP CLEAN"" L.P.U. — 5 L (bidón incluido)",3,1530.65,2,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00004,5493582641213,25002,6007,LAVANDINA EN GEL L.P.U.,5,853.34,3,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00004,5493582641213,25002,9028,PERFUME AMBIENTAL ENVASADO (ENVASADO X1LT) L.P.U.,5,5211.00,3,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00004,5493582641213,25002,7001,CARCLEAN MAX DESENGRASANTE LAVACARROCERIA SIN FROTAR 1+9 1LT,1,4742.01,3,Pedido: 1 unidad (normalizado: 1 unidad; equiv: 1 unidad),true,false,false
P-00004,5493582641213,25002,5001,ADITIVO PERFUMANTE P/ LAVANDINA POR LITRO L.P.U. (1 PARA 20 Lt DE LAVANDINA) — 1 L,3,3246.30,3,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00005,5493582641213,25002,1001,"JABON LIQUIDO B/E (TIPO ARIEL 8% mat. Activa ) ""SOAP CLEAN"" L.P.U. — 5 L",3,711.21,3,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00005,5493582641213,25002,7001,CARCLEAN MAX DESENGRASANTE LAVACARROCERIA SIN FROTAR 1+9 1LT,4,4742.01,3,Pedido: 4 unidad (normalizado: 4 unidad; equiv: 4 unidad),true,false,false
P-00005,5493582641213,25002,10001,BIDON DE 5L NUEVO BLANCO,3,792.00,3,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
