pedido_ref,cliente_phone,cliente_codigo,product_code,nombre,cantidad_solicitada,precio_unitario,lista_precios_id,notas,is_mock,es_pedido_abierto,promo_aplicada
P-00001,549388742104,25001,3074,MARINARO ICE POMELO ROSADO 4X3,4,6325.00,2,Pedido: 4 caja (normalizado: 16 caja; equiv: 4 caja),true,false,false
P-00001,549388742104,25001,3013,"MARINARO COLA 6 X 2,25",3,7935.00,2,Pedido: 3 caja (normalizado: 18 caja; equiv: 3 caja),true,false,false
P-00002,549388742104,25001,3051,"MARINARO MANZANA 6X1,5",2,7705.00,2,Pedido: 2 caja (normalizado: 12 caja; equiv: 2 caja),true,false,false
P-00002,549388742104,25001,3072,MARINARO ICE MANZANA 4X3,5,6325.00,2,Pedido: 5 caja (normalizado: 20 caja; equiv: 5 caja),true,false,false
P-00002,549388742104,25001,9272,WHISKY J WLAKER BLUE LABEL EST 6X750,4,3967500.00,2,Pedido: 4 caja (normalizado: 24 caja; equiv: 4 caja),true,false,false
P-00002,549388742104,25001,3016,MARINARO GRANADINA 12 X 500,5,10580.00,2,Pedido: 5 caja (normalizado: 60 caja; equiv: 5 caja),true,false,false
P-00003,549388742105,25002,3049,"MARINARO COLA 6X1,5",1,6030.00,3,Pedido: 1 caja (normalizado: 6 caja; equiv: 1 caja),true,false,false
P-00004,549388742105,25002,9473,YERBA VERDEFLOR 12X500 BOLDO,4,17280.00,3,Pedido: 4 caja (normalizado: 48 caja; equiv: 4 caja),true,false,false
P-00005,549388742106,25003,577,HELIOS PUNA CABERNET 6X750,2,36975.00,4,Pedido: 2 caja (normalizado: 12 caja; equiv: 2 caja),true,false,false
P-00005,549388742106,25003,2016,"AGUA MARINARO 6X2,25",5,5185.00,4,Pedido: 5 caja (normalizado: 30 caja; equiv: 5 caja),true,false,false
P-00005,549388742106,25003,76,CAFAYATE RESERVE TORRONTES 6X750,5,39355.00,4,Pedido: 5 caja (normalizado: 30 caja; equiv: 5 caja),true,false,false
P-00006,549388742106,25003,777,PUNA MALBEC 6X750,3,48280.00,4,Pedido: 3 caja (normalizado: 18 caja; equiv: 3 caja),true,false,false
P-00006,549388742106,25003,7301,MANI SALADO SEMIX 30X120GR,2,26775.00,4,Pedido: 2 caja (normalizado: 60 caja; equiv: 2 caja),true,false,false
P-00006,549388742106,25003,79,CAFAYATE TORRONTES 6X750,3,24437.50,4,Pedido: 3 caja (normalizado: 18 caja; equiv: 3 caja),true,false,false
P-00007,549388742107,25004,3014,MARINARO COLA 4X3 PREMIUM,4,7300.00,1,Pedido: 4 caja (normalizado: 16 caja; equiv: 4 caja),true,false,false
P-00007,549388742107,25004,7301,MANI SALADO SEMIX 30X120GR,4,31500.00,1,Pedido: 4 caja (normalizado: 120 caja; equiv: 4 caja),true,false,false
P-00007,549388742107,25004,3074,MARINARO ICE POMELO ROSADO 4X3,5,5500.00,1,Pedido: 5 caja (normalizado: 20 caja; equiv: 5 caja),true,false,false
P-00008,549388742107,25004,4503,"SODA MARINARO 6 X 1,5",4,5640.00,1,Pedido: 4 caja (normalizado: 24 caja; equiv: 4 caja),true,false,false
P-00008,549388742107,25004,3075,MARINARO ICE GRANADINA 4X3,4,5500.00,1,Pedido: 4 caja (normalizado: 16 caja; equiv: 4 caja),true,false,false
P-00008,549388742107,25004,2016,"AGUA MARINARO 6X2,25",5,6100.00,1,Pedido: 5 caja (normalizado: 30 caja; equiv: 5 caja),true,false,false
P-00009,549388742108,25005,4506,"SODA BAGGIO FRESH 6X2,25",1,5198.00,2,Pedido: 1 caja (normalizado: 6 caja; equiv: 1 caja),true,false,false
P-00009,549388742108,25005,5114,IMPERIAL GOLDEN 24X473 CERO,4,55200.00,2,Pedido: 4 caja (normalizado: 96 caja; equiv: 4 caja),true,false,false
