pedido_ref,cliente_phone,cliente_codigo,product_code,nombre,cantidad_solicitada,precio_unitario,lista_precios_id,notas,is_mock,es_pedido_abierto,promo_aplicada
P-00001,5493587905250,25001,411,HILO DE ALGODON BLANCO BOBINA 250G X UNIDAD,3,2568.62,2,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00002,5493587905250,25001,211,PAPEL DIARIO EN BOBINAS 40CM X 6KGR.,3,22660.75,2,Pedido: 3 unidad (normalizado: 3 unidad; equiv: 3 unidad),true,false,false
P-00002,5493587905250,25001,558,POTE CON BISAGRA 270CC POR 10U.,2,1805.66,2,Pedido: 2 unidad (normalizado: 20 unidad; equiv: 2 unidad),true,false,false
P-00002,5493587905250,25001,353,BANDEJA EXP 180 EXTRUCSYSTEM X 100 U,2,7107.45,2,Pedido: 2 unidad (normalizado: 200 unidad; equiv: 2 unidad),true,false,false
P-00003,5493582641213,25002,531,OBLEA BLANCA TELGOPOR Nº19 POR 100U.,1,7206.97,3,Pedido: 1 unidad (normalizado: 100 unidad; equiv: 1 unidad),true,false,false
P-00004,5493582641213,25002,509,CAJA DE CARTULINA BLANCA CON VISOR 20X30X6 POR 5U.,4,2888.00,3,Pedido: 4 unidad (normalizado: 20 unidad; equiv: 4 unidad),true,false,false
P-00004,5493582641213,25002,420,MOLDE FREIDORA DE AIRE CUADRADO 16X16CM X 50U.,1,3361.93,3,Pedido: 1 unidad (normalizado: 50 unidad; equiv: 1 unidad),true,false,false
P-00004,5493582641213,25002,353,BANDEJA EXP 180 EXTRUCSYSTEM X 100 U,2,5562.35,3,Pedido: 2 unidad (normalizado: 200 unidad; equiv: 2 unidad),true,false,false
P-00004,5493582641213,25002,457,BANDEJA 101PP BISAGRA INPACK POR 10 U.,5,2090.15,3,Pedido: 5 unidad (normalizado: 50 unidad; equiv: 5 unidad),true,false,false
P-00005,5492991227644,25003,344,ROLLO DE ALUMINIO POR 1KG,5,9599.30,4,Pedido: 5 unidad (normalizado: 5 unidad; equiv: 5 unidad),true,false,false
P-00006,5492991227644,25003,178,VASO BLANCO 180 CC X 100 UNID.,2,4244.90,4,Pedido: 2 unidad (normalizado: 200 unidad; equiv: 2 unidad),true,false,false
P-00007,5493418277249,25004,252,BOLSA CAMISETA 30X40 PETIT REFORZADA NEGRA 10 PAQ X 60 UN C/U,1,6673.50,1,Pedido: 1 unidad (normalizado: 60 unidad; equiv: 1 unidad),true,false,false
P-00008,5493418277249,25004,120,ALUMINIO EN ROLLO DPM HOGAR X 10 U,5,12208.00,1,Pedido: 5 unidad (normalizado: 50 unidad; equiv: 5 unidad),true,false,false
