client_phone,session_id,sender_type,type,message,content,created_at,is_mock
5492612780568,5492612780568,ai,ai,"Hola Descarte Rápido, paso a revisar tu pedido P-00066 de ROLLO DE ALUMINIO POR 1KG.","Hola Descarte Rápido, paso a revisar tu pedido P-00066 de ROLLO DE ALUMINIO POR 1KG.",2026-08-20 10:28:32,true
5492612780568,5492612780568,human,human,"Buen dia, eso fue lo que pedimos el otro dia?","Buen dia, eso fue lo que pedimos el otro dia?",2026-08-20 10:30:19,true
5492612780568,5492612780568,ai,ai,Te confirmo que el pedido P-00066 fue registrado correctamente por 81013.52.,Te confirmo que el pedido P-00066 fue registrado correctamente por 81013.52.,2026-08-20 10:31:41,true
5492612780568,5492612780568,ai,ai,Quedo atento por cualquier otra duda. Gracias.,Quedo atento por cualquier otra duda. Gracias.,2026-08-20 10:32:41,true
5492612928724,5492612928724,ai,ai,"Hola Aluminio para Catering, paso a revisar tu pedido P-00082 de VASO 12OZ RIPPLE NEGRO CON TAPA POR 50U..","Hola Aluminio para Catering, paso a revisar tu pedido P-00082 de VASO 12OZ RIPPLE NEGRO CON TAPA POR 50U..",2026-08-21 12:28:32,true
5492612928724,5492612928724,human,human,"Buen dia, eso fue lo que pedimos el otro dia?","Buen dia, eso fue lo que pedimos el otro dia?",2026-08-21 12:29:28,true
5492612928724,5492612928724,ai,ai,Te confirmo que el pedido P-00082 fue registrado correctamente por 166226.63.,Te confirmo que el pedido P-00082 fue registrado correctamente por 166226.63.,2026-08-21 12:30:09,true
5492612928724,5492612928724,human,human,"Perfecto, gracias.","Perfecto, gracias.",2026-08-21 12:31:11,true
5492612928724,5492612928724,ai,ai,Quedo atento por cualquier otra duda. Gracias.,Quedo atento por cualquier otra duda. Gracias.,2026-08-21 12:31:55,true
5492614053074,5492614053074,ai,ai,"Hola Bolsas y Más, vi que tenes un pedido abierto por PAPEL DIARIO EN BOBINAS 40CM X 6KGR. y queria ayudarte a cerrarlo.","Hola Bolsas y Más, vi que tenes un pedido abierto por PAPEL DIARIO EN BOBINAS 40CM X 6KGR. y queria ayudarte a cerrarlo.",2026-08-21 09:28:32,true
5492614053074,5492614053074,human,human,"Buen dia, pasame detalle de ese pedido por favor.","Buen dia, pasame detalle de ese pedido por favor.",2026-08-21 09:30:25,true
5492614053074,5492614053074,ai,ai,Te confirmo que el pedido P-00106 sigue en curso por un total de 136216.88. Si queres te lo dejo cerrado hoy.,Te confirmo que el pedido P-00106 sigue en curso por un total de 136216.88. Si queres te lo dejo cerrado hoy.,2026-08-21 09:31:17,true
5492614053074,5492614053074,human,human,"Dale, mandamelo asi.","Dale, mandamelo asi.",2026-08-21 09:32:36,true
5492614053074,5492614053074,ai,ai,"Genial, te lo dejo confirmado y en preparacion.","Genial, te lo dejo confirmado y en preparacion.",2026-08-21 09:33:56,true
5492615021286,5492615021286,ai,ai,"Hola Aluminio y Cartón, paso a revisar tu pedido P-00075 de VASO 12OZ RIPPLE NEGRO CON TAPA POR 50U..","Hola Aluminio y Cartón, paso a revisar tu pedido P-00075 de VASO 12OZ RIPPLE NEGRO CON TAPA POR 50U..",2026-08-19 10:28:32,true
5492615021286,5492615021286,human,human,"Buen dia, eso fue lo que pedimos el otro dia?","Buen dia, eso fue lo que pedimos el otro dia?",2026-08-19 10:29:26,true
5492615021286,5492615021286,ai,ai,Te confirmo que el pedido P-00075 fue registrado correctamente por 56780.12.,Te confirmo que el pedido P-00075 fue registrado correctamente por 56780.12.,2026-08-19 10:30:45,true
5492615021286,5492615021286,ai,ai,Quedo atento por cualquier otra duda. Gracias.,Quedo atento por cualquier otra duda. Gracias.,2026-08-19 10:31:20,true
5492615139305,5492615139305,ai,ai,"Hola Telgopor Tucumán, paso a revisar tu pedido P-00051 de GUANTES DE LATEX.","Hola Telgopor Tucumán, paso a revisar tu pedido P-00051 de GUANTES DE LATEX.",2026-08-19 12:28:32,true
5492615139305,5492615139305,human,human,"Buen dia, eso fue lo que pedimos el otro dia?","Buen dia, eso fue lo que pedimos el otro dia?",2026-08-19 12:29:28,true
5492615139305,5492615139305,ai,ai,Te confirmo que el pedido P-00051 fue registrado correctamente por 113028.46.,Te confirmo que el pedido P-00051 fue registrado correctamente por 113028.46.,2026-08-19 12:30:01,true
5492615139305,5492615139305,ai,ai,Quedo atento por cualquier otra duda. Gracias.,Quedo atento por cualquier otra duda. Gracias.,2026-08-19 12:30:55,true
5492617175545,5492617175545,ai,ai,"Hola Carnicería El Buen Corte, paso a revisar tu pedido P-00018 de BANDEJA PLASTICA PET SUPERBAND 102 POR 100U..","Hola Carnicería El Buen Corte, paso a revisar tu pedido P-00018 de BANDEJA PLASTICA PET SUPERBAND 102 POR 100U..",2026-08-20 09:28:32,true
5492617175545,5492617175545,human,human,"Buen dia, eso fue lo que pedimos el otro dia?","Buen dia, eso fue lo que pedimos el otro dia?",2026-08-20 09:29:59,true
5492617175545,5492617175545,ai,ai,Te confirmo que el pedido P-00018 fue registrado correctamente por 69862.17.,Te confirmo que el pedido P-00018 fue registrado correctamente por 69862.17.,2026-08-20 09:30:51,true
5492617175545,5492617175545,ai,ai,Quedo atento por cualquier otra duda. Gracias.,Quedo atento por cualquier otra duda. Gracias.,2026-08-20 09:32:01,true
5492617236955,5492617236955,ai,ai,"Hola Bolsas de Tela, paso a revisar tu pedido P-00084 de FILM DE PVC DPM 18 PULG 450MM X 500 M X U.","Hola Bolsas de Tela, paso a revisar tu pedido P-00084 de FILM DE PVC DPM 18 PULG 450MM X 500 M X U.",2026-08-21 11:28:32,true
5492617236955,5492617236955,human,human,"Buen dia, eso fue lo que pedimos el otro dia?","Buen dia, eso fue lo que pedimos el otro dia?",2026-08-21 11:30:19,true
5492617236955,5492617236955,ai,ai,Te confirmo que el pedido P-00084 fue registrado correctamente por 150748.00.,Te confirmo que el pedido P-00084 fue registrado correctamente por 150748.00.,2026-08-21 11:31:40,true
5492617236955,5492617236955,human,human,"Perfecto, gracias.","Perfecto, gracias.",2026-08-21 11:32:58,true
5492617236955,5492617236955,ai,ai,Quedo atento por cualquier otra duda. Gracias.,Quedo atento por cualquier otra duda. Gracias.,2026-08-21 11:34:10,true
5492617413812,5492617413812,ai,ai,"Hola Vasos Biodegradables, paso a revisar tu pedido P-00086 de BLONDA CALADA BLANCA 25CM POR 100U..","Hola Vasos Biodegradables, paso a revisar tu pedido P-00086 de BLONDA CALADA BLANCA 25CM POR 100U..",2026-08-21 10:28:32,true
5492617413812,5492617413812,human,human,"Buen dia, eso fue lo que pedimos el otro dia?","Buen dia, eso fue lo que pedimos el otro dia?",2026-08-21 10:29:53,true
5492617413812,5492617413812,ai,ai,Te confirmo que el pedido P-00086 fue registrado correctamente por 56606.05.,Te confirmo que el pedido P-00086 fue registrado correctamente por 56606.05.,2026-08-21 10:30:40,true
5492617413812,5492617413812,human,human,"Perfecto, gracias.","Perfecto, gracias.",2026-08-21 10:32:24,true
5492617413812,5492617413812,ai,ai,Quedo atento por cualquier otra duda. Gracias.,Quedo atento por cualquier otra duda. Gracias.,2026-08-21 10:33:02,true
5492618861463,5492618861463,ai,ai,"Hola Envases de Plástico, paso a revisar tu pedido P-00053 de BOLSA FONDO CUADRADO FM4  (25x16x8) X 50 UNID.","Hola Envases de Plástico, paso a revisar tu pedido P-00053 de BOLSA FONDO CUADRADO FM4  (25x16x8) X 50 UNID.",2026-08-20 11:28:32,true
5492618861463,5492618861463,human,human,"Buen dia, eso fue lo que pedimos el otro dia?","Buen dia, eso fue lo que pedimos el otro dia?",2026-08-20 11:29:29,true
5492618861463,5492618861463,ai,ai,Te confirmo que el pedido P-00053 fue registrado correctamente por 10954.35.,Te confirmo que el pedido P-00053 fue registrado correctamente por 10954.35.,2026-08-20 11:30:45,true
