pedido_ref,product_code,nombre,cantidad_solicitada,precio_unitario,lista_precios_id,notas,is_mock,cliente_phone
PF-000001,1416,ESCOBA 5 HILOS MEZCLA,2,9626.45,2,Pedido histórico field mock (2025-06-01),true,5493587120001
PF-000001,1407,ESCOBA 7 HILOS IMPERIAL,2,13555.62,2,Pedido histórico field mock (2025-06-01),true,5493587120001
PF-000001,2601,"SOPAPA GOMA 4"" C/CABO",3,2477.73,2,Pedido histórico field mock (2025-06-01),true,5493587120001
PF-000001,1604,CABO MADERA C/ROSCA 1.50MTS,4,2298.56,2,Pedido histórico field mock (2025-06-01),true,5493587120001
PF-000002,1416,ESCOBA 5 HILOS MEZCLA,3,9626.45,2,Pedido histórico field mock (2025-06-24),true,5493587120001
PF-000002,1407,ESCOBA 7 HILOS IMPERIAL,2,13555.62,2,Pedido histórico field mock (2025-06-24),true,5493587120001
PF-000002,1523,LAMPAZO BARRENDERO 0.80MT GRANDE,2,13647.30,2,Pedido histórico field mock (2025-06-24),true,5493587120001
PF-000003,1416,ESCOBA 5 HILOS MEZCLA,4,9626.45,2,Pedido histórico field mock (2025-07-16),true,5493587120001
PF-000003,1407,ESCOBA 7 HILOS IMPERIAL,2,13555.62,2,Pedido histórico field mock (2025-07-16),true,5493587120001
PF-000004,1416,ESCOBA 5 HILOS MEZCLA,2,9626.45,2,Pedido histórico field mock (2025-07-30),true,5493587120001
PF-000004,1407,ESCOBA 7 HILOS IMPERIAL,4,13555.62,2,Pedido histórico field mock (2025-07-30),true,5493587120001
PF-000005,1416,ESCOBA 5 HILOS MEZCLA,3,9626.45,2,Pedido histórico field mock (2025-08-26),true,5493587120001
PF-000005,1407,ESCOBA 7 HILOS IMPERIAL,3,13555.62,2,Pedido histórico field mock (2025-08-26),true,5493587120001
PF-000005,2572,SECADOR PLASTICO DOBLE GOMA 40CM,4,2698.15,2,Pedido histórico field mock (2025-08-26),true,5493587120001
PF-000006,1416,ESCOBA 5 HILOS MEZCLA,1,9626.45,2,Pedido histórico field mock (2025-09-16),true,5493587120001
PF-000006,1407,ESCOBA 7 HILOS IMPERIAL,1,13555.62,2,Pedido histórico field mock (2025-09-16),true,5493587120001
PF-000006,1600,CABO MADERA C/ROSCA,4,1785.81,2,Pedido histórico field mock (2025-09-16),true,5493587120001
PF-000007,1416,ESCOBA 5 HILOS MEZCLA,4,9626.45,2,Pedido histórico field mock (2025-10-07),true,5493587120001
PF-000007,1407,ESCOBA 7 HILOS IMPERIAL,1,13555.62,2,Pedido histórico field mock (2025-10-07),true,5493587120001
PF-000008,1407,ESCOBA 7 HILOS IMPERIAL,3,10608.75,3,Pedido histórico field mock (2025-06-01),true,5493587120002
PF-000008,1415,ESCOBA 5 HILOS COMUN,4,7995.00,3,Pedido histórico field mock (2025-06-01),true,5493587120002
PF-000008,3408,DETERGENTE ALBO 750CC,4,1002.84,3,Pedido histórico field mock (2025-06-01),true,5493587120002
PF-000009,1407,ESCOBA 7 HILOS IMPERIAL,1,10608.75,3,Pedido histórico field mock (2025-06-24),true,5493587120002
PF-000009,1415,ESCOBA 5 HILOS COMUN,1,7995.00,3,Pedido histórico field mock (2025-06-24),true,5493587120002
PF-000010,1407,ESCOBA 7 HILOS IMPERIAL,2,10608.75,3,Pedido histórico field mock (2025-07-14),true,5493587120002
PF-000010,1415,ESCOBA 5 HILOS COMUN,1,7995.00,3,Pedido histórico field mock (2025-07-14),true,5493587120002
PF-000011,1407,ESCOBA 7 HILOS IMPERIAL,2,10608.75,3,Pedido histórico field mock (2025-08-08),true,5493587120002
PF-000011,1415,ESCOBA 5 HILOS COMUN,1,7995.00,3,Pedido histórico field mock (2025-08-08),true,5493587120002
PF-000011,3410,DETERGENTE ALBO 5LT,2,7413.75,3,Pedido histórico field mock (2025-08-08),true,5493587120002
PF-000012,1407,ESCOBA 7 HILOS IMPERIAL,3,10608.75,3,Pedido histórico field mock (2025-08-23),true,5493587120002
PF-000012,1415,ESCOBA 5 HILOS COMUN,3,7995.00,3,Pedido histórico field mock (2025-08-23),true,5493587120002
PF-000012,1523,LAMPAZO BARRENDERO 0.80MT GRANDE,3,10680.50,3,Pedido histórico field mock (2025-08-23),true,5493587120002
PF-000013,1407,ESCOBA 7 HILOS IMPERIAL,1,10608.75,3,Pedido histórico field mock (2025-09-10),true,5493587120002
PF-000013,1415,ESCOBA 5 HILOS COMUN,1,7995.00,3,Pedido histórico field mock (2025-09-10),true,5493587120002
PF-000013,1604,CABO MADERA C/ROSCA 1.50MTS,3,1798.88,3,Pedido histórico field mock (2025-09-10),true,5493587120002
