client_phone,cantidad_mensajes,ultimo_mensaje_at,is_unread,live_feed,is_mock
5493587120001,5,2026-08-31 04:43:29,true,true,true
5493587120002,5,2026-08-31 03:43:39,true,true,true
5493587120003,5,2026-08-31 14:42:28,true,true,true
5493587120004,5,2026-08-31 13:45:14,true,true,true
5493587120005,5,2026-08-31 12:43:48,true,true,true
5493587120006,5,2026-08-31 11:45:36,true,true,true
5493587120007,5,2026-08-31 10:44:09,true,true,true
5493587120041,5,2026-08-31 14:43:23,true,true,true
5493587120042,5,2026-08-31 13:43:23,true,true,true
5493587120043,5,2026-08-31 12:43:21,true,true,true
5493587120044,5,2026-08-31 11:43:12,true,true,true
5493587120045,5,2026-08-31 10:43:35,true,true,true
5493587120008,4,2026-08-29 12:42:55,false,false,true
5493587120009,4,2026-08-30 11:42:39,false,false,true
5493587120010,4,2026-08-29 10:43:02,false,false,true
5493587120011,4,2026-08-30 14:42:34,false,false,true
5493587120012,4,2026-08-29 13:43:11,false,false,true
5493587120013,4,2026-08-30 12:42:45,false,false,true
5493587120014,4,2026-08-29 11:41:45,false,false,true
5493587120015,4,2026-08-30 10:42:48,false,false,true
5493587120016,4,2026-08-29 14:42:15,false,false,true
5493587120017,4,2026-08-30 13:43:04,false,false,true
5493587120018,4,2026-08-29 12:42:38,false,false,true
5493587120019,4,2026-08-30 11:41:36,false,false,true
5493587120020,4,2026-08-29 10:42:34,false,false,true
5493587120021,4,2026-08-30 14:41:24,false,false,true
5493587120022,4,2026-08-29 13:41:41,false,false,true
5493587120023,4,2026-08-30 12:42:28,false,false,true
5493587120024,4,2026-08-29 11:41:00,false,false,true
5493587120025,4,2026-08-30 10:42:59,false,false,true
5493587120026,4,2026-08-29 14:41:02,false,false,true
5493587120027,4,2026-08-30 13:42:18,false,false,true
5493587120028,4,2026-08-29 12:41:52,false,false,true
5493587120029,4,2026-08-30 11:42:17,false,false,true
5493587120030,4,2026-08-29 10:41:28,false,false,true
5493587120031,4,2026-08-30 14:41:45,false,false,true
5493587120032,4,2026-08-29 13:42:42,false,false,true
5493587120033,4,2026-08-30 12:42:17,false,false,true
5493587120034,4,2026-08-29 11:43:23,false,false,true
5493587120035,4,2026-08-30 10:42:18,false,false,true
5493587120036,4,2026-08-29 14:42:34,false,false,true
5493587120037,4,2026-08-30 13:41:55,false,false,true
5493587120038,4,2026-08-29 12:43:04,false,false,true
5493587120039,4,2026-08-30 11:42:47,false,false,true
5493587120040,4,2026-08-29 10:43:13,false,false,true
5493587120046,4,2026-08-29 14:43:01,false,false,true
5493587120047,4,2026-08-30 13:42:27,false,false,true
5493587120048,4,2026-08-29 12:42:52,false,false,true
5493587120049,4,2026-08-30 11:43:31,false,false,true
5493587120050,4,2026-08-29 10:41:57,false,false,true
